Player,Pts,POS,4S,6S,Catches,Dots,Mat,Stumpings,Wkts
Darren Bravo,3,"1,672",1,0,0,0,1,0,0
Darren Lehmann,8,147,3,0,0,0,2,0,0
Darren Sammy,234,"3,408",15,18,9,72,22,0,11
David Hussey,612,"4,085",90,60,25,86,64,0,8
David Miller,742,"10,822",126,87,49,0,79,0,0
David Warner,"1,849","9,531",442,176,51,0,119,0,0
David Wiese,194,"2,740",12,4,6,79,15,0,16
David Willey,32,"1,789",0,0,2,20,3,0,2
Davy Jacobs,52,"1,439",10,4,3,0,7,2,0
Debabrata Das,131,"1,886",23,16,7,0,31,0,0
Deepak Chahar,484,"6,671",2,6,4,332,34,0,33
Deepak Hooda,291,"8,050",27,24,22,60,61,0,7
Dhawal Kulkarni,"1,109","12,049",6,2,22,731,90,0,86
Dhruv Shorey,4,"3,801",0,1,0,0,2,0,0
Dilhara Fernando,168,442,0,0,3,101,10,0,17
Dimitri Mascarenhas,214,"2,587",5,1,3,124,13,0,19
Dinesh Karthik,"1,470","11,551",337,92,97,0,167,25,0
Dinesh Salunkhe,34,114,5,0,2,13,6,0,1
Dirk Nannes,211,"1,933",0,0,6,150,16,0,13
Dishant Yagnik,107,"3,614",23,2,12,0,25,5,0
DNT Zoysa,36,110,1,0,1,24,3,0,2
Dominic Thornely,49,100,2,2,3,19,6,0,3
Domnic Joseph,58,"1,305",0,0,0,44,6,0,4
Doug Bollinger,410,"1,624",1,1,8,254,27,0,37
Doug Bracewell,26,818,1,0,1,10,1,0,3
DP Vijaykumar,77,77,0,0,0,63,9,0,4
DT Patil,8,148,1,0,2,0,2,0,0
Dwaraka Ravi Teja,154,"2,833",35,9,11,4,32,0,1
Dwayne Bravo,"2,038","10,029",116,61,74,835,134,0,147
Dwayne Smith,"1,368","7,597",245,117,33,172,91,0,26
Eklavya Dwivedi,17,"1,491",2,2,2,0,4,0,0
Eoin Morgan,359,"6,333",72,34,24,0,52,0,0
Evin Lewis,196,"3,655",36,26,6,0,16,0,0
Faf du Plessis,719,"9,812",163,59,42,0,71,0,0
Faiz Fazal,75,"1,036",22,1,6,1,12,0,0
Farhaan Behardien,8,"1,501",2,0,1,0,3,0,0
Gajendra Singh,36,112,0,0,0,25,4,0,3
Gautam Gambhir,"1,412","9,628",459,57,26,0,139,0,0
George Bailey,242,"4,632",59,19,11,0,40,0,0
Glenn Maxwell,553,"7,797",61,55,17,113,53,0,15
Glenn McGrath,204,16,1,0,2,154,14,0,12
GlennMaxwell,286,"1,062",48,36,9,14,16,0,1
GR Napier,14,281,1,0,0,8,1,0,1
Graeme Smith,287,"1,317",94,9,8,0,29,0,0
Gurinder Sandhu,13,"1,336",0,0,0,9,3,0,1
Gurkeerat Mann Singh,235,"8,134",47,11,13,26,33,1,5
H Das,0,158,0,0,0,0,1,0,0
Hanuma Vihari,97,"4,263",23,1,6,17,24,0,1
Harbhajan Singh,"2,239","11,474",79,42,48,"1,249",160,0,150
Hardik Pandya,968,"7,757",72,68,43,295,66,0,42
Hardus Viljoen,74,"1,906",0,0,1,47,6,0,7
Harmeet Singh,16,"1,018",0,0,0,12,1,0,1
Harmeet Singh Bansal,298,"2,972",3,0,8,183,27,0,25
Harpreet Brar,16,"1,957",2,1,0,7,2,0,0
Harpreet Singh,5,"1,520",0,0,2,0,3,0,0
Harry Gurney,76,"1,905",0,0,0,51,8,0,7
Harshal Patel,507,"9,947",3,9,11,290,43,0,43
Hashim Amla,224,"2,983",60,21,0,0,16,0,0
Heinrich Klaasen,34,"3,774",5,1,3,0,7,4,0
Herschelle Gibbs,371,"1,439",83,31,22,0,36,0,0
I Malhotra,3,666,1,0,0,0,1,0,0
Imran Tahir,727,"8,999",3,0,13,410,55,0,79
Iqbal Abdulla,532,"8,406",9,1,14,331,49,0,40
Irfan Pathan,"1,543","6,838",87,37,31,838,103,0,80
Ish Sodhi,98,"3,703",0,0,0,66,8,0,9
Ishan Kishan,322,"6,724",64,34,15,0,37,2,0
Ishank Jaggi,20,"3,150",6,0,2,0,7,0,0
Ishant Sharma,"1,317","9,604",5,3,19,956,100,0,83
Ishwar Pandey,290,"3,393",0,0,6,212,25,0,18
J Arunkumar,13,137,5,0,0,0,3,0,0
Jacob Oram,158,"1,995",6,5,8,74,18,0,9
Jacques Kallis,"1,318","3,365",188,35,24,483,82,0,52
JacquesKallis,380,306,67,9,7,118,16,0,13
Jagadeesha Suchith,160,"4,724",4,2,8,81,15,0,12
James Faulkner,814,"7,706",36,23,16,397,60,0,59
James Franklin,176,"1,315",25,8,6,39,20,0,9
James Hopes,331,550,49,11,6,106,21,0,14
Jaskaran Singh,60,691,0,0,0,39,8,0,6
Jason Behrendorff,72,"1,907",0,0,0,54,5,0,5
Jason Holder,127,"3,605",4,2,5,80,11,0,5
Jason Roy,86,"3,410",18,8,5,0,8,0,0
Jasprit Bumrah,982,"9,879",2,1,9,664,77,0,82
Javon Searles,28,"1,795",0,1,4,7,4,0,2
Jayant Yadav,117,"6,373",0,0,4,89,12,0,5
Jaydev Unadkat,855,"11,860",6,1,23,509,73,0,77
Jeevan Mendis,20,"1,010",0,0,2,11,3,0,1
Jesse Ryder,371,"1,481",69,19,10,79,29,0,8
Jimmy Neesham,29,"1,179",3,1,0,14,4,0,1
JJ van der Wath,46,595,1,1,0,29,3,0,3
JM Kemp,34,419,1,1,1,15,5,0,3
Joe Denly,0,"1,983",0,0,0,0,1,0,0
Jofra Archer,349,"3,567",6,4,4,219,21,0,26
Joginder Sharma,135,"1,430",1,2,5,71,16,0,12
Johan Botha,502,"3,731",39,5,18,254,34,0,25
John Hastings,42,"2,674",0,0,0,31,3,0,3
Jonny Bairstow,211,"1,843",48,18,9,0,10,2,0
Jos Buttler,629,"6,538",140,61,25,0,45,1,0
JP Duminy,981,"7,397",126,79,30,234,83,0,23
Juan Theron,103,"2,546",1,0,1,66,10,0,9
Junior Dala,7,"1,814",0,0,0,7,1,0,0
K Goel,116,802,17,9,9,19,22,0,0
Kagiso Rabada,304,"3,433",5,2,6,161,18,0,31
Kamran Akmal,83,73,13,8,5,0,6,4,0
Kamran Khan,104,"1,318",0,0,4,62,9,0,9
Kane Richardson,208,"3,543",2,1,5,124,14,0,18
Kane Williamson,474,"7,983",111,44,16,2,41,0,0
Karanveer Singh,114,"2,456",1,0,2,64,9,0,12
Karn Sharma,699,"10,035",18,14,14,381,62,0,54
Karun Nair,584,"10,145",158,39,21,0,69,0,0
KC Cariappa,104,"6,397",0,2,3,61,11,0,8
Kedar Devdhar,3,664,0,0,0,0,1,1,0
Kedar Jadhav,448,"11,281",92,38,27,0,79,7,0
Keemo Paul,104,"1,892",1,1,5,54,8,0,9
Kemar Roach,25,432,1,0,1,20,2,0,0
