Player,Pts,POS,4S,6S,Catches,Dots,Mat,Stumpings,Wkts
P Parameswaran,55,584,0,0,0,41,5,0,4
P Prasanth,3,663,0,0,0,3,1,0,0
Pankaj Singh,162,"2,240",0,0,5,111,17,0,11
Paras Dogra,38,"2,324",4,5,4,0,13,0,0
Parthiv Patel,"1,297","11,919",365,49,69,0,139,16,0
Parveez Rasool,84,"5,010",1,0,3,60,11,0,4
Parvinder Awana,440,"2,743",0,0,4,293,33,0,39
Pat Cummins,209,"4,060",5,4,2,118,16,0,17
Paul Collingwood,120,356,9,13,4,24,8,0,5
Paul Valthaty,299,"2,667",61,20,3,44,23,0,7
Pawan Negi,518,"11,013",27,16,15,238,50,0,34
Pawan Suyal,46,"3,550",0,0,1,36,5,0,2
Peter Handscomb,0,"1,515",0,0,0,0,2,0,0
Pinal Shah,62,"1,046",9,2,10,0,16,3,0
Piyush Chawla,"1,932","11,584",54,18,40,"1,109",157,0,150
PM Sarvesh Kumar,15,133,0,0,0,11,2,0,1
Pradeep Sahu,41,"1,463",1,1,0,24,5,0,3
Pradeep Sangwan,267,"7,247",1,0,3,187,26,0,20
Pragyan Ojha,906,"2,750",0,0,14,573,79,0,85
Prashant Chopra,5,"3,803",2,0,0,0,2,0,0
Prasidh Krishna,212,"3,626",0,0,3,155,18,0,14
Praveen Kumar,"1,538","8,050",23,17,12,"1,076",119,0,90
Pravin Tambe,315,"4,843",1,0,4,204,33,0,28
Prayas Ray Barman,7,"1,974",2,0,0,2,1,0,0
Prithvi Raj,12,"1,963",0,0,0,8,2,0,1
Prithvi Shaw,262,"3,610",72,19,6,0,25,0,0
Quinton de Kock,674,"8,418",155,54,31,0,50,8,0
R Bishnoi,12,287,1,2,1,0,3,0,0
RA Shaikh,1,302,0,0,0,1,1,0,0
Rahul Chahar,209,"3,492",2,0,4,141,16,0,15
Rahul Dravid,816,"2,765",269,28,18,0,89,0,0
Rahul Sharma,525,"3,760",5,3,11,334,44,0,40
Rahul Shukla,68,"3,012",2,0,3,38,7,0,5
Rahul Tewatia,217,"7,810",11,3,8,110,20,0,14
Rahul Tripathi,310,"5,212",74,27,12,0,34,0,0
Raiphi Gomez,78,"1,599",5,1,3,37,13,0,5
Rajagopal Sathish,132,"3,488",22,6,6,30,34,0,3
Rajat Bhatia,764,"8,175",23,13,21,395,87,0,61
Raju Bhatkal,3,853,0,0,1,0,1,0,0
Ramesh Powar,243,"2,154",6,1,5,166,27,0,13
Ramnaresh Sarwan,21,124,6,1,1,0,4,0,0
Rashid Khan,728,"5,039",5,9,15,454,46,0,55
Rasikh Salam,11,"1,965",0,0,1,8,1,0,0
Ravi Bopara,271,"1,874",39,16,7,61,24,0,11
Ravi Rampaul,201,"2,085",3,2,4,127,12,0,14
Ravichandran Ashwin,"1,702","9,963",32,10,32,"1,069",139,0,125
Ravindra Jadeja,"1,925","11,171",135,65,63,824,170,0,108
Richard Levi,44,801,10,4,2,0,6,0,0
Ricky Bhui,0,"3,812",0,0,0,0,2,0,0
Ricky Ponting,30,"1,148",5,2,4,0,10,0,0
Rilee Rossouw,23,"2,537",3,3,2,0,5,0,0
Rinku Singh,32,"5,440",5,2,5,0,10,0,0
Rishabh Pant,819,"6,475",152,94,33,0,54,11,0
Rishi Dhawan,276,"4,858",13,4,6,151,26,0,18
Riyan Parag,98,"1,895",17,5,5,18,7,0,2
Rob Quiney,43,252,12,3,1,0,7,0,0
Robin Peterson,45,800,3,1,1,21,5,0,3
Robin Uthappa,"1,924","11,559",435,156,84,0,177,32,0
Roelof van der Merwe,297,"3,001",11,8,8,148,21,0,21
Rohit Sharma,"2,107","11,486",431,194,83,90,188,0,15
Ronit More,10,"1,341",0,0,1,4,2,0,1
Ross Taylor,371,"4,277",66,46,18,0,55,0,0
RP Singh,"1,121","4,127",2,1,20,747,82,0,90
RR Bose,5,295,0,0,0,5,1,0,0
RR Raje,75,369,1,1,3,40,10,0,6
RS Gavaskar,2,474,0,0,0,2,2,0,0
RS Sodhi,8,462,1,0,2,0,3,0,0
RV Pawar,0,162,0,0,0,0,1,0,0
Ryan Harris,598,"2,786",6,3,20,365,37,0,45
Ryan McLaren,209,"1,924",14,1,5,116,18,0,12
Ryan Ninan,21,621,0,0,1,8,2,0,3
Ryan ten Doeschate,167,"4,897",26,15,8,22,29,0,2
S Sriram,10,"1,131",3,0,0,2,2,0,0
S Vidyut,74,79,21,3,1,5,9,0,1
SA Asnodkar,193,"1,430",56,10,7,0,20,0,0
Sachin Baby,70,"4,152",11,5,5,5,18,0,2
Sachin Rana,39,"1,828",9,1,3,5,11,0,0
Sachin Tendulkar,901,"2,749",295,29,23,4,78,0,0
Sachithra Senanayake,110,938,0,0,2,73,8,0,9
Salman Butt,87,67,30,2,2,0,7,0,0
Sam Billings,145,"6,837",31,10,13,0,22,0,0
Sam Curran,143,"1,875",13,3,2,60,9,0,10
Samuel Badree,153,"3,785",0,0,2,109,12,0,11
Sanath Jayasuriya,489,607,85,39,4,84,30,0,13
Sandeep Lamichhane,128,"3,680",0,0,2,77,9,0,13
Sandeep Sharma,"1,097","9,773",2,0,11,732,79,0,95
Sandeep Warrier,40,"1,933",0,0,1,30,3,0,2
Sanju Samson,854,"9,900",170,89,43,0,93,4,0
Sarabjit Ladda,68,"3,596",0,0,1,48,9,0,5
Sarfaraz Khan,156,"6,499",45,11,2,0,33,0,0
Saurabh Tiwary,448,"7,527",93,45,23,0,81,0,0
SB Bangar,87,66,1,3,2,55,11,0,4
SB Joshi,22,123,0,0,0,18,4,0,1
Scott Boland,21,"1,484",0,0,0,14,2,0,2
Scott Kuggeleijn,24,"1,947",0,0,0,17,2,0,2
Scott Styris,152,960,10,3,2,83,12,0,8
Sean Abbott,12,"1,337",1,1,0,6,2,0,0
Shadab Jakati,563,"6,148",3,0,21,338,59,0,47
Shahbaz Nadeem,601,"11,504",1,0,14,416,64,0,42
Shahid Afridi,137,42,7,6,4,57,10,0,9
Shakib Al Hasan,936,"10,342",70,20,11,457,63,0,59
Shalabh Srivastava,160,938,0,0,3,103,14,0,14
Shane Bond,109,363,0,0,1,75,8,0,9
Shane Warne,725,"1,051",14,6,16,429,55,0,57
Shane Watson,"1,906","10,298",237,136,30,545,103,0,62
ShaneWatson,793,865,106,41,8,259,31,0,30
Shanthakumaran Sreesanth,563,"2,107",6,0,3,400,44,0,40
Shardul Thakur,443,"6,490",5,1,13,268,36,0,36
Shaun Marsh,"1,003","8,073",266,78,26,0,71,0,0
Shaun Pollock,233,8,12,8,2,131,13,0,11
Shaun Tait,307,"2,691",1,1,8,200,21,0,23
Sheldon Jackson,18,"1,643",5,0,2,0,4,0,0
Sherfane Rutherford,54,"1,914",2,7,5,8,7,0,1
Shikhar Dhawan,"1,862","11,925",527,96,71,17,164,0,4
Shimron Hetmyer,42,"1,931",4,7,3,0,5,0,0
Shivam Dube,19,"1,953",1,3,1,3,4,0,0
Shivam Mavi,92,"1,743",1,0,3,64,9,0,5
Shivam Sharma,56,"2,506",1,0,1,37,5,0,4
Shivil Kaushik,69,"1,433",0,0,0,48,7,0,6
Shivnarine Chanderpaul,10,142,4,0,0,0,3,0,0
Shoaib Ahmed,53,243,0,0,0,35,7,0,5
Shoaib Akhtar,41,107,0,0,0,23,3,0,5
Shoaib Malik,47,104,5,0,5,15,7,0,2
Shreevats Goswami,148,"4,073",32,3,16,0,29,7,0
Shreyas Gopal,405,"7,578",14,1,9,211,31,0,38
Shreyas Iyer,662,"7,870",149,67,22,0,62,0,0
Shrikant Wagh,65,"1,043",0,0,1,45,8,0,5
Shubham Agarwal,13,"1,654",0,0,1,7,1,0,1
Shubman Gill,185,"3,644",43,15,10,0,27,0,0
Siddarth Kaul,509,"7,305",0,0,7,320,45,0,49
Siddharth Chitnis,54,"1,906",10,2,2,10,11,0,2
Siddharth Trivedi,775,"2,785",3,1,17,494,76,0,65
Siddhesh Lad,6,"1,976",1,1,0,0,1,0,0
Simon Katich,98,350,26,8,2,0,11,0,0
Simran Singh,9,"1,968",1,1,1,0,1,0,0
SM Harwood,50,245,0,0,2,34,3,0,3
Sohail Tanvir,220,11,3,1,4,122,11,0,22
Sourav Ganguly,655,"1,914",137,42,22,75,59,0,10
Sreenath Arvind,485,"5,629",7,0,8,290,38,0,45
Srikkanth Anirudha,55,"3,852",7,5,8,0,16,0,0
SS Mundhe,8,646,0,0,0,4,1,0,1
SS Shaikh,8,291,1,0,2,0,2,0,0
Stephen Fleming,83,71,27,3,2,0,10,0,0
Steve Smith,727,"8,961",180,49,42,0,81,0,0
Stuart Binny,611,"12,001",66,35,19,199,95,0,22
Subramaniam Badrinath,523,"2,948",154,28,16,0,95,0,0
Sudeep Tyagi,122,632,0,0,3,93,14,0,6
Sudhesan Midhun,7,"1,975",0,0,1,4,1,0,0
Sumit Narwal,72,"1,408",6,0,1,37,7,0,5
Sunil Narine,"1,230","7,134",19,11,12,781,78,0,95
SunilNarine,678,"3,193",74,33,5,270,32,0,27
Sunny Gupta,0,859,0,0,0,0,1,0,0
Sunny Singh,21,620,6,1,1,0,6,0,0
Sunny Sohal,153,955,34,18,2,0,21,0,0
Suraj Randiv,86,557,0,0,2,60,8,0,6
Suresh Raina,"2,533","11,345",493,194,101,281,193,0,25
Suryakumar Yadav,674,"9,893",161,47,42,2,85,0,0
Swapnil Singh,16,"3,160",0,0,1,10,5,0,1
Syed Mohammad,88,"2,423",4,0,1,47,11,0,8
T Henderson,21,273,0,1,0,14,2,0,1
T Kohli,6,453,0,1,1,0,4,0,0
T Natarajan,31,"1,630",0,0,0,24,6,0,2
T Thushara,93,653,0,0,3,57,6,0,8
Tabraiz Shamsi,39,"1,466",0,0,1,26,4,0,3
Tanmay Mishra,3,847,0,0,1,0,1,0,0
Tanmay Srivastava,5,456,0,0,2,0,7,0,0
Tatenda Taibu,10,141,3,0,1,0,3,0,0
Tejas Baroka,6,"1,663",0,0,0,6,1,0,0
Thalaivan Sargunam,0,"1,061",0,0,0,0,1,0,0
Thisara Perera,514,"5,509",23,26,12,227,37,0,31
Tillakaratne Dilshan,392,"2,753",98,11,18,46,38,0,5
Tim Paine,0,674,0,0,0,0,2,0,0
Tim Southee,507,"9,736",8,4,17,332,40,0,28
Tirumalasetti Suman,318,"2,985",55,26,10,43,43,0,6
Tom Curran,46,"1,781",3,0,1,15,5,0,6
TP Sudhindra,22,821,0,0,0,18,3,0,1
Travis Birt,30,609,9,2,0,0,5,0,0
Travis Head,77,"3,100",12,8,2,7,10,0,2
Trent Boult,469,"7,975",0,1,14,297,33,0,38
Tymal Mills,65,"1,605",0,1,1,41,5,0,5
U Kaul,5,151,0,0,2,0,5,0,0
Udit Birla,5,"1,047",1,0,1,0,2,0,0
Umar Gul,113,53,1,5,0,51,6,0,12
Umesh Yadav,"1,481","11,419",11,4,30,948,119,0,119
Unmukt Chand,132,"6,485",32,9,8,0,21,0,0
Usman Khawaja,48,"1,456",14,3,1,0,6,0,0
Varun Aaron,532,"8,726",2,2,3,365,47,0,42
Varun Chakravarthy,12,"1,962",0,0,0,8,1,0,1
Veer Pratap Singh,106,753,0,0,0,71,9,0,10
Venugopal Rao,438,"4,288",77,37,14,60,65,0,6
