Toss Decision,Match ID,Toss Winner,Team1,Team2,Winner,DL Method,Total Balls
,367,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,0.0,249.0
,373,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0.0,244.0
,380,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0.0,259.0
,381,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,0.0,240.0
,382,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0.0,244.0
,391,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0.0,234.0
,393,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0.0,244.0
,397,Pune Warriors,Pune Warriors,Mumbai Indians,Mumbai Indians,0.0,237.0
,398,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0.0,249.0
,400,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,0.0,248.0
,404,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0.0,252.0
,416,Delhi Daredevils,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,0.0,239.0
,418,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,0.0,247.0
,419,Kings XI Punjab,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,0.0,253.0
,420,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,0.0,244.0
,423,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,248.0
,426,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0.0,246.0
,427,Chennai Super Kings,Pune Warriors,Chennai Super Kings,Chennai Super Kings,0.0,245.0
,429,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Mumbai Indians,0.0,250.0
,430,Deccan Chargers,Deccan Chargers,Mumbai Indians,Deccan Chargers,0.0,245.0
,435,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,0.0,239.0
,436,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0.0,242.0
,438,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,0.0,240.0
,439,Deccan Chargers,Pune Warriors,Deccan Chargers,Deccan Chargers,0.0,248.0
,444,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,0.0,212.0
,448,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,0.0,238.0
,451,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,0.0,211.0
,452,Gujarat Lions,Gujarat Lions,Mumbai Indians,,0.0,263.0
,455,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0.0,247.0
,458,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,0.0,248.0
,459,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,0.0,248.0
,460,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0.0,237.0
,461,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,245.0
,462,Mumbai Indians,Mumbai Indians,Sunrisers Hyderabad,,0.0,251.0
,463,Sunrisers Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,0.0,248.0
,469,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0.0,212.0
,471,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0.0,240.0
,473,Deccan Chargers,Deccan Chargers,Pune Warriors,Pune Warriors,0.0,234.0
,474,Mumbai Indians,Mumbai Indians,Delhi Daredevils,Mumbai Indians,0.0,247.0
,475,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,0.0,248.0
,478,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,Pune Warriors,0.0,246.0
,482,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,0.0,233.0
,483,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0.0,246.0
,484,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,0.0,240.0
,485,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0.0,240.0
,487,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,0.0,250.0
,489,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0.0,243.0
,491,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,0.0,249.0
,492,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,0.0,250.0
,495,Chennai Super Kings,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,0.0,215.0
,496,Kings XI Punjab,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,0.0,229.0
,497,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,0.0,250.0
,503,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0.0,197.0
,504,Delhi Daredevils,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,0.0,245.0
,505,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,0.0,251.0
,509,Mumbai Indians,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,0.0,228.0
,511,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,0.0,241.0
,516,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0.0,245.0
,522,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,0.0,219.0
,523,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,0.0,221.0
,525,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,0.0,245.0
,526,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,0.0,236.0
,528,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,0.0,246.0
,529,Pune Warriors,Pune Warriors,Delhi Daredevils,Delhi Daredevils,0.0,218.0
,530,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0.0,246.0
,532,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,0.0,245.0
,536,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0.0,237.0
,539,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,0.0,248.0
,540,Pune Warriors,Pune Warriors,Kings XI Punjab,Kings XI Punjab,0.0,198.0
,546,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,0.0,241.0
,550,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,0.0,198.0
,553,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,0.0,244.0
,554,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,Kolkata Knight Riders,1.0,142.0
,555,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,247.0
,559,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,,0.0,262.0
,564,Pune Warriors,Chennai Super Kings,Pune Warriors,Pune Warriors,0.0,244.0
,571,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,0.0,245.0
,572,Mumbai Indians,Pune Warriors,Mumbai Indians,Mumbai Indians,0.0,249.0
,573,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,0.0,237.0
,574,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,0.0,244.0
,575,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai Indians,0.0,234.0
,576,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0.0,250.0
,577,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,0.0,238.0
,582,Mumbai Indians,Mumbai Indians,Deccan Chargers,Mumbai Indians,0.0,238.0
,586,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,0.0,223.0
,587,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0.0,250.0
,588,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,0.0,247.0
,589,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,0.0,246.0
,592,Deccan Chargers,Delhi Daredevils,Deccan Chargers,Deccan Chargers,0.0,244.0
,593,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,0.0,239.0
,594,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,0.0,228.0
,596,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,0.0,244.0
,597,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0.0,240.0
,599,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,245.0
,600,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,0.0,246.0
,601,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,0.0,237.0
,602,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,0.0,255.0
,604,Chennai Super Kings,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,0.0,242.0
,608,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,0.0,245.0
,611,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,0.0,246.0
,613,Delhi Daredevils,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,0.0,249.0
,615,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0.0,241.0
,624,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,0.0,244.0
,625,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,0.0,252.0
,627,Chennai Super Kings,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,0.0,249.0
,628,Chennai Super Kings,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,0.0,241.0
,632,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,,0.0,261.0
,633,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Mumbai Indians,0.0,243.0
,634,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,0.0,233.0
,635,Chennai Super Kings,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,0.0,247.0
,640,Deccan Chargers,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,0.0,250.0
,645,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0.0,244.0
,648,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0.0,220.0
,649,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,0.0,244.0
,650,Deccan Chargers,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,0.0,249.0
,656,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,0.0,240.0
,657,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,1.0,220.0
,658,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,0.0,247.0
,659,Sunrisers Hyderabad,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,0.0,212.0
,660,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,0.0,238.0
,662,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,0.0,225.0
,666,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,0.0,199.0
,667,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,0.0,247.0
,668,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,0.0,246.0
,670,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,0.0,239.0
,671,Deccan Chargers,Deccan Chargers,Mumbai Indians,Deccan Chargers,0.0,252.0
