POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings,Year
1492,Deepak Chahar,15.5,2,0,13,0,0,1,0,2016
1493,Ishan Kishan,15,5,0,0,5,0,1,0,2016
1494,Travis Head,14.5,3,0,0,3,2,0,0,2016
1495,Kedar Jadhav,14.5,4,0,0,2,2,1,0,2016
1496,Adam Milne,13,1,1,7,0,0,1,0,2016
1497,Anureet Singh,12,2,0,12,0,0,0,0,2016
1498,Pradeep Sangwan,11.5,2,0,9,0,0,1,0,2016
1499,Mayank Agarwal,11,3,0,0,3,1,0,0,2016
1500,David Wiese,8.5,1,0,6,0,0,1,0,2016
1501,Farhaan Behardien,7.5,3,0,0,2,0,1,0,2016
1502,Nikhil Naik,7.5,2,0,0,1,0,2,0,2016
1503,Chris Lynn,6,2,0,0,0,1,1,0,2016
1504,Jaydev Unadkat,5,1,0,5,0,0,0,0,2016
1505,Aditya Tare,5,3,0,0,1,0,1,0,2016
1506,Dale Steyn,5,1,0,5,0,0,0,0,2016
1507,Shreyas Gopal,4,1,0,4,0,0,0,0,2016
1508,Lendl Simmons,3.5,1,0,0,0,1,0,0,2016
1509,Swapnil Singh,3,1,0,3,0,0,0,0,2016
1510,Sarabjit Ladda,3,1,0,3,0,0,0,0,2016
1511,Mandeep Singh,2.5,1,0,0,0,0,1,0,2016
1512,Akshdeep Nath,2.5,4,0,0,1,0,0,0,2016
1513,Unmukt Chand,0,1,0,0,0,0,0,0,2016
1514,Jagadeesha Suchith,0,1,0,0,0,0,0,0,2016
1515,Peter Handscomb,0,2,0,0,0,0,0,0,2016
1516,SunilNarine,298,16,10,133,34,10,4,0,2017
1517,David Warner,273.5,14,0,0,63,26,10,0,2017
1518,Ben Stokes,270,12,12,108,22,15,5,0,2017
1519,Jaydev Unadkat,225.5,12,24,119,0,0,9,0,2017
1520,Glenn Maxwell,218.5,14,7,38,19,26,7,0,2017
1521,Axar Patel,218,14,15,82,11,11,7,0,2017
1522,Bhuvneshwar Kumar,218,14,26,117,0,0,4,0,2017
1523,Robin Uthappa,201,14,0,0,36,21,9,6,2017
1524,Jasprit Bumrah,200.5,16,20,122,0,1,2,0,2017
1525,Krunal Pandya,198.5,13,10,74,24,7,2,0,2017
1526,Rashid Khan,196.5,14,17,121,0,1,5,0,2017
1527,Hardik Pandya,193.5,17,6,45,11,20,12,0,2017
1528,Pawan Negi,193,12,16,80,10,7,3,0,2017
1529,Gautam Gambhir,192,16,0,0,61,7,6,0,2017
1530,Mitchell McClenaghan,191.5,14,19,119,0,1,1,0,2017
1531,Umesh Yadav,186.5,14,17,117,0,0,4,0,2017
1532,Chris Morris,184,9,12,71,15,6,5,0,2017
1533,Suresh Raina,184,14,1,20,42,13,4,0,2017
1534,Sandeep Sharma,182,13,17,115,0,0,3,0,2017
1535,Rishabh Pant,181.5,14,0,0,28,24,8,3,2017
1536,Shikhar Dhawan,181.5,14,0,0,53,9,7,0,2017
1537,Kieron Pollard,179.5,17,0,0,26,22,15,0,2017
1538,Rahul Tripathi,179.5,14,0,0,43,17,5,0,2017
1539,Chris Woakes,175,13,17,87,4,1,6,0,2017
1540,Parthiv Patel,170.5,16,0,0,49,8,6,2,2017
1541,Pat Cummins,165.5,12,15,84,5,4,1,0,2017
1542,Imran Tahir,162,12,18,94,0,0,2,0,2017
1543,Hashim Amla,159.5,10,0,0,40,17,0,0,2017
1544,Dan Christian,157.5,13,11,74,5,5,6,0,2017
1545,Sanju Samson,156.5,14,0,0,32,19,4,0,2017
1546,Brendon McCullum,155.5,11,0,0,29,18,8,0,2017
1547,Steve Smith,154.5,15,0,0,38,12,7,0,2017
1548,Mohit Sharma,151,14,13,87,3,1,3,0,2017
1549,Yuzvendra Chahal,148.5,13,14,92,0,0,3,0,2017
1550,Karn Sharma,147.5,9,13,75,5,2,3,0,2017
1551,Aaron Finch,141.5,13,0,0,25,19,5,0,2017
1552,Dwayne Smith,139.5,12,2,17,32,8,3,0,2017
1553,Ajinkya Rahane,136.5,16,0,0,35,9,7,0,2017
1554,Nathan Coulter-Nile,134.5,8,15,70,0,2,2,0,2017
1555,Lasith Malinga,134.5,12,11,90,0,1,1,0,2017
1556,Chris Lynn,134,7,0,0,25,19,2,0,2017
1557,Rohit Sharma,134,17,0,0,31,9,10,0,2017
1558,Dinesh Karthik,133.5,14,0,0,30,11,8,0,2017
1559,Shardul Thakur,133.5,12,11,85,0,0,4,0,2017
1560,Shreyas Iyer,132.5,12,0,0,36,10,3,0,2017
1561,Amit Mishra,132.5,14,10,78,2,2,3,0,2017
1562,Harbhajan Singh,132.5,11,8,96,0,1,2,0,2017
1563,Manish Pandey,132,14,0,0,28,12,8,0,2017
1564,Nitish Rana,129.5,13,0,0,24,17,4,0,2017
1565,Siddarth Kaul,128.5,10,16,65,0,0,3,0,2017
1566,Manoj Tiwary,128.5,15,0,0,31,11,5,0,2017
1567,Moises Henriques,127,12,1,27,28,4,5,0,2017
1568,Ravindra Jadeja,126,12,5,57,13,4,2,0,2017
1569,MS Dhoni,126,16,0,0,15,16,10,3,2017
1570,Basil Thampi,125.5,12,11,76,1,1,2,0,2017
1571,Ishan Kishan,125.5,11,0,0,29,13,3,0,2017
1572,Karun Nair,123.5,14,0,0,39,6,2,0,2017
1573,Kuldeep Yadav,123.5,12,12,74,2,0,1,0,2017
1574,Jos Buttler,122.5,10,0,0,27,15,1,0,2017
1575,Kedar Jadhav,122.5,13,0,0,25,10,7,3,2017
1576,Washington Sundar,121.5,11,8,81,0,0,5,0,2017
1577,Zaheer Khan,117,11,10,72,0,0,4,0,2017
1578,Yuvraj Singh,116,12,1,2,30,8,3,0,2017
1579,Shaun Marsh,112.5,9,0,0,36,5,2,0,2017
1580,Virat Kohli,111,10,0,0,23,11,6,0,2017
1581,Wriddhiman Saha,108,14,0,0,20,8,10,2,2017
1582,Andrew Tye,106.5,6,12,44,4,3,0,0,2017
1583,AB de Villiers,101,9,0,0,12,16,6,0,2017
1584,Samuel Badree,98.5,7,9,62,0,0,2,0,2017
1585,Colin de Grandhomme,98,12,4,33,10,6,2,0,2017
1586,Corey Anderson,94.5,11,3,20,8,9,5,0,2017
1587,Manan Vohra,94,11,0,0,23,9,2,0,2017
1588,Chris Gayle,91.5,9,0,0,15,14,2,0,2017
1589,Mohammed Shami,89.5,8,5,55,4,2,0,0,2017
1590,Mitchell Johnson,88,5,7,55,1,1,1,0,2017
1591,Shane Watson,88,8,5,47,6,1,2,0,2017
1592,Kane Williamson,87.5,7,0,0,20,10,1,0,2017
1593,Mohammed Siraj,85.5,6,10,48,0,0,1,0,2017
1594,Kagiso Rabada,85,6,6,48,5,1,0,0,2017
1595,Sreenath Arvind,83,10,5,58,2,0,1,0,2017
1596,Mandeep Singh,81.5,11,0,0,21,4,6,0,2017
1597,Ashish Nehra,77.5,6,8,47,0,0,1,0,2017
1598,Varun Aaron,75.5,6,7,51,0,0,0,0,2017
1599,Martin Guptill,75,7,0,0,17,5,6,0,2017
1600,Shahbaz Nadeem,73,7,6,47,0,0,2,0,2017
1601,James Faulkner,72.5,8,6,34,4,0,3,0,2017
1602,Trent Boult,70.5,6,5,53,0,0,0,0,2017
1603,Aniket Choudhary,65.5,5,5,42,1,1,0,0,2017
1604,Adam Zampa,65,6,7,38,1,0,0,0,2017
1605,Tymal Mills,64.5,5,5,41,0,1,1,0,2017
1606,Travis Head,62.5,7,2,7,9,6,2,0,2017
1607,Pradeep Sangwan,61.5,5,5,44,0,0,0,0,2017
1608,Sam Billings,61,6,0,0,19,1,4,0,2017
1609,Praveen Kumar,61,6,6,40,0,0,0,0,2017
1610,Yusuf Pathan,60,15,1,8,9,6,2,0,2017
1611,Piyush Chawla,59.5,6,6,36,0,0,1,0,2017
1612,Lendl Simmons,58,7,0,0,10,8,2,0,2017
1613,Deepak Hooda,53,10,2,7,5,4,5,0,2017
1614,Stuart Binny,51,8,4,9,6,3,1,0,2017
1615,Lockie Ferguson,50.5,4,3,40,0,0,0,0,2017
1616,Ankit Soni,50,7,2,37,0,1,1,0,2017
1617,Bipul Sharma,49.5,7,3,28,2,1,1,0,2017
1618,Ben Cutting,49,4,1,20,5,3,1,0,2017
1619,Dhawal Kulkarni,48,6,3,35,0,0,1,0,2017
1620,Ankit Rajpoot,46,5,4,27,1,0,1,0,2017
1621,Adam Milne,45.5,4,3,25,0,0,4,0,2017
1622,Rahul Tewatia,43.5,3,3,23,4,0,0,0,2017
1623,Suryakumar Yadav,43,10,0,0,8,3,5,0,2017
1624,Mohammad Nabi,41,3,2,34,0,0,0,0,2017
1625,KC Cariappa,38.5,4,4,22,0,0,1,0,2017
1626,Tim Southee,37.5,3,3,21,0,1,1,0,2017
1627,Vijay Shankar,36,4,0,0,12,1,1,0,2017
1628,Ambati Rayudu,35.5,5,0,0,7,3,3,0,2017
1629,Ishant Sharma,34.5,6,0,32,1,0,0,0,2017
1630,T Natarajan,31,6,2,24,0,0,0,0,2017
1631,Naman Ojha,30.5,14,0,0,2,3,6,0,2017
1632,Eoin Morgan,29.5,4,0,0,6,2,3,0,2017
1633,David Miller,29,5,0,0,4,4,2,0,2017
1634,Jason Roy,28.5,3,0,0,9,1,1,0,2017
1635,Marcus Stoinis,27,5,2,10,1,0,3,0,2017
1636,Ashok Dinda,27,3,1,21,1,0,0,0,2017
1637,Billy Stanlake,26.5,2,2,17,0,0,1,0,2017
1638,Rahul Chahar,25.5,3,2,16,0,0,1,0,2017
1639,Rajat Bhatia,24.5,3,2,9,0,1,2,0,2017
1640,Saurabh Tiwary,22.5,1,0,0,9,0,0,0,2017
1641,Deepak Chahar,22.5,3,1,12,0,2,0,0,2017
1642,Harshal Patel,18.5,1,3,8,0,0,0,0,2017
1643,Sheldon Jackson,17.5,4,0,0,5,0,2,0,2017
1644,Marlon Samuels,17,5,0,5,1,2,1,0,2017
1645,Angelo Mathews,16.5,3,0,3,2,1,2,0,2017
1646,Nathu Singh,16.5,2,1,13,0,0,0,0,2017
1647,Carlos Brathwaite,14.5,2,1,6,2,0,0,0,2017
1648,Avesh Khan,14.5,1,1,11,0,0,0,0,2017
1649,Munaf Patel,13.5,2,1,10,0,0,0,0,2017
1650,Jayant Yadav,13,2,0,13,0,0,0,0,2017
1651,Swapnil Singh,13,4,1,7,0,0,1,0,2017
1652,Vinay Kumar,13,1,2,6,0,0,0,0,2017
1653,Iqbal Abdulla,13,2,2,6,0,0,0,0,2017
1654,Shubham Agarwal,13,1,1,7,0,0,1,0,2017
1655,Vishnu Vinod,11,3,0,0,1,1,0,2,2017
1656,Matt Henry,10.5,2,1,7,0,0,0,0,2017
1657,Sachin Baby,10,3,0,0,2,0,2,0,2017
1658,Mayank Agarwal,10,3,0,0,3,0,1,0,2017
1659,Ankit Sharma,9.5,1,0,1,2,1,0,0,2017
1660,Aditya Tare,7.5,3,0,0,3,0,0,0,2017
1661,Ishank Jaggi,7.5,2,0,0,3,0,0,0,2017
1662,Anureet Singh,7,1,0,2,2,0,0,0,2017
1663,Tejas Baroka,6,1,0,6,0,0,0,0,2017
1664,Chris Jordan,5.5,1,1,2,0,0,0,0,2017
1665,Shakib Al Hasan,5,1,0,5,0,0,0,0,2017
1666,Barinder Sran,4,1,0,4,0,0,0,0,2017
1667,Manpreet Gony,4,1,0,4,0,0,0,0,2017
1668,Shadab Jakati,4,2,0,4,0,0,0,0,2017
1669,Irfan Pathan,4,1,0,4,0,0,0,0,2017
1670,Mustafizur Rahman,3,1,0,3,0,0,0,0,2017
1671,Ankit Bawne,2.5,1,0,0,1,0,0,0,2017
1672,Darren Bravo,2.5,1,0,0,1,0,0,0,2017
1673,Faf du Plessis,2.5,2,0,0,1,0,0,0,2017
1674,Gurkeerat Mann Singh,0,2,0,0,0,0,0,0,2017
1675,Rinku Singh,0,1,0,0,0,0,0,0,2017
1676,Akshdeep Nath,0,1,0,0,0,0,0,0,2017
1677,SunilNarine,379.5,16,17,137,40,23,1,0,2018
1678,Shane Watson,318,15,6,57,44,35,3,0,2018
1679,Rishabh Pant,314.5,14,0,0,68,37,4,2,2018
1680,Lokesh Rahul,304.5,14,0,0,66,32,10,1,2018
1681,Andre Russell,292.5,16,13,76,17,31,8,0,2018
1682,Rashid Khan,284,17,21,167,3,6,6,0,2018
1683,Kane Williamson,273,17,0,0,64,28,6,0,2018
1684,Hardik Pandya,269.5,13,18,98,20,11,8,0,2018
1685,Ambati Rayudu,256.5,16,0,0,53,34,2,0,2018
1686,Krunal Pandya,239.5,14,12,85,22,10,9,0,2018
1687,Shakib Al Hasan,237,17,14,98,26,5,3,0,2018
1688,Suryakumar Yadav,228.5,14,0,0,61,16,8,0,2018
1689,Jos Buttler,228.5,13,0,0,52,21,9,1,2018
1690,Shikhar Dhawan,226.5,16,0,0,59,14,12,0,2018
1691,Dinesh Karthik,223.5,16,0,0,49,16,14,4,2018
1692,Umesh Yadav,223,14,20,148,0,0,2,0,2018
1693,Andrew Tye,221,14,24,116,2,1,5,0,2018
1694,AB de Villiers,217.5,12,0,0,39,30,6,0,2018
1695,Dwayne Bravo,216.5,16,14,90,8,10,9,0,2018
1696,Virat Kohli,213,14,0,0,52,18,8,0,2018
1697,Chris Lynn,210.5,16,0,0,56,18,3,0,2018
1698,Siddarth Kaul,209.5,17,21,131,0,0,2,0,2018
1699,Krishnappa Gowtham,207.5,15,11,90,9,9,10,0,2018
1700,Jasprit Bumrah,205,14,17,133,1,0,4,0,2018
1701,Trent Boult,203.5,14,18,118,0,0,9,0,2018
1702,MS Dhoni,200,16,0,0,24,30,11,3,2018
1703,Shardul Thakur,186.5,13,16,113,3,0,4,0,2018
1704,Suresh Raina,179.5,15,0,0,46,12,9,0,2018
1705,Piyush Chawla,175,15,14,110,1,1,4,0,2018
1706,Yuzvendra Chahal,175,14,12,128,0,0,2,0,2018
1707,Chris Gayle,174.5,11,0,0,30,27,2,0,2018
1708,Ben Stokes,173.5,13,8,77,13,6,6,0,2018
1709,Evin Lewis,171.5,13,0,0,32,24,3,0,2018
1710,Deepak Chahar,171,12,10,117,1,4,1,0,2018
1711,Kuldeep Yadav,171,16,17,94,1,0,6,0,2018
1712,Ravindra Jadeja,169.5,16,11,82,3,4,11,0,2018
1713,Jaydev Unadkat,169,15,11,97,6,1,6,0,2018
1714,Bhuvneshwar Kumar,163,12,9,124,1,0,2,0,2018
1715,Sandeep Sharma,163,12,12,116,0,0,2,0,2018
1716,Robin Uthappa,161,16,0,0,30,21,5,0,2018
1717,Ravichandran Ashwin,159.5,14,10,77,7,5,5,0,2018
1718,Shreyas Iyer,158.5,14,0,0,29,21,5,0,2018
1719,Mitchell McClenaghan,158,11,14,103,1,1,0,0,2018
1720,Jofra Archer,158,10,15,98,2,0,1,0,2018
1721,Sanju Samson,154,15,0,0,30,19,5,0,2018
1722,Mayank Markande,152,14,15,87,2,0,3,0,2018
1723,Nitish Rana,150,15,4,17,26,14,2,0,2018
1724,Mujeeb Ur Rahman,149.5,11,14,93,2,0,1,0,2018
1725,Mohammed Siraj,149.5,11,11,90,2,1,5,0,2018
1726,Ishan Kishan,142,14,0,0,22,17,9,2,2018
1727,Shreyas Gopal,126.5,11,11,68,5,0,3,0,2018
1728,Glenn Maxwell,126,12,5,32,14,9,4,0,2018
1729,Ankit Rajpoot,126,8,11,80,1,0,2,0,2018
1730,Karun Nair,125.5,13,0,0,23,13,9,0,2018
1731,Ajinkya Rahane,125,15,0,0,39,5,4,0,2018
1732,Rohit Sharma,124.5,14,0,0,25,12,8,0,2018
1733,Lungi Ngidi,120,7,11,79,0,0,1,0,2018
1734,Amit Mishra,116,10,12,74,0,0,0,0,2018
1735,Harbhajan Singh,113.5,13,7,68,3,1,4,0,2018
1736,Prithvi Shaw,112.5,9,0,0,27,10,4,0,2018
1737,Yusuf Pathan,106.5,15,1,2,22,11,3,0,2018
1738,Quinton de Kock,103,8,0,0,20,8,7,3,2018
1739,Tim Southee,100,8,5,59,5,1,3,0,2018
1740,Prasidh Krishna,97.5,7,10,60,0,0,1,0,2018
1741,Manish Pandey,95,15,0,0,22,5,9,0,2018
1742,Vijay Shankar,92.5,13,1,8,11,11,6,0,2018
1743,Shivam Mavi,91.5,9,5,64,1,0,3,0,2018
1744,Ben Cutting,89,9,2,24,5,8,7,0,2018
1745,Mustafizur Rahman,88.5,7,7,59,0,0,2,0,2018
1746,Mandeep Singh,88.5,14,0,0,16,11,4,0,2018
1747,Colin de Grandhomme,85.5,9,2,26,4,10,3,0,2018
1748,Harshal Patel,84,5,7,36,1,6,0,0,2018
1749,Chris Woakes,83.5,5,8,47,1,1,1,0,2018
1750,Rahul Tewatia,83,8,6,41,5,1,2,0,2018
1751,Rahul Tripathi,83,12,0,0,18,8,4,0,2018
1752,Mohit Sharma,82,9,7,50,1,0,2,0,2018
1753,Shubman Gill,80,13,0,0,22,5,3,0,2018
1754,Axar Patel,78,9,3,41,3,4,2,0,2018
1755,Carlos Brathwaite,76,4,5,23,1,8,2,0,2018
1756,Moeen Ali,73.5,5,3,27,4,6,2,0,2018
1757,Parthiv Patel,71.5,6,0,0,20,4,3,0,2018
1758,Dhawal Kulkarni,70.5,8,4,54,0,0,1,0,2018
1759,Washington Sundar,69.5,7,4,29,5,4,0,0,2018
1760,Ish Sodhi,68.5,6,5,51,0,0,0,0,2018
1761,Ben Laughlin,68,7,9,34,0,0,1,0,2018
1762,Billy Stanlake,67,4,5,47,1,0,0,0,2018
1763,Faf du Plessis,66,6,0,0,17,6,1,0,2018
1764,Imran Tahir,66,6,6,40,0,0,2,0,2018
1765,Barinder Sran,66,6,4,47,0,0,2,0,2018
1766,Avesh Khan,65.5,6,4,44,0,0,3,0,2018
1767,Brendon McCullum,63.5,6,0,0,16,6,1,0,2018
1768,Mitchell Johnson,63,6,2,46,2,0,2,0,2018
1769,D'Arcy Short,61.5,7,1,8,11,5,2,0,2018
1770,Chris Morris,61,4,3,31,3,2,2,0,2018
1771,Liam Plunkett,61,7,4,42,0,0,2,0,2018
1772,Wriddhiman Saha,61,11,0,0,17,1,5,1,2018
1773,Marcus Stoinis,59.5,7,3,15,6,4,2,0,2018
1774,Kieron Pollard,59.5,9,0,0,10,7,4,0,2018
1775,Alex Hales,58.5,6,0,0,13,6,2,0,2018
1776,Jason Roy,57,5,0,0,9,7,4,0,2018
1777,Aaron Finch,53,10,0,0,6,8,4,0,2018
1778,Sam Billings,50,10,0,0,8,5,5,0,2018
1779,Sandeep Lamichhane,47.5,3,5,30,0,0,0,0,2018
1780,Mohammed Shami,46,4,3,28,1,0,2,0,2018
1781,Tom Curran,46,5,6,15,3,0,1,0,2018
1782,Mayank Agarwal,45,11,0,0,9,5,2,0,2018
1783,Dan Christian,39.5,4,4,22,0,1,0,0,2018
1784,Basil Thampi,39.5,4,5,17,0,0,2,0,2018
1785,Karn Sharma,37.5,6,4,16,0,0,3,0,2018
1786,Colin Munro,36.5,5,0,0,7,4,2,0,2018
1787,Shahbaz Nadeem,34,6,3,21,0,0,1,0,2018
1788,Heinrich Klaasen,33.5,4,0,0,5,1,3,4,2018
1789,David Willey,32,3,2,20,0,0,2,0,2018
1790,Shreevats Goswami,31,6,0,0,6,1,5,0,2018
1791,Murugan Ashwin,30.5,2,3,20,0,0,0,0,2018
1792,Corey Anderson,30,3,3,16,0,1,0,0,2018
1793,Deepak Hooda,29,9,0,6,2,3,3,0,2018
1794,Abhishek Sharma,27.5,3,0,0,3,5,1,0,2018
1795,Javon Searles,27.5,4,2,7,0,1,4,0,2018
1796,KM Asif,26.5,2,3,16,0,0,0,0,2018
1797,Gautam Gambhir,26,6,0,0,8,1,1,0,2018
1798,Sarfaraz Khan,26,7,0,0,7,1,2,0,2018
1799,Kulwant Khejroliya,25,3,2,18,0,0,0,0,2018
1800,Yuvraj Singh,24.5,8,0,0,6,2,1,0,2018
1801,Manoj Tiwary,23.5,5,0,0,4,1,4,0,2018
1802,Mohammad Nabi,23,2,1,12,3,0,0,0,2018
1803,Vinay Kumar,22.5,2,2,8,1,0,2,0,2018
1804,JP Duminy,22,6,0,6,3,1,2,0,2018
1805,Rinku Singh,20,4,0,0,4,0,4,0,2018
1806,Manan Vohra,19,4,0,0,2,4,0,0,2018
1807,Stuart Binny,16.5,7,0,2,2,2,1,0,2018
1808,David Miller,14.5,3,0,0,3,2,0,0,2018
1809,Pawan Negi,12.5,2,1,9,0,0,0,0,2018
1810,Chris Jordan,11,1,0,11,0,0,0,0,2018
1811,Anureet Singh,10,3,1,4,0,0,1,0,2018
1812,Kedar Jadhav,9.5,1,0,0,1,2,0,0,2018
1813,Mark Wood,8.5,1,0,6,0,0,1,0,2018
1814,Junior Dala,7,1,0,7,0,0,0,0,2018
1815,Khaleel Ahmed,7,1,0,7,0,0,0,0,2018
1816,Akila Dananjaya,6,1,0,6,0,0,0,0,2018
1817,Akshdeep Nath,5,1,0,0,1,0,1,0,2018
1818,Pradeep Sangwan,5,1,0,5,0,0,0,0,2018
1819,Prashant Chopra,5,1,0,0,2,0,0,0,2018
1820,Mahipal Lomror,4.5,2,0,2,1,0,0,0,2018
1821,Dhruv Shorey,3.5,1,0,0,0,1,0,0,2018
1822,Murali Vijay,3.5,1,0,0,0,1,0,0,2018
1823,Ankit Sharma,1,1,0,1,0,0,0,0,2018
1824,Naman Ojha,0,1,0,0,0,0,0,0,2018
1825,Ricky Bhui,0,1,0,0,0,0,0,0,2018
1826,AndreRussell,369,14,11,61,31,52,4,0,2019
1827,Hardik Pandya,342,16,14,94,28,29,11,0,2019
1828,Deepak Chahar,274.5,17,22,190,1,0,2,0,2019
1829,Imran Tahir,255,17,26,149,0,0,6,0,2019
1830,Quinton de Kock,247.5,16,0,0,45,25,17,2,2019
1831,Rashid Khan,247.5,15,17,166,2,2,4,0,2019
1832,Rishabh Pant,247,16,0,0,37,27,18,6,2019
1833,Jasprit Bumrah,240.5,16,19,169,0,0,2,0,2019
1834,Ravindra Jadeja,234.5,16,15,128,7,4,9,0,2019
1835,Chris Gayle,231.5,13,0,0,45,34,0,0,2019
1836,KL Rahul,227.5,14,0,0,49,25,7,0,2019
1837,Bhuvneshwar Kumar,226,15,13,168,1,0,4,0,2019
1838,David Warner,221,12,0,0,57,21,2,0,2019
1839,Kagiso Rabada,219,12,25,113,0,1,6,0,2019
1840,Shreyas Gopal,213,14,20,107,8,1,5,0,2019
1841,Shikhar Dhawan,211,16,0,0,64,11,5,0,2019
1842,Krunal Pandya,211,16,12,94,18,5,5,0,2019
1843,Jonny Bairstow,210.5,10,0,0,48,18,9,2,2019
1844,Sunil Narine,205,12,10,96,17,9,0,0,2019
1845,Axar Patel,203,14,10,110,10,3,9,0,2019
1846,Mohammed Shami,198,14,19,119,0,0,5,0,2019
1847,Jofra Archer,191,11,11,121,4,4,3,0,2019
1848,Shane Watson,190,17,0,0,42,20,6,0,2019
1849,Yuzvendra Chahal,187.5,14,18,117,0,0,3,0,2019
1850,Navdeep Saini,187,13,11,141,0,0,3,0,2019
1851,Moeen Ali,186,11,6,63,16,17,1,0,2019
1852,AB de Villiers,183.5,13,0,0,31,26,6,0,2019
1853,Harbhajan Singh,183,11,16,117,0,0,4,0,2019
1854,Rahul Chahar,183,13,13,125,2,0,3,0,2019
1855,Chris Lynn,182,13,0,0,41,22,1,0,2019
1856,Ravichandran Ashwin,180.5,14,15,100,3,3,4,0,2019
1857,Ishant Sharma,176,13,13,122,1,1,1,0,2019
1858,MS Dhoni,175.5,15,0,0,22,23,11,5,2019
1859,Rohit Sharma,175,15,0,0,52,10,4,0,2019
1860,Parthiv Patel,175,14,0,0,48,10,6,2,2019
1861,Nitish Rana,174,14,3,15,27,21,3,0,2019
1862,Virat Kohli,173,14,0,0,46,13,5,0,2019
1863,Faf du Plessis,172.5,12,0,0,36,15,12,0,2019
1864,Shreyas Iyer,171.5,16,0,0,41,14,8,0,2019
1865,Suryakumar Yadav,170,16,0,0,45,10,9,0,2019
1866,Jos Buttler,164,8,0,0,38,14,8,0,2019
1867,Suresh Raina,162.5,17,0,1,45,9,7,0,2019
1868,Ajinkya Rahane,156.5,14,0,0,45,9,5,0,2019
1869,Mohammad Nabi,156.5,8,8,69,8,7,6,0,2019
1870,Khaleel Ahmed,153.5,9,19,87,0,0,0,0,2019
1871,Piyush Chawla,151.5,13,10,87,4,2,5,0,2019
1872,Dwayne Bravo,150.5,12,11,74,6,3,5,0,2019
1873,Lasith Malinga,149.5,12,16,91,0,0,1,0,2019
1874,Prithvi Shaw,149,16,0,0,45,9,2,0,2019
1875,Sam Curran,143,9,10,60,13,3,2,0,2019
1876,Umesh Yadav,137,11,8,88,3,1,4,0,2019
1877,Chris Morris,133,9,13,68,1,2,4,0,2019
1878,Kieron Pollard,132,16,0,0,14,22,8,0,2019
1879,Mayank Agarwal,131.5,13,0,0,26,14,7,0,2019
1880,Amit Mishra,129,11,11,83,2,0,1,0,2019
1881,Sandeep Sharma,129,11,12,82,1,0,1,0,2019
1882,Sanju Samson,128,12,0,0,28,13,4,1,2019
1883,Manish Pandey,123.5,12,0,0,34,6,7,0,2019
1884,Dinesh Karthik,121.5,14,0,0,22,14,7,0,2019
1885,Robin Uthappa,115,12,0,0,28,10,4,0,2019
1886,Prasidh Krishna,114,11,4,95,0,0,2,0,2019
1887,Marcus Stoinis,114,10,2,32,14,10,2,0,2019
1888,Dhawal Kulkarni,113,10,6,77,1,0,5,0,2019
1889,Vijay Shankar,112,15,1,14,11,12,10,0,2019
1890,Shardul Thakur,111.5,10,8,65,1,1,5,0,2019
1891,Shubman Gill,105,14,0,0,21,10,7,0,2019
1892,Keemo Paul,104,8,9,54,1,1,5,0,2019
1893,Jaydev Unadkat,103,11,10,58,0,0,4,0,2019
1894,Mohammed Siraj,98.5,9,7,69,0,0,2,0,2019
1895,Riyan Parag,97.5,7,2,18,17,5,5,0,2019
1896,Steve Smith,96.5,12,0,0,30,4,3,0,2019
1897,Ben Stokes,93.5,9,6,31,8,4,3,0,2019
1898,Ambati Rayudu,89.5,17,0,0,20,7,6,0,2019
1899,David Miller,89.5,10,0,0,19,7,7,0,2019
1900,Murugan Ashwin,84,10,5,59,0,0,3,0,2019
1901,Sandeep Lamichhane,80,6,8,47,0,0,2,0,2019
1902,Siddarth Kaul,79.5,7,6,56,0,0,1,0,2019
1903,Kuldeep Yadav,78,9,4,54,1,0,3,0,2019
1904,Nicholas Pooran,76.5,7,0,0,10,14,1,0,2019
1905,Harry Gurney,75.5,8,7,51,0,0,0,0,2019
1906,Hardus Viljoen,74,6,7,47,0,0,1,0,2019
1907,Jason Behrendorff,71.5,5,5,54,0,0,0,0,2019
1908,Trent Boult,70,5,5,44,0,1,2,0,2019
1909,Colin Ingram,70,12,0,0,20,5,1,0,2019
1910,Kedar Jadhav,68,14,0,0,19,3,4,0,2019
1911,Mitchell Santner,64,4,4,37,0,3,1,0,2019
1912,Sarfaraz Khan,61.5,8,0,0,19,4,0,0,2019
1913,Mitchell McClenaghan,60.5,5,3,45,2,0,0,0,2019
1914,Sherfane Rutherford,53.5,7,1,8,2,7,5,0,2019
1915,Alzarri Joseph,53.5,3,6,25,2,0,1,0,2019
1916,Kane Williamson,52.5,9,0,0,12,5,2,0,2019
1917,Mandeep Singh,50,13,0,1,10,4,4,0,2019
1918,Mujeeb Ur Rahman,50,5,3,37,0,0,1,0,2019
1919,Rahul Tewatia,49.5,5,2,19,2,1,6,0,2019
1920,Wriddhiman Saha,48.5,5,0,0,13,1,4,1,2019
1921,Ankit Rajpoot,48,4,3,35,0,0,1,0,2019
1922,Krishnappa Gowtham,47.5,7,1,38,1,1,0,0,2019
1923,Rahul Tripathi,47,8,0,0,13,2,3,0,2019
1924,Andrew Tye,45.5,6,3,30,0,0,2,0,2019
1925,Liam Livingstone,45.5,4,0,3,6,5,4,0,2019
