Season,Sunrisers Hyderabad
2015,Shikhar Dhawan
2015,Ishant Sharma
2015,Laxmi Ratan Shukla
2015,Siddarth Kaul
2015,Dale Steyn
2015,Praveen Kumar
2015,David Warner
2015,Moises Henriques
2015,Ravi Bopara
2015,Bhuvneshwar Kumar
2015,Eoin Morgan
2015,Karn Sharma
2015,Kevin Pietersen
2015,Naman Ojha
2015,Ashish Reddy
2015,Bipul Sharma
2015,Padmanabhan Prasanth
2015,Parvez Rasool
2015,KL Rahul
2015,Hanuma Vihari
2015,Chama Milind
2015,Ricky Bhui
2015,Kane Williamson
2015,Trent Boult
