Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
Parthiv Patel,Dinesh Karthik,Rohit Sharma,Ajinkya Rahane,Ravichandran Ashwin,Amit Mishra,Mahendra Singh Dhoni,Siddarth Kaul
AB de Villiers,Piyush Chawla,Yuvraj Singh,Dhawal Kulkarni,Chris Gayle,Shikhar Dhawan,Suresh Raina,Wriddhiman Saha
Dale Steyn,Robin Uthappa,Lasith Malinga,Jaydev Unadkat,Moises Henriques,Ishant Sharma,Dwayne Bravo,Manish Pandey
Virat Kohli,Chris Lynn,Aditya Tare,Varun Aaron,Mandeep Singh,Colin Ingram,Harbhajan Singh,Shreevats Goswami
Umesh Yadav,Shrikant Mundhe,Kieron Pollard,Stuart Binny,Mohammed Shami,Harshal Patel,Ravindra Jadeja,Yusuf Pathan
Tim Southee,Andre Russell,Suryakumar Yadav,Steve Smith,David Miller,Chris Morris,Shane Watson,David Warner
Yuzvendra Chahal,Sunil Narine,Ben Cutting,Manan Vohra,Mayank Agarwal,Axar Patel,Murali Vijay,Bhuvneshwar Kumar
Pawan Negi,Kuldeep Yadav,Jasprit Bumrah,Sanju Samson,Karun Nair,Jalaj Saxena,Karn Sharma,Shahbaz Nadeem
Gurkeerat Singh,Sandeep Warrier,Quinton de Kock,Shreyas Gopal,Ankit Rajpoot,Hanuma Vihari,Kedar Jadhav,Shakib Al Hasan
Nathan Coulter-Nile,KC Cariappa,Jayant Yadav,Jos Buttler,KL Rahul,Ankush Bains,Ambati Rayudu,Vijay Shankar
Milind Kumar,Nikhil Naik,Beuran Hendricks,Shashank Singh,Andrew Tye,Rahul Tewatia,Francois du Plessis,Sandeep Sharma
Marcus Stoinis,Nitish Rana,Hardik Pandya,Krishnappa Gowtham,Sarfaraz Khan,Shreyas Iyer,Deepak Chahar,Deepak Hooda
Akshdeep Nath,Carlos Brathwaite,Mitchell McClenaghan,Ben Stokes,Murugan Ashwin,Colin Munro,Mohit Sharma,Ricky Bhui
Navdeep Saini,Rinku Singh,Siddhesh Lad,Rahul Tripathi,Nicholas Pooran,Jagadeesha Suchith,Imran Tahir,Kane Williamson
Colin de Grandhomme,Lockie Ferguson,Adam Milne,Aryaman Birla,Mujeeb Ur Rahman,Trent Boult,Shardul Thakur,Khaleel Ahmed
Kulwant Khejroliya,Kamlesh Nagarkoti,Barinder Sran,Ish Sodhi,Agnivesh Ayachi,Rishabh Pant,Sam Billings,Martin Guptill
Washington Sundar,Prasidh Krishna,Ishan Kishan,Jofra Archer,Arshdeep Singh,Nathu Singh,Chaitanya Bishnoi,Basil Thampi
Mohammed Siraj,Shivam Mavi,Krunal Pandya,Mahipal Lomror,Darshan Nalkande,Kagiso Rabada,David Willey,T Natarajan
Moeen Ali,Shubman Gill,Rahul Chahar,Prashant Chopra,Hardus Viljoen,Avesh Khan,Dhruv Shorey,Billy Stanlake
Heinrich Klaasen,Anrich Nortje,Anukul Roy,Sudhesan Midhun,Harpreet Brar,Manjot Kalra,KM Asif,Mohammad Nabi
Devdutt Padikkal,Harry Gurney,Evin Lewis,Ashton Turner,Prabhsimran Singh,Prithvi Shaw,Lungi Ngidi,Rashid Khan
Himmat Singh,Joe Denly,Jason Behrendorff,Liam Livingstone,Sam Curran,Sandeep Lamichhane,Mitchell Santner,Abhishek Sharma
Prayas Ray Barman,Matthew Kelly,Mayank Markande,Oshane Thomas,Varun Chakravarthy,Bandaru Ayyappa,Monu Kumar,Jonny Bairstow
Shimron Hetmyer,Prithvi Raj,Alzarri Joseph,Riyan Parag,,Keemo Paul,Nayaran Jagadeesan,
Shivam Dube,,Anmolpreet Singh,Shubham Ranjane,,Sherfane Rutherford,Ruturaj Gaikwad,
,,Pankaj Jaiswal,,,,Scott Kuggeleijn,
,,Rasikh Salam Dar,,,,,
