Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings
Manish Pandey,Sanjay Bangar,Shikhar Dhawan,Abhishek Raut,Azhar Mehmood,AB de Villiers,Adam Gilchrist,Abhinav Mukund
Robin Uthappa,Manoj Tiwary,Kyle Mills,Dimitri Mascarenhas,Brett Lee,Amit Mishra,Andrew Symonds,Albie Morkel
Anil Kumble,Ajantha Mendis,Abhishek Nayar,Faiz Fazal,Irfan Pathan,Daniel Vettori,Arjun Yadav,Anirudha Srikkanth
Balachandra Akhil,Ajit Agarkar,Ajinkya Rahane,Graeme Smith,James Hopes,Dinesh Karthik,Chaminda Vaas,Jacob Oram
Cameron White,Ashok Dinda,Dhawal Kulkarni,Morne Morkel,Karan Goel,Farveez Maharoof,Dwaraka Ravi Teja,Joginder Sharma
Dale Steyn,Brad Hodge,Dilhara Fernando,Munaf Patel,Kumar Sangakkara,Gautam Gambhir,Herschelle Gibbs,KB Arun Karthik
Jacques Kallis,Brendon McCullum,Dwayne Bravo,Shane Warne,Luke Pomersbach,Mithun Manhas,Mohnish Mishra,Lakshmipathy Balaji
KP Appanna,Cheteshwar Pujara,Harbhajan Singh,Shane Watson,Mahela Jayawardene,Pradeep Sangwan,Pragyan Ojha,Mahendra Singh Dhoni
Mark Boucher,Chris Gayle,Lasith Malinga,Siddharth Trivedi,Piyush Chawla,Rajat Bhatia,R. P. Singh,Makhaya Ntini
Praveen Kumar,David Hussey,Pinal Shah,Swapnil Asnodkar,Ramesh Powar,Sumit Narwal,Rohit Sharma,Manpreet Gony
Rahul Dravid,Iqbal Abdulla,Sachin Tendulkar,Yusuf Pathan,Shaun Marsh,Tillakaratne Dilshan,Scott Styris,Matthew Hayden
Ross Taylor,Ishant Sharma,Sanath Jayasuriya,Aditya Dole,Simon Katich,Virender Sehwag,V.V.S. Laxman,Mike Hussey
Shreevats Goswami,Laxmi Ratan Shukla,Saurabh Tiwary,Amit Singh,Sreesanth,Yogesh Nagar,Yalaka Venugopal Rao,Muttiah Muralitharan
Vinay Kumar,Mashrafe Mortaza,Zaheer Khan,Johan Botha,Tanmay Srivastava,Yo Mahesh,Fidel Edwards,Parthiv Patel
Virat Kohli,Murali Kartik,Abu Nechim Ahmed,Kamran Khan,V. R. V. Singh,Ashish Nehra,Dwayne Smith,Ravichandran Ashwin
Pankaj Singh,Sourav Ganguly,Graham Napier,Naman Ojha,Yuvraj Singh,Aavishkar Salvi,Azhar Bilakhia,Shadab Jakati
Abhimanyu Mithun,Wriddhiman Saha,JP Duminy,Raiphi Gomez,Mohammad Kaif,Andrew McDonald,Harmeet Singh,Subramaniam Badrinath
Bhuvneshwar Kumar,Owais Shah,Ryan McLaren,Shaun Tait,Manvinder Bisla,David Warner,Kemar Roach,Sudeep Tyagi
CM Gautam,Angelo Mathews,Aditya Tare,Aaron Finch,Amanpreet Singh,Dirk Nannes,Mitchell Marsh,Suresh Raina
Dillon du Preez,Charl Langeveldt,Ali Murtaza,Abhishek Jhunjhunwala,Ravi Bopara,Paul Collingwood,Rahul Sharma,Vidyut Sivaramakrishnan
Eoin Morgan,Chirag Pathak,Ambati Rayudu,Adam Voges,Rusty Theron,Umesh Yadav,Ryan Harris,George Bailey
Jesse Ryder,Eklak Ahmid,Chandan Madan,Amit Paunikar,Vikramjeet Malik,Wayne Parnell,Tirumalasetti Suman,Murali Vijay
Kevin Pietersen,Ganapathi Vignesh,Ishan Malhotra,Amit Uniyal,Yusuf Abdulla,Moises Henriques,Anirudh Singh,Thilan Thushara
Roelof van der Merwe,Harshad Khadiwale,Kieron Pollard,Damien Martyn,Adrian Barath,Kedar Jadhav,Ashish Reddy,Chandrasekar Ganapathy
Sridharan Sriram,Jaydev Unadkat,Rahul Shukla,Michael Lumb,Bipul Sharma,Joginder Singh,Bodapati Sumanth,Doug Bollinger
Steve Smith,Mandeep Singh,Rajagopal Sathish,Shrikant Wagh,Love Ablish,Sarabjit Ladda,,Hemang Badani
,Rohan Gavaskar,Stuart Binny,Syed Quadri,Reetinder Singh Sodhi,Sarandeep Singh,,Justin Kemp
,Shane Bond,Syed Shahabuddin,,Shalabh Srivastava,Shashi Ranjan,,Thisara Perera
,Varun Aaron,,,,,,
