Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings
Gaurav Dhiman,Sanjay Bangar,Shikhar Dhawan,Siddharth Chitnis,Ranadeb Bose,AB de Villiers,Adam Gilchrist,Abhinav Mukund
Manish Pandey,Aakash Chopra,Kyle Mills,Abhishek Raut,Ajitesh Argal,Amit Mishra,Andrew Symonds,Albie Morkel
Robin Uthappa,Ajantha Mendis,Abhishek Nayar,Aditya Angle,Azhar Mehmood,Daniel Vettori,Arjun Yadav,Jacob Oram
Anil Kumble,Ajit Agarkar,Ajinkya Rahane,Anup Revandkar,Brett Lee,Dinesh Karthik,Chamara Silva,Joginder Sharma
Balachandra Akhil,Ashok Dinda,Dhawal Kulkarni,Dimitri Mascarenhas,Irfan Pathan,Farveez Maharoof,Chaminda Vaas,KB Arun Karthik
Bharat Chipli,Brad Hodge,Dilhara Fernando,Dinesh Salunkhe,James Hopes,Gautam Gambhir,Doddapaneni Kalyankrishna,Lakshmipathy Balaji
Cameron White,Brendon McCullum,Dwayne Bravo,Faiz Fazal,Karan Goel,Glenn McGrath,Dwaraka Ravi Teja,Mahendra Singh Dhoni
Dale Steyn,Cheteshwar Pujara,Harbhajan Singh,Graeme Smith,Kumar Sangakkara,Manoj Tiwary,Halhadar Das,Makhaya Ntini
Devraj Patil,Chris Gayle,Lasith Malinga,Justin Langer,Luke Pomersbach,Mithun Manhas,Herschelle Gibbs,Manpreet Gony
Jacques Kallis,David Hussey,Luke Ronchi,Mahesh Rawat,Mahela Jayawardene,Pradeep Sangwan,Nuwan Zoysa,Matthew Hayden
Jagadeesh Arunkumar,Iqbal Abdulla,Mohammad Ashraful,Mohammad Kaif,Piyush Chawla,Rajat Bhatia,Paidikalva Vijaykumar,Mike Hussey
KP Appanna,Ishant Sharma,Pinal Shah,Morne Morkel,Ramesh Powar,Sumit Narwal,PM Sarvesh Kumar,Muttiah Muralitharan
Mark Boucher,Laxmi Ratan Shukla,Rohan Raje,Munaf Patel,Sahil Kukreja,Tejashwi Yadav,Pragyan Ojha,Napoleon Einstein
Nathan Bracken,Mashrafe Mortaza,Sachin Tendulkar,Niraj Patel,Shaun Marsh,Tillakaratne Dilshan,R. P. Singh,Palani Amarnath
Praveen Kumar,Murali Kartik,Sanath Jayasuriya,Parag More,Simon Katich,Virender Sehwag,Rohit Sharma,Parthiv Patel
Rahul Dravid,Ricky Ponting,Saurabh Tiwary,Ravindra Jadeja,Sreesanth,Yogesh Nagar,Scott Styris,Ravichandran Ashwin
Ross Taylor,Rohan Banerjee,Yogesh Takawale,Shane Warne,Sunny Sohal,Yo Mahesh,V.V.S. Laxman,Selvam Suresh Kumar
Shreevats Goswami,Siddarth Kaul,Zaheer Khan,Shane Watson,Tanmay Srivastava,Ashish Nehra,Yalaka Venugopal Rao,Shadab Jakati
Sunil Joshi,Sourav Ganguly,Jaydev Shah,Siddharth Trivedi,Uday Kaul,Aavishkar Salvi,Fidel Edwards,Subramaniam Badrinath
Vinay Kumar,Wriddhiman Saha,Abu Nechim Ahmed,Swapnil Asnodkar,V. R. V. Singh,Andrew McDonald,Dwayne Smith,Sudeep Tyagi
Virat Kohli,Yashpal Singh,Chentanya Nanda,Yusuf Pathan,Wilkin Mota,David Warner,Abhinav Kumar,Suresh Raina
Wasim Jaffer,Angelo Mathews,Graham Napier,Abdulahad Malek,Yuvraj Singh,Dirk Nannes,Azhar Bilakhia,Vidyut Sivaramakrishnan
Pankaj Singh,Anureet Singh,JP Duminy,Aditya Dole,Amanpreet Singh,Owais Shah,Harmeet Singh,Viraj Kadbe
Abhimanyu Mithun,Arindam Ghosh,Rahil Shaikh,Amit Singh,Burt Cockley,Paul Collingwood,Jaskaran Singh,Andrew Flintoff
Bhuvneshwar Kumar,Charl Langeveldt,Ryan McLaren,Ashraf Makda,Jerome Taylor,Umesh Yadav,Kemar Roach,George Bailey
CM Gautam,Moises Henriques,,Atul Sharma,Ravi Bopara,Wayne Parnell,Manvinder Bisla,Murali Vijay
Dillon du Preez,Morné van Wyk,,Gajendra Singh,Ravikant Shukla,,Mitchell Marsh,Thilan Thushara
Eoin Morgan,Sachin Rana,,Johan Botha,Rusty Theron,,Rahul Sharma,
Ishank Jaggi,Shoaib Shaikh,,Kamran Khan,Ryan Ninan,,Ryan Harris,
Jesse Ryder,,,Lee Carseldine,Vikramjeet Malik,,Shoaib Ahmed,
Jitendra Patil,,,Mohammed Arif,Yusuf Abdulla,,Tirumalasetti Suman,
Karn Sharma,,,Naman Ojha,,,,
Kedar Jadhav,,,Paras Dogra,,,,
Kevin Pietersen,,,Paul Valthaty,,,,
Rajesh Bishnoi,,,Pushkaraj Chavan,,,,
Raju Bhatkal,,,Raiphi Gomez,,,,
Rangaraj Suthesh,,,Rob Quiney,,,,
RK Sabharwal,,,Shaun Tait,,,,
Roelof van der Merwe,,,Shrideep Mangela,,,,
Saurabh Bandekar,,,Tyron Henderson,,,,
Sreenath Aravind,,,,,,,
Tinu Yohannan,,,,,,,
Udit Patel,,,,,,,
