Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Kings XI Punjab,Delhi Daredevils,Sunrisers Hyderabad,Rising Pune Supergiant,Gujarat Lions
AB de Villiers,Gautam Gambhir,Parthiv Patel,Wriddhiman Saha,Amit Mishra,Shikhar Dhawan,Albie Morkel,Shadab Jakati
Chris Gayle,Piyush Chawla,Rohit Sharma,Rishi Dhawan,Zaheer Khan,Siddarth Kaul,Mahendra Singh Dhoni,Suresh Raina
Iqbal Abdulla,Manish Pandey,Harbhajan Singh,Shaun Marsh,JP Duminy,Yuvraj Singh,Ravichandran Ashwin,Dinesh Karthik
Virat Kohli,Robin Uthappa,Lasith Malinga,Swapnil Singh,Shahbaz Nadeem,Ashish Nehra,R. P. Singh,Pradeep Sangwan
Shane Watson,Morne Morkel,Vinay Kumar,Murali Vijay,Mohammed Shami,Tirumalasetti Suman,Rajat Bhatia,Brendon McCullum
Vikramjeet Malik,Yusuf Pathan,Jerome Taylor,Anureet Singh,Pawan Suyal,David Warner,Ashok Dinda,Dhawal Kulkarni
Abu Nechim Ahmed,Umesh Yadav,Ambati Rayudu,David Miller,Mayank Agarwal,Moises Henriques,Ishant Sharma,Dwayne Bravo
Kedar Jadhav,Shaun Tait,Kieron Pollard,Manan Vohra,Pawan Negi,Abhimanyu Mithun,Irfan Pathan,Dwayne Smith
Sreenath Aravind,Jaydev Unadkat,Tim Southee,Glenn Maxwell,Sanju Samson,Bhuvneshwar Kumar,Ajinkya Rahane,Dale Steyn
Mandeep Singh,Rajagopal Sathish,Unmukt Chand,Gurkeerat Singh,Karun Nair,Eoin Morgan,Saurabh Tiwary,Praveen Kumar
Varun Aaron,Chris Lynn,Marchant de Lange,Kyle Abbott,Chris Morris,Karn Sharma,George Bailey,Jaydev Shah
Stuart Binny,Shakib Al Hasan,Jasprit Bumrah,Mitchell Johnson,Nathan Coulter-Nile,Naman Ojha,Jaskaran Singh,Ravindra Jadeja
Yuzvendra Chahal,John Hastings,Corey Anderson,Mohit Sharma,Quinton de Kock,Ashish Reddy,Mitchell Marsh,Paras Dogra
Harshal Patel,Suryakumar Yadav,Lendl Simmons,Sandeep Sharma,Imran Tahir,Bipul Sharma,Kevin Pietersen,Sarabjit Ladda
Samuel Badree,Andre Russell,Shreyas Gopal,Axar Patel,Jayant Yadav,Aditya Tare,Thisara Perera,Aaron Finch
Kane Richardson,Sunil Narine,Akshay Wakhare,Shardul Thakur,Chama Milind,Ben Cutting,Steve Smith,Eklavya Dwivedi
Parvez Rasool,Kuldeep Yadav,Hardik Pandya,Marcus Stoinis,Pratyush Singh,Vijay Shankar,Francois du Plessis,James Faulkner
KL Rahul,Brad Hogg,Jagadeesha Suchith,KC Cariappa,Shreyas Iyer,Deepak Hooda,Ankit Sharma,Pravin Tambe
Mitchell Starc,Ankit Rajpoot,Mitchell McClenaghan,Nikhil Naik,Akhil Herwadkar,Ricky Bhui,Deepak Chahar,Amit Mishra
Travis Head,Jason Holder,Nitish Rana,Pardeep Sahu,Carlos Brathwaite,Barinder Sran,Baba Aparajith,Andrew Tye
Adam Milne,Sheldon Jackson,Siddhesh Lad,Armaan Jaffer,Khaleel Ahmed,Kane Williamson,Ishwar Pandey,Akshdeep Nath
David Wiese,Colin Munro,Deepak Punia,Farhaan Behardien,Rishabh Pant,Trent Boult,Ankush Bains,Ishan Kishan
Sarfaraz Khan,Manan Sharma,Jitesh Sharma,Hashim Amla,Sam Billings,Mustafizur Rahman,Adam Zampa,Shivil Kaushik
Akshay Karnewar,,Jos Buttler,,Joel Paris,,Murugan Ashwin,Umang Sharma
Chris Jordan,,Kishore Kamath,,,,Peter Handscomb,
Praveen Dubey,,Krunal Pandya,,,,Scott Boland,
Tabraiz Shamsi,,Martin Guptill,,,,Usman Khawaja,
Vikas Tokas,,Nathu Singh,,,,,
