Season,Kolkata Knight Riders
2009,Sanjay Bangar
2009,Aakash Chopra
2009,Ajantha Mendis
2009,Ajit Agarkar
2009,Ashok Dinda
2009,Brad Hodge
2009,Brendon McCullum
2009,Cheteshwar Pujara
2009,Chris Gayle
2009,David Hussey
2009,Iqbal Abdulla
2009,Ishant Sharma
2009,Laxmi Ratan Shukla
2009,Mashrafe Mortaza
2009,Murali Kartik
2009,Ricky Ponting
2009,Rohan Banerjee
2009,Siddarth Kaul
2009,Sourav Ganguly
2009,Wriddhiman Saha
2009,Yashpal Singh
2009,Angelo Mathews
2009,Anureet Singh
2009,Arindam Ghosh
2009,Charl Langeveldt
2009,Moises Henriques
2009,Morné van Wyk
2009,Sachin Rana
2009,Shoaib Shaikh
