Season,Royal Challengers Bangalore
2009,Gaurav Dhiman
2009,Manish Pandey
2009,Robin Uthappa
2009,Anil Kumble
2009,Balachandra Akhil
2009,Bharat Chipli
2009,Cameron White
2009,Dale Steyn
2009,Devraj Patil
2009,Jacques Kallis
2009,Jagadeesh Arunkumar
2009,KP Appanna
2009,Mark Boucher
2009,Nathan Bracken
2009,Praveen Kumar
2009,Rahul Dravid
2009,Ross Taylor
2009,Shreevats Goswami
2009,Sunil Joshi
2009,Vinay Kumar
2009,Virat Kohli
2009,Wasim Jaffer
2009,Pankaj Singh
2009,Abhimanyu Mithun
2009,Bhuvneshwar Kumar
2009,CM Gautam
2009,Dillon du Preez
2009,Eoin Morgan
2009,Ishank Jaggi
2009,Jesse Ryder
2009,Jitendra Patil
2009,Karn Sharma
2009,Kedar Jadhav
2009,Kevin Pietersen
2009,Rajesh Bishnoi
2009,Raju Bhatkal
2009,Rangaraj Suthesh
2009,RK Sabharwal
2009,Roelof van der Merwe
2009,Saurabh Bandekar
2009,Sreenath Aravind
2009,Tinu Yohannan
2009,Udit Patel
