Season,Deccan Chargers
2009,Adam Gilchrist
2009,Andrew Symonds
2009,Arjun Yadav
2009,Chamara Silva
2009,Chaminda Vaas
2009,Doddapaneni Kalyankrishna
2009,Dwaraka Ravi Teja
2009,Halhadar Das
2009,Herschelle Gibbs
2009,Nuwan Zoysa
2009,Paidikalva Vijaykumar
2009,PM Sarvesh Kumar
2009,Pragyan Ojha
2009,R. P. Singh
2009,Rohit Sharma
2009,Scott Styris
2009,V.V.S. Laxman
2009,Yalaka Venugopal Rao
2009,Fidel Edwards
2009,Dwayne Smith
2009,Abhinav Kumar
2009,Azhar Bilakhia
2009,Harmeet Singh
2009,Jaskaran Singh
2009,Kemar Roach
2009,Manvinder Bisla
2009,Mitchell Marsh
2009,Rahul Sharma
2009,Ryan Harris
2009,Shoaib Ahmed
2009,Tirumalasetti Suman
