Season,Kings XI Punjab
2009,Ranadeb Bose
2009,Ajitesh Argal
2009,Azhar Mehmood
2009,Brett Lee
2009,Irfan Pathan
2009,James Hopes
2009,Karan Goel
2009,Kumar Sangakkara
2009,Luke Pomersbach
2009,Mahela Jayawardene
2009,Piyush Chawla
2009,Ramesh Powar
2009,Sahil Kukreja
2009,Shaun Marsh
2009,Simon Katich
2009,Sreesanth
2009,Sunny Sohal
2009,Tanmay Srivastava
2009,Uday Kaul
2009,V. R. V. Singh
2009,Wilkin Mota
2009,Yuvraj Singh
2009,Amanpreet Singh
2009,Burt Cockley
2009,Jerome Taylor
2009,Ravi Bopara
2009,Ravikant Shukla
2009,Rusty Theron
2009,Ryan Ninan
2009,Vikramjeet Malik
2009,Yusuf Abdulla
