Season,Rajasthan Royals,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2018,Ajinkya Rahane,125.0,15.0,0.0,0.0,39.0,5.0,4.0,0.0
2018,Ankit Sharma,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2018,Anureet Singh,10.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0
2018,Aryaman Birla,,,,,,,,
2018,Ben Laughlin,68.0,7.0,9.0,34.0,0.0,0.0,1.0,0.0
2018,Ben Stokes,173.5,13.0,8.0,77.0,13.0,6.0,6.0,0.0
2018,D'Arcy Short,61.5,7.0,1.0,8.0,11.0,5.0,2.0,0.0
2018,Dhawal Kulkarni,70.5,8.0,4.0,54.0,0.0,0.0,1.0,0.0
2018,Dushmantha Chameera,,,,,,,,
2018,Heinrich Klaasen,33.5,4.0,0.0,0.0,5.0,1.0,3.0,4.0
2018,Ish Sodhi,68.5,6.0,5.0,51.0,0.0,0.0,0.0,0.0
2018,Jatin Saxena,,,,,,,,
2018,Jaydev Unadkat,169.0,15.0,11.0,97.0,6.0,1.0,6.0,0.0
2018,Jofra Archer,158.0,10.0,15.0,98.0,2.0,0.0,1.0,0.0
2018,Jos Buttler,228.5,13.0,0.0,0.0,52.0,21.0,9.0,1.0
2018,Krishnappa Gowtham,207.5,15.0,11.0,90.0,9.0,9.0,10.0,0.0
2018,Mahipal Lomror,4.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0
2018,Prashant Chopra,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
2018,Rahul Tripathi,83.0,12.0,0.0,0.0,18.0,8.0,4.0,0.0
2018,Sanju Samson,154.0,15.0,0.0,0.0,30.0,19.0,5.0,0.0
2018,Shashank Singh,,,,,,,,
2018,Shreyas Gopal,126.5,11.0,11.0,68.0,5.0,0.0,3.0,0.0
2018,Steve Smith,,,,,,,,
2018,Stuart Binny,16.5,7.0,0.0,2.0,2.0,2.0,1.0,0.0
2018,Sudhesan Midhun,,,,,,,,
2018,Zahir Khan,,,,,,,,
