Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2018,Aaron Finch,53.0,10.0,0.0,0.0,6.0,8.0,4.0,0.0
2018,Akshdeep Nath,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2018,Andrew Tye,221.0,14.0,24.0,116.0,2.0,1.0,5.0,0.0
2018,Ankit Rajpoot,126.0,8.0,11.0,80.0,1.0,0.0,2.0,0.0
2018,Axar Patel,78.0,9.0,3.0,41.0,3.0,4.0,2.0,0.0
2018,Barinder Sran,66.0,6.0,4.0,47.0,0.0,0.0,2.0,0.0
2018,Ben Dwarshuis,,,,,,,,
2018,Chris Gayle,174.5,11.0,0.0,0.0,30.0,27.0,2.0,0.0
2018,David Miller,14.5,3.0,0.0,0.0,3.0,2.0,0.0,0.0
2018,KL Rahul,304.5,14.0,0.0,0.0,66.0,32.0,10.0,1.0
2018,Karun Nair,125.5,13.0,0.0,0.0,23.0,13.0,9.0,0.0
2018,Manoj Tiwary,23.5,5.0,0.0,0.0,4.0,1.0,4.0,0.0
2018,Manzoor Dar,,,,,,,,
2018,Marcus Stoinis,59.5,7.0,3.0,15.0,6.0,4.0,2.0,0.0
2018,Mayank Agarwal,45.0,11.0,0.0,0.0,9.0,5.0,2.0,0.0
2018,Mayank Dagar,,,,,,,,
2018,Mohit Sharma,82.0,9.0,7.0,50.0,1.0,0.0,2.0,0.0
2018,Mujeeb Ur Rahman,149.5,11.0,14.0,93.0,2.0,0.0,1.0,0.0
2018,Nicholas Pooran,,,,,,,,
2018,Pardeep Sahu,,,,,,,,
2018,Ravichandran Ashwin,159.5,14.0,10.0,77.0,7.0,5.0,5.0,0.0
2018,Yuvraj Singh,24.5,8.0,0.0,0.0,6.0,2.0,1.0,0.0
