Season,Sunrisers Hyderabad,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2018,Alex Hales,58.5,6.0,0.0,0.0,13.0,6.0,2.0,0.0
2018,Basil Thampi,39.5,4.0,5.0,17.0,0.0,0.0,2.0,0.0
2018,Bhuvneshwar Kumar,163.0,12.0,9.0,124.0,1.0,0.0,2.0,0.0
2018,Billy Stanlake,67.0,4.0,5.0,47.0,1.0,0.0,0.0,0.0
2018,Bipul Sharma,,,,,,,,
2018,Carlos Brathwaite,76.0,4.0,5.0,23.0,1.0,8.0,2.0,0.0
2018,Chris Jordan,11.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0
2018,David Warner,,,,,,,,
2018,Deepak Hooda,29.0,9.0,0.0,6.0,2.0,3.0,3.0,0.0
2018,Kane Williamson,273.0,17.0,0.0,0.0,64.0,28.0,6.0,0.0
2018,Khaleel Ahmed,7.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
2018,Manish Pandey,95.0,15.0,0.0,0.0,22.0,5.0,9.0,0.0
2018,Mehdi Hasan,,,,,,,,
2018,Mohammad Nabi,23.0,2.0,1.0,12.0,3.0,0.0,0.0,0.0
2018,Moises Henriques,,,,,,,,
2018,Rashid Khan,284.0,17.0,21.0,167.0,3.0,6.0,6.0,0.0
2018,Ricky Bhui,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,Sachin Baby,,,,,,,,
2018,Sandeep Sharma,163.0,12.0,12.0,116.0,0.0,0.0,2.0,0.0
2018,Shakib Al Hasan,237.0,17.0,14.0,98.0,26.0,5.0,3.0,0.0
2018,Shikhar Dhawan,226.5,16.0,0.0,0.0,59.0,14.0,12.0,0.0
2018,Shreevats Goswami,31.0,6.0,0.0,0.0,6.0,1.0,5.0,0.0
2018,Siddarth Kaul,209.5,17.0,21.0,131.0,0.0,0.0,2.0,0.0
2018,T Natarajan,,,,,,,,
2018,Wriddhiman Saha,61.0,11.0,0.0,0.0,17.0,1.0,5.0,1.0
2018,Yusuf Pathan,106.5,15.0,1.0,2.0,22.0,11.0,3.0,0.0
