Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2018,Andre Russell,292.5,16.0,13.0,76.0,17.0,31.0,8.0,0.0
2018,Cameron Delport,,,,,,,,
2018,Chris Lynn,210.5,16.0,0.0,0.0,56.0,18.0,3.0,0.0
2018,Dinesh Karthik,223.5,16.0,0.0,0.0,49.0,16.0,14.0,4.0
2018,Ishank Jaggi,,,,,,,,
2018,Javon Searles,27.5,4.0,2.0,7.0,0.0,1.0,4.0,0.0
2018,Kamlesh Nagarkoti,,,,,,,,
2018,Kuldeep Yadav,171.0,16.0,17.0,94.0,1.0,0.0,6.0,0.0
2018,Mitchell Johnson,63.0,6.0,2.0,46.0,2.0,0.0,2.0,0.0
2018,Mitchell Starc,,,,,,,,
2018,Nitish Rana,150.0,15.0,4.0,17.0,26.0,14.0,2.0,0.0
2018,Piyush Chawla,175.0,15.0,14.0,110.0,1.0,1.0,4.0,0.0
2018,Prasidh Krishna,97.5,7.0,10.0,60.0,0.0,0.0,1.0,0.0
2018,Rinku Singh,20.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
2018,Robin Uthappa,161.0,16.0,0.0,0.0,30.0,21.0,5.0,0.0
2018,Shivam Mavi,91.5,9.0,5.0,64.0,1.0,0.0,3.0,0.0
2018,Shrikant Mundhe,,,,,,,,
2018,Shubman Gill,80.0,13.0,0.0,0.0,22.0,5.0,3.0,0.0
2018,Sunil Narine,379.5,16.0,17.0,137.0,40.0,23.0,1.0,0.0
2018,Tom Curran,46.0,5.0,6.0,15.0,3.0,0.0,1.0,0.0
2018,Vinay Kumar,22.5,2.0,2.0,8.0,1.0,0.0,2.0,0.0
