Season,Chennai Super Kings,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2018,Ambati Rayudu,256.5,16.0,0.0,0.0,53.0,34.0,2.0,0.0
2018,Chaitanya Bishnoi,,,,,,,,
2018,David Willey,32.0,3.0,2.0,20.0,0.0,0.0,2.0,0.0
2018,Deepak Chahar,171.0,12.0,10.0,117.0,1.0,4.0,1.0,0.0
2018,Dhruv Shorey,3.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,Dwayne Bravo,216.5,16.0,14.0,90.0,8.0,10.0,9.0,0.0
2018,Francois du Plessis,66.0,6.0,0.0,0.0,17.0,6.0,1.0,0.0
2018,Harbhajan Singh,113.5,13.0,7.0,68.0,3.0,1.0,4.0,0.0
2018,Imran Tahir,66.0,6.0,6.0,40.0,0.0,0.0,2.0,0.0
2018,KM Asif,26.5,2.0,3.0,16.0,0.0,0.0,0.0,0.0
2018,Kanishk Seth,,,,,,,,
2018,Karn Sharma,37.5,6.0,4.0,16.0,0.0,0.0,3.0,0.0
2018,Kedar Jadhav,9.5,1.0,0.0,0.0,1.0,2.0,0.0,0.0
2018,Kshitiz Sharma,,,,,,,,
2018,Lungi Ngidi,120.0,7.0,11.0,79.0,0.0,0.0,1.0,0.0
2018,Mahendra Singh Dhoni,200.0,16.0,0.0,0.0,24.0,30.0,11.0,3.0
2018,Mark Wood,8.5,1.0,0.0,6.0,0.0,0.0,1.0,0.0
2018,Mitchell Santner,,,,,,,,
2018,Monu Kumar,,,,,,,,
2018,Murali Vijay,3.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2018,Nayaran Jagadeesan,,,,,,,,
2018,Ravindra Jadeja,169.5,16.0,11.0,82.0,3.0,4.0,11.0,0.0
2018,Sam Billings,50.0,10.0,0.0,0.0,8.0,5.0,5.0,0.0
2018,Shane Watson,318.0,15.0,6.0,57.0,44.0,35.0,3.0,0.0
2018,Shardul Thakur,186.5,13.0,16.0,113.0,3.0,0.0,4.0,0.0
2018,Suresh Raina,179.5,15.0,0.0,0.0,46.0,12.0,9.0,0.0
