Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2017,Anureet Singh,7.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
2017,Armaan Jaffer,,,,,,,,
2017,Axar Patel,218.0,14.0,15.0,82.0,11.0,11.0,7.0,0.0
2017,Darren Sammy,,,,,,,,
2017,David Miller,29.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0
2017,Eoin Morgan,29.5,4.0,0.0,0.0,6.0,2.0,3.0,0.0
2017,Glenn Maxwell,218.5,14.0,7.0,38.0,19.0,26.0,7.0,0.0
2017,Gurkeerat Singh,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,Hashim Amla,159.5,10.0,0.0,0.0,40.0,17.0,0.0,0.0
2017,Ishant Sharma,34.5,6.0,0.0,32.0,1.0,0.0,0.0,0.0
2017,KC Cariappa,38.5,4.0,4.0,22.0,0.0,0.0,1.0,0.0
2017,Manan Vohra,94.0,11.0,0.0,0.0,23.0,9.0,2.0,0.0
2017,Marcus Stoinis,27.0,5.0,2.0,10.0,1.0,0.0,3.0,0.0
2017,Martin Guptill,75.0,7.0,0.0,0.0,17.0,5.0,6.0,0.0
2017,Matt Henry,10.5,2.0,1.0,7.0,0.0,0.0,0.0,0.0
2017,Mohit Sharma,151.0,14.0,13.0,87.0,3.0,1.0,3.0,0.0
2017,Murali Vijay,,,,,,,,
2017,Nikhil Naik,,,,,,,,
2017,Pardeep Sahu,,,,,,,,
2017,Rahul Tewatia,43.5,3.0,3.0,23.0,4.0,0.0,0.0,0.0
2017,Sandeep Sharma,182.0,13.0,17.0,115.0,0.0,0.0,3.0,0.0
2017,Shaun Marsh,112.5,9.0,0.0,0.0,36.0,5.0,2.0,0.0
2017,Swapnil Singh,13.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0
2017,T Natarajan,31.0,6.0,2.0,24.0,0.0,0.0,0.0,0.0
2017,Varun Aaron,75.5,6.0,7.0,51.0,0.0,0.0,0.0,0.0
2017,Wriddhiman Saha,108.0,14.0,0.0,0.0,20.0,8.0,10.0,2.0
