,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings
0,Gaurav Dhiman,Sanjay Bangar,Shikhar Dhawan,Siddharth Chitnis,Ranadeb Bose,AB de Villiers,Adam Gilchrist,Abhinav Mukund
1,Manish Pandey,Aakash Chopra,Kyle Mills,Abhishek Raut,Ajitesh Argal,Amit Mishra,Andrew Symonds,Albie Morkel
2,Robin Uthappa,Ajantha Mendis,Abhishek Nayar,Aditya Angle,Azhar Mehmood,Daniel Vettori,Arjun Yadav,Jacob Oram
3,Anil Kumble,Ajit Agarkar,Ajinkya Rahane,Anup Revandkar,Brett Lee,Dinesh Karthik,Chamara Silva,Joginder Sharma
4,Balachandra Akhil,Ashok Dinda,Dhawal Kulkarni,Dimitri Mascarenhas,Irfan Pathan,Farveez Maharoof,Chaminda Vaas,KB Arun Karthik
5,Bharat Chipli,Brad Hodge,Dilhara Fernando,Dinesh Salunkhe,James Hopes,Gautam Gambhir,Doddapaneni Kalyankrishna,Lakshmipathy Balaji
6,Cameron White,Brendon McCullum,Dwayne Bravo,Faiz Fazal,Karan Goel,Glenn McGrath,Dwaraka Ravi Teja,Mahendra Singh Dhoni
7,Dale Steyn,Cheteshwar Pujara,Harbhajan Singh,Graeme Smith,Kumar Sangakkara,Manoj Tiwary,Halhadar Das,Makhaya Ntini
8,Devraj Patil,Chris Gayle,Lasith Malinga,Justin Langer,Luke Pomersbach,Mithun Manhas,Herschelle Gibbs,Manpreet Gony
9,Jacques Kallis,David Hussey,Luke Ronchi,Mahesh Rawat,Mahela Jayawardene,Pradeep Sangwan,Nuwan Zoysa,Matthew Hayden
10,Jagadeesh Arunkumar,Iqbal Abdulla,Mohammad Ashraful,Mohammad Kaif,Piyush Chawla,Rajat Bhatia,Paidikalva Vijaykumar,Mike Hussey
11,KP Appanna,Ishant Sharma,Pinal Shah,Morne Morkel,Ramesh Powar,Sumit Narwal,PM Sarvesh Kumar,Muttiah Muralitharan
12,Mark Boucher,Laxmi Ratan Shukla,Rohan Raje,Munaf Patel,Sahil Kukreja,Tejashwi Yadav,Pragyan Ojha,Napoleon Einstein
13,Nathan Bracken,Mashrafe Mortaza,Sachin Tendulkar,Niraj Patel,Shaun Marsh,Tillakaratne Dilshan,R. P. Singh,Palani Amarnath
14,Praveen Kumar,Murali Kartik,Sanath Jayasuriya,Parag More,Simon Katich,Virender Sehwag,Rohit Sharma,Parthiv Patel
15,Rahul Dravid,Ricky Ponting,Saurabh Tiwary,Ravindra Jadeja,Sreesanth,Yogesh Nagar,Scott Styris,Ravichandran Ashwin
16,Ross Taylor,Rohan Banerjee,Yogesh Takawale,Shane Warne,Sunny Sohal,Yo Mahesh,V.V.S. Laxman,Selvam Suresh Kumar
17,Shreevats Goswami,Siddarth Kaul,Zaheer Khan,Shane Watson,Tanmay Srivastava,Ashish Nehra,Yalaka Venugopal Rao,Shadab Jakati
18,Sunil Joshi,Sourav Ganguly,Jaydev Shah,Siddharth Trivedi,Uday Kaul,Aavishkar Salvi,Fidel Edwards,Subramaniam Badrinath
19,Vinay Kumar,Wriddhiman Saha,Abu Nechim Ahmed,Swapnil Asnodkar,V. R. V. Singh,Andrew McDonald,Dwayne Smith,Sudeep Tyagi
20,Virat Kohli,Yashpal Singh,Chentanya Nanda,Yusuf Pathan,Wilkin Mota,David Warner,Abhinav Kumar,Suresh Raina
21,Wasim Jaffer,Angelo Mathews,Graham Napier,Abdulahad Malek,Yuvraj Singh,Dirk Nannes,Azhar Bilakhia,Vidyut Sivaramakrishnan
22,Pankaj Singh,Anureet Singh,JP Duminy,Aditya Dole,Amanpreet Singh,Owais Shah,Harmeet Singh,Viraj Kadbe
23,Abhimanyu Mithun,Arindam Ghosh,Rahil Shaikh,Amit Singh,Burt Cockley,Paul Collingwood,Jaskaran Singh,Andrew Flintoff
24,Bhuvneshwar Kumar,Charl Langeveldt,Ryan McLaren,Ashraf Makda,Jerome Taylor,Umesh Yadav,Kemar Roach,George Bailey
25,CM Gautam,Moises Henriques,,Atul Sharma,Ravi Bopara,Wayne Parnell,Manvinder Bisla,Murali Vijay
26,Dillon du Preez,Morné van Wyk,,Gajendra Singh,Ravikant Shukla,,Mitchell Marsh,Thilan Thushara
27,Eoin Morgan,Sachin Rana,,Johan Botha,Rusty Theron,,Rahul Sharma,
28,Ishank Jaggi,Shoaib Shaikh,,Kamran Khan,Ryan Ninan,,Ryan Harris,
29,Jesse Ryder,,,Lee Carseldine,Vikramjeet Malik,,Shoaib Ahmed,
30,Jitendra Patil,,,Mohammed Arif,Yusuf Abdulla,,Tirumalasetti Suman,
31,Karn Sharma,,,Naman Ojha,,,,
32,Kedar Jadhav,,,Paras Dogra,,,,
33,Kevin Pietersen,,,Paul Valthaty,,,,
34,Rajesh Bishnoi,,,Pushkaraj Chavan,,,,
35,Raju Bhatkal,,,Raiphi Gomez,,,,
36,Rangaraj Suthesh,,,Rob Quiney,,,,
37,RK Sabharwal,,,Shaun Tait,,,,
38,Roelof van der Merwe,,,Shrideep Mangela,,,,
39,Saurabh Bandekar,,,Tyron Henderson,,,,
40,Sreenath Aravind,,,,,,,
41,Tinu Yohannan,,,,,,,
42,Udit Patel,,,,,,,
