,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
0,Albie Morkel,Gautam Gambhir,Mike Hussey,Rajat Bhatia,Lakshmipathy Balaji,Dinesh Karthik,Mahendra Singh Dhoni,Anirudha Srikkanth
1,Muttiah Muralitharan,Debabrata Das,Pragyan Ojha,Brad Hodge,Virender Sehwag,Manoj Tiwary,Ravichandran Ashwin,Yalaka Venugopal Rao
2,Parthiv Patel,Piyush Chawla,Rohit Sharma,Iqbal Abdulla,Cheteshwar Pujara,Laxmi Ratan Shukla,Suresh Raina,Amit Mishra
3,Shadab Jakati,Manish Pandey,Harbhajan Singh,Abhishek Nayar,Mashrafe Mortaza,Siddarth Kaul,Mithun Manhas,Shikhar Dhawan
4,AB de Villiers,Robin Uthappa,Lasith Malinga,Ajinkya Rahane,Murali Kartik,Saurabh Tiwary,Brendon McCullum,Ishant Sharma
5,Ashok Dinda,Jacques Kallis,Praveen Kumar,Dhawal Kulkarni,Wriddhiman Saha,Ross Taylor,David Hussey,Irfan Pathan
6,Chris Gayle,Vinay Kumar,Zaheer Khan,Shane Watson,Rishi Dhawan,Murali Vijay,Ashish Nehra,Dale Steyn
7,Yuvraj Singh,Morne Morkel,CM Gautam,Vikramjeet Malik,Shaun Marsh,Rahul Sharma,Dwayne Bravo,David Warner
8,Yogesh Takawale,Yusuf Pathan,Aditya Tare,Stuart Binny,George Bailey,Wayne Parnell,Dwayne Smith,Moises Henriques
9,Virat Kohli,Manvinder Bisla,Ambati Rayudu,Steve Smith,Harmeet Singh,JP Duminy,Ravindra Jadeja,Bhuvneshwar Kumar
10,Sachin Rana,Umesh Yadav,Kieron Pollard,Tim Southee,Anureet Singh,Kedar Jadhav,Ben Hilfenhaus,Karn Sharma
11,Abu Nechim Ahmed,Johan Botha,Sushant Marathe,Ankit Sharma,Thisara Perera,Kevin Pietersen,Francois du Plessis,Naman Ojha
12,Varun Aaron,Chris Lynn,Pawan Suyal,Unmukt Chand,Mandeep Singh,Jaydev Unadkat,John Hastings,Ashish Reddy
13,Yuzvendra Chahal,Ryan ten Doeschate,Marchant de Lange,James Faulkner,David Miller,Rahul Shukla,Pawan Negi,Aaron Finch
14,Rilee Rossouw,Shakib Al Hasan,Apoorv Wankhade,Dishant Yagnik,Manan Vohra,Shahbaz Nadeem,Samuel Badree,Amit Paunikar
15,Tanmay Mishra,Suryakumar Yadav,Jalaj Saxena,Sanju Samson,Glenn Maxwell,Mohammed Shami,Baba Aparajith,Prasanth Parameswaran
16,Harshal Patel,Veer Pratap Singh,Jasprit Bumrah,Ben Cutting,Gurkeerat Singh,Mayank Agarwal,Mohit Sharma,Manpreet Juneja
17,Vijay Zol,Andre Russell,Ben Dunk,Karun Nair,Parvinder Awana,Nathan Coulter-Nile,Ronit More,Jason Holder
18,Ravi Rampaul,Sunil Narine,Corey Anderson,Kevon Cooper,Mitchell Johnson,Quinton de Kock,Vijay Shankar,Parvez Rasool
19,Sandeep Warrier,Kuldeep Yadav,Josh Hazlewood,Kane Richardson,Sandeep Sharma,HS Sharath,Ishwar Pandey,KL Rahul
20,Mitchell Starc,Pat Cummins,Krishmar Santokie,Pravin Tambe,Axar Patel,Imran Tahir,Matt Henry,Darren Sammy
21,Nic Maddinson,Sayan Mondal,Lendl Simmons,Amit Mishra,Beuran Hendricks,Jimmy Neesham,,Brendan Taylor
22,,,Shreyas Gopal,Ankush Bains,Karanveer Singh,Jayant Yadav,,Chama Milind
23,,,,Deepak Hooda,Shardul Thakur,Milind Kumar,,Ricky Bhui
24,,,,Rahul Tewatia,Shivam Sharma,,,
