,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Deccan Chargers,Chennai Super Kings
0,Manish Pandey,Sanjay Bangar,Shikhar Dhawan,Abhishek Raut,Azhar Mehmood,AB de Villiers,Adam Gilchrist,Abhinav Mukund
1,Robin Uthappa,Manoj Tiwary,Kyle Mills,Dimitri Mascarenhas,Brett Lee,Amit Mishra,Andrew Symonds,Albie Morkel
2,Anil Kumble,Ajantha Mendis,Abhishek Nayar,Faiz Fazal,Irfan Pathan,Daniel Vettori,Arjun Yadav,Anirudha Srikkanth
3,Balachandra Akhil,Ajit Agarkar,Ajinkya Rahane,Graeme Smith,James Hopes,Dinesh Karthik,Chaminda Vaas,Jacob Oram
4,Cameron White,Ashok Dinda,Dhawal Kulkarni,Morne Morkel,Karan Goel,Farveez Maharoof,Dwaraka Ravi Teja,Joginder Sharma
5,Dale Steyn,Brad Hodge,Dilhara Fernando,Munaf Patel,Kumar Sangakkara,Gautam Gambhir,Herschelle Gibbs,KB Arun Karthik
6,Jacques Kallis,Brendon McCullum,Dwayne Bravo,Shane Warne,Luke Pomersbach,Mithun Manhas,Mohnish Mishra,Lakshmipathy Balaji
7,KP Appanna,Cheteshwar Pujara,Harbhajan Singh,Shane Watson,Mahela Jayawardene,Pradeep Sangwan,Pragyan Ojha,Mahendra Singh Dhoni
8,Mark Boucher,Chris Gayle,Lasith Malinga,Siddharth Trivedi,Piyush Chawla,Rajat Bhatia,R. P. Singh,Makhaya Ntini
9,Praveen Kumar,David Hussey,Pinal Shah,Swapnil Asnodkar,Ramesh Powar,Sumit Narwal,Rohit Sharma,Manpreet Gony
10,Rahul Dravid,Iqbal Abdulla,Sachin Tendulkar,Yusuf Pathan,Shaun Marsh,Tillakaratne Dilshan,Scott Styris,Matthew Hayden
11,Ross Taylor,Ishant Sharma,Sanath Jayasuriya,Aditya Dole,Simon Katich,Virender Sehwag,V.V.S. Laxman,Mike Hussey
12,Shreevats Goswami,Laxmi Ratan Shukla,Saurabh Tiwary,Amit Singh,Sreesanth,Yogesh Nagar,Yalaka Venugopal Rao,Muttiah Muralitharan
13,Vinay Kumar,Mashrafe Mortaza,Zaheer Khan,Johan Botha,Tanmay Srivastava,Yo Mahesh,Fidel Edwards,Parthiv Patel
14,Virat Kohli,Murali Kartik,Abu Nechim Ahmed,Kamran Khan,V. R. V. Singh,Ashish Nehra,Dwayne Smith,Ravichandran Ashwin
15,Pankaj Singh,Sourav Ganguly,Graham Napier,Naman Ojha,Yuvraj Singh,Aavishkar Salvi,Azhar Bilakhia,Shadab Jakati
16,Abhimanyu Mithun,Wriddhiman Saha,JP Duminy,Raiphi Gomez,Mohammad Kaif,Andrew McDonald,Harmeet Singh,Subramaniam Badrinath
17,Bhuvneshwar Kumar,Owais Shah,Ryan McLaren,Shaun Tait,Manvinder Bisla,David Warner,Kemar Roach,Sudeep Tyagi
18,CM Gautam,Angelo Mathews,Aditya Tare,Aaron Finch,Amanpreet Singh,Dirk Nannes,Mitchell Marsh,Suresh Raina
19,Dillon du Preez,Charl Langeveldt,Ali Murtaza,Abhishek Jhunjhunwala,Ravi Bopara,Paul Collingwood,Rahul Sharma,Vidyut Sivaramakrishnan
20,Eoin Morgan,Chirag Pathak,Ambati Rayudu,Adam Voges,Rusty Theron,Umesh Yadav,Ryan Harris,George Bailey
21,Jesse Ryder,Eklak Ahmid,Chandan Madan,Amit Paunikar,Vikramjeet Malik,Wayne Parnell,Tirumalasetti Suman,Murali Vijay
22,Kevin Pietersen,Ganapathi Vignesh,Ishan Malhotra,Amit Uniyal,Yusuf Abdulla,Moises Henriques,Anirudh Singh,Thilan Thushara
23,Roelof van der Merwe,Harshad Khadiwale,Kieron Pollard,Damien Martyn,Adrian Barath,Kedar Jadhav,Ashish Reddy,Chandrasekar Ganapathy
24,Sridharan Sriram,Jaydev Unadkat,Rahul Shukla,Michael Lumb,Bipul Sharma,Joginder Singh,Bodapati Sumanth,Doug Bollinger
25,Steve Smith,Mandeep Singh,Rajagopal Sathish,Shrikant Wagh,Love Ablish,Sarabjit Ladda,,Hemang Badani
26,,Rohan Gavaskar,Stuart Binny,Syed Quadri,Reetinder Singh Sodhi,Sarandeep Singh,,Justin Kemp
27,,Shane Bond,Syed Shahabuddin,,Shalabh Srivastava,Shashi Ranjan,,Thisara Perera
28,,Varun Aaron,,,,,,
