,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Rajasthan Royals,Kings XI Punjab,Delhi Daredevils,Chennai Super Kings,Sunrisers Hyderabad
0,Parthiv Patel,Dinesh Karthik,Rohit Sharma,Ajinkya Rahane,Ravichandran Ashwin,Amit Mishra,Mahendra Singh Dhoni,Shikhar Dhawan
1,AB de Villiers,Piyush Chawla,Pradeep Sangwan,Dhawal Kulkarni,Manoj Tiwary,Gautam Gambhir,Suresh Raina,Siddarth Kaul
2,Brendon McCullum,Robin Uthappa,Saurabh Tiwary,Anureet Singh,Chris Gayle,Naman Ojha,Dwayne Bravo,Wriddhiman Saha
3,Virat Kohli,Vinay Kumar,JP Duminy,Jaydev Unadkat,Yuvraj Singh,Daniel Christian,Harbhajan Singh,Manish Pandey
4,Umesh Yadav,Ishank Jaggi,Aditya Tare,Stuart Binny,Aaron Finch,Shahbaz Nadeem,Ravindra Jadeja,Shreevats Goswami
5,Mandeep Singh,Chris Lynn,Kieron Pollard,Steve Smith,David Miller,Mohammed Shami,Shane Watson,Yusuf Pathan
6,Tim Southee,Shrikant Mundhe,Suryakumar Yadav,Ankit Sharma,Mayank Agarwal,Glenn Maxwell,Murali Vijay,David Warner
7,Manan Vohra,Andre Russell,Ben Cutting,Sanju Samson,Karun Nair,Gurkeerat Singh,Karn Sharma,Moises Henriques
8,Yuzvendra Chahal,Sunil Narine,Apoorv Wankhade,Ben Laughlin,Ankit Rajpoot,Harshal Patel,Kedar Jadhav,Bhuvneshwar Kumar
9,Pawan Negi,Kuldeep Yadav,Akila Dananjaya,Shreyas Gopal,Mohit Sharma,Chris Morris,Ambati Rayudu,Bipul Sharma
10,Aniket Choudhary,Mitchell Johnson,Jasprit Bumrah,Jos Buttler,Axar Patel,Vijay Shankar,Francois du Plessis,Shakib Al Hasan
11,Nathan Coulter-Nile,Mitchell Starc,Pat Cummins,Shashank Singh,KL Rahul,Jayant Yadav,Deepak Chahar,Sandeep Sharma
12,Quinton de Kock,Nitish Rana,Hardik Pandya,Krishnappa Gowtham,Andrew Tye,Rahul Tewatia,Imran Tahir,Sachin Baby
13,Corey Anderson,Rinku Singh,Mitchell McClenaghan,Ben Stokes,Marcus Stoinis,Shreyas Iyer,Shardul Thakur,Deepak Hooda
14,Sarfaraz Khan,Cameron Delport,Siddhesh Lad,Rahul Tripathi,Barinder Sran,Colin Munro,Sam Billings,Ricky Bhui
15,Murugan Ashwin,Javon Searles,Adam Milne,Aryaman Birla,Pardeep Sahu,Trent Boult,Chaitanya Bishnoi,Alex Hales
16,Navdeep Saini,Kamlesh Nagarkoti,Ishan Kishan,D'Arcy Short,Akshdeep Nath,Rishabh Pant,David Willey,Kane Williamson
17,Chris Woakes,Prasidh Krishna,Krunal Pandya,Dushmantha Chameera,Nicholas Pooran,Kagiso Rabada,Dhruv Shorey,Carlos Brathwaite
18,Colin de Grandhomme,Shivam Mavi,Mustafizur Rahman,Heinrich Klaasen,Ben Dwarshuis,Jason Roy,Kanishk Seth,Khaleel Ahmed
19,Kulwant Khejroliya,Shubman Gill,Rahul Chahar,Ish Sodhi,Manzoor Dar,Sayan Ghosh,KM Asif,Chris Jordan
20,Washington Sundar,Tom Curran,Anukul Roy,Jatin Saxena,Mayank Dagar,Avesh Khan,Kshitiz Sharma,Basil Thampi
21,Mohammed Siraj,,Evin Lewis,Jofra Archer,Mujeeb Ur Rahman,Abhishek Sharma,Lungi Ngidi,T Natarajan
22,Aniruddha Joshi,,Jason Behrendorff,Mahipal Lomror,,Junior Dala,Mark Wood,Billy Stanlake
23,Moeen Ali,,M. D. Nidheesh,Prashant Chopra,,Liam Plunkett,Mitchell Santner,Mohammad Nabi
24,Pavan Deshpande,,Mayank Markande,Sudhesan Midhun,,Manjot Kalra,Monu Kumar,Rashid Khan
25,,,Mohsin Khan,Zahir Khan,,Prithvi Shaw,Nayaran Jagadeesan,Mehdi Hasan
26,,,Sharad Lumba,,,Sandeep Lamichhane,,
27,,,Tajinder Singh,,,,,
