,Royal Challengers Bangalore,Kolkata Knight Riders,Mumbai Indians,Kings XI Punjab,Delhi Daredevils,Sunrisers Hyderabad,Rising Pune Supergiant,Gujarat Lions
0,AB de Villiers,Gautam Gambhir,Parthiv Patel,Wriddhiman Saha,Amit Mishra,Shikhar Dhawan,Albie Morkel,Shadab Jakati
1,Chris Gayle,Piyush Chawla,Rohit Sharma,Rishi Dhawan,Zaheer Khan,Siddarth Kaul,Mahendra Singh Dhoni,Suresh Raina
2,Iqbal Abdulla,Manish Pandey,Harbhajan Singh,Shaun Marsh,JP Duminy,Yuvraj Singh,Ravichandran Ashwin,Dinesh Karthik
3,Virat Kohli,Robin Uthappa,Lasith Malinga,Swapnil Singh,Shahbaz Nadeem,Ashish Nehra,R. P. Singh,Pradeep Sangwan
4,Shane Watson,Morne Morkel,Vinay Kumar,Murali Vijay,Mohammed Shami,Tirumalasetti Suman,Rajat Bhatia,Brendon McCullum
5,Vikramjeet Malik,Yusuf Pathan,Jerome Taylor,Anureet Singh,Pawan Suyal,David Warner,Ashok Dinda,Dhawal Kulkarni
6,Abu Nechim Ahmed,Umesh Yadav,Ambati Rayudu,David Miller,Mayank Agarwal,Moises Henriques,Ishant Sharma,Dwayne Bravo
7,Kedar Jadhav,Shaun Tait,Kieron Pollard,Manan Vohra,Pawan Negi,Abhimanyu Mithun,Irfan Pathan,Dwayne Smith
8,Sreenath Aravind,Jaydev Unadkat,Tim Southee,Glenn Maxwell,Sanju Samson,Bhuvneshwar Kumar,Ajinkya Rahane,Dale Steyn
9,Mandeep Singh,Rajagopal Sathish,Unmukt Chand,Gurkeerat Singh,Karun Nair,Eoin Morgan,Saurabh Tiwary,Praveen Kumar
10,Varun Aaron,Chris Lynn,Marchant de Lange,Kyle Abbott,Chris Morris,Karn Sharma,George Bailey,Jaydev Shah
11,Stuart Binny,Shakib Al Hasan,Jasprit Bumrah,Mitchell Johnson,Nathan Coulter-Nile,Naman Ojha,Jaskaran Singh,Ravindra Jadeja
12,Yuzvendra Chahal,John Hastings,Corey Anderson,Mohit Sharma,Quinton de Kock,Ashish Reddy,Mitchell Marsh,Paras Dogra
13,Harshal Patel,Suryakumar Yadav,Lendl Simmons,Sandeep Sharma,Imran Tahir,Bipul Sharma,Kevin Pietersen,Sarabjit Ladda
14,Samuel Badree,Andre Russell,Shreyas Gopal,Axar Patel,Jayant Yadav,Aditya Tare,Thisara Perera,Aaron Finch
15,Kane Richardson,Sunil Narine,Akshay Wakhare,Shardul Thakur,Chama Milind,Ben Cutting,Steve Smith,Eklavya Dwivedi
16,Parvez Rasool,Kuldeep Yadav,Hardik Pandya,Marcus Stoinis,Pratyush Singh,Vijay Shankar,Francois du Plessis,James Faulkner
17,KL Rahul,Brad Hogg,Jagadeesha Suchith,KC Cariappa,Shreyas Iyer,Deepak Hooda,Ankit Sharma,Pravin Tambe
18,Mitchell Starc,Ankit Rajpoot,Mitchell McClenaghan,Nikhil Naik,Akhil Herwadkar,Ricky Bhui,Deepak Chahar,Amit Mishra
19,Travis Head,Jason Holder,Nitish Rana,Pardeep Sahu,Carlos Brathwaite,Barinder Sran,Baba Aparajith,Andrew Tye
20,Adam Milne,Sheldon Jackson,Siddhesh Lad,Armaan Jaffer,Khaleel Ahmed,Kane Williamson,Ishwar Pandey,Akshdeep Nath
21,David Wiese,Colin Munro,Deepak Punia,Farhaan Behardien,Rishabh Pant,Trent Boult,Ankush Bains,Ishan Kishan
22,Sarfaraz Khan,Manan Sharma,Jitesh Sharma,Hashim Amla,Sam Billings,Mustafizur Rahman,Adam Zampa,Shivil Kaushik
23,Akshay Karnewar,,Jos Buttler,,Joel Paris,,Murugan Ashwin,Umang Sharma
24,Chris Jordan,,Kishore Kamath,,,,Peter Handscomb,
25,Praveen Dubey,,Krunal Pandya,,,,Scott Boland,
26,Tabraiz Shamsi,,Martin Guptill,,,,Usman Khawaja,
27,Vikas Tokas,,Nathu Singh,,,,,
