Season,Mumbai Indians
2011,Andrew Symonds
2011,Rohit Sharma
2011,Dhawal Kulkarni
2011,Dilhara Fernando
2011,Harbhajan Singh
2011,Lasith Malinga
2011,Sachin Tendulkar
2011,Munaf Patel
2011,Tirumalasetti Suman
2011,Moises Henriques
2011,Abu Nechim Ahmed
2011,Aditya Tare
2011,Ali Murtaza
2011,Ambati Rayudu
2011,Kieron Pollard
2011,Rahul Shukla
2011,Rajagopal Sathish
2011,Aiden Blizzard
2011,Clint McKay
2011,Davy Jacobs
2011,James Franklin
2011,Pawan Suyal
2011,Ray Price
2011,Santosh Yadav
2011,Sarul Kanwar
2011,Suryakumar Yadav
2011,Yuzvendra Chahal
