Season,Pune Warriors India
2011,Mohnish Mishra
2011,Mithun Manhas
2011,Mashrafe Mortaza
2011,Murali Kartik
2011,Sourav Ganguly
2011,Fidel Edwards
2011,Yuvraj Singh
2011,Ashish Nehra
2011,Manish Pandey
2011,Robin Uthappa
2011,Graeme Smith
2011,Mitchell Marsh
2011,Rahul Sharma
2011,Wayne Parnell
2011,Angelo Mathews
2011,Sachin Rana
2011,Jerome Taylor
2011,Bhuvneshwar Kumar
2011,Jesse Ryder
2011,Kamran Khan
2011,Harshad Khadiwale
2011,Abhishek Jhunjhunwala
2011,Shrikant Wagh
2011,Alfonso Thomas
2011,Callum Ferguson
2011,Dheeraj Jadhav
2011,Eklavya Dwivedi
2011,Ganesh Gaikwad
2011,Harpreet Singh
2011,Imtiaz Ahmed
2011,James Faulkner
2011,Nathan McCullum
2011,Nayan Doshi
2011,Shrikant Mundhe
2011,Tim Paine
