Season,Rajasthan Royals
2011,Jacob Oram
2011,Sumit Narwal
2011,Aakash Chopra
2011,Ajinkya Rahane
2011,Ankeet Chavan
2011,Pinal Shah
2011,Rahul Dravid
2011,Ross Taylor
2011,Abhishek Raut
2011,Dinesh Salunkhe
2011,Faiz Fazal
2011,Pankaj Singh
2011,Shane Warne
2011,Shane Watson
2011,Siddharth Trivedi
2011,Swapnil Asnodkar
2011,Paul Collingwood
2011,Aditya Dole
2011,Amit Singh
2011,Johan Botha
2011,Shaun Tait
2011,Stuart Binny
2011,Amit Paunikar
2011,Ashok Menaria
2011,Deepak Chahar
2011,Dishant Yagnik
2011,Samad Fallah
