Season,Delhi Daredevils
2011,Yalaka Venugopal Rao
2011,Tejashwi Yadav
2011,Virender Sehwag
2011,Yogesh Nagar
2011,Ajit Agarkar
2011,Ashok Dinda
2011,Irfan Pathan
2011,James Hopes
2011,Morne Morkel
2011,Aavishkar Salvi
2011,Andrew McDonald
2011,David Warner
2011,Umesh Yadav
2011,Roelof van der Merwe
2011,Naman Ojha
2011,Varun Aaron
2011,Sridharan Sriram
2011,Aaron Finch
2011,Ajit Chandila
2011,Colin Ingram
2011,Matthew Wade
2011,Prashant Naik
2011,Robbie Frylinck
2011,Robin BistX
2011,Shahbaz Nadeem
2011,Travis Birt
2011,Unmukt Chand
2011,Vikas Mishra
2011,Vivek Yadav
