Season,Chennai Super Kings
2011,Abhinav Mukund
2011,Albie Morkel
2011,Anirudha Srikkanth
2011,Joginder Sharma
2011,Mahendra Singh Dhoni
2011,Mike Hussey
2011,Ravichandran Ashwin
2011,Shadab Jakati
2011,Subramaniam Badrinath
2011,Sudeep Tyagi
2011,Suresh Raina
2011,Scott Styris
2011,Yo Mahesh
2011,Wriddhiman Saha
2011,Dwayne Bravo
2011,George Bailey
2011,Murali Vijay
2011,Doug Bollinger
2011,Ganapathi Vignesh
2011,Ben Hilfenhaus
2011,Francois du Plessis
2011,Kuthethurshri Vasudevadas
2011,Nuwan Kulasekara
2011,Suraj Randiv
2011,Tim Southee
