Season,Deccan Chargers
2011,Manpreet Gony
2011,Arjun Yadav
2011,Dwaraka Ravi Teja
2011,Pragyan Ojha
2011,Amit Mishra
2011,Shikhar Dhawan
2011,Ishant Sharma
2011,Kumar Sangakkara
2011,Sunny Sohal
2011,Rajesh Pawar
2011,Bharat Chipli
2011,Cameron White
2011,Dale Steyn
2011,Jaydev Shah
2011,Harmeet Singh
2011,Rusty Theron
2011,JP Duminy
2011,Ishank Jaggi
2011,Kevin Pietersen
2011,Ashish Reddy
2011,Ishan Malhotra
2011,Michael Lumb
2011,Akash Bhandari
2011,Anand Rajan
2011,Ankit Sharma
2011,Chris Lynn
2011,Daniel Christian
2011,Kedar Devdhar
