Season,Royal Challengers Bangalore
2011,KB Arun Karthik
2011,AB de Villiers
2011,Daniel Vettori
2011,Tillakaratne Dilshan
2011,Cheteshwar Pujara
2011,Chris Gayle
2011,Luke Pomersbach
2011,Saurabh Tiwary
2011,Virat Kohli
2011,Zaheer Khan
2011,Mohammad Kaif
2011,Dirk Nannes
2011,Charl Langeveldt
2011,Ryan Ninan
2011,Abhimanyu Mithun
2011,CM Gautam
2011,Raju Bhatkal
2011,Sreenath Aravind
2011,Abrar Kazi
2011,Asad Pathan
2011,BN Bharath
2011,Johan van der Wath
2011,Jonathan Vandiar
2011,Mayank Agarwal
2011,Nuwan Pradeep
2011,Rilee Rossouw
2011,Syed Mohammed
