Season,Royal Challengers Bangalore,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abdur Razzak,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
2008,Anil Kumble,122.0,10.0,7.0,85.0,1.0,0.0,4.0,0.0
2008,Ashley Noffke,12.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0
2008,Balachandra Akhil,71.5,7.0,2.0,34.0,4.0,3.0,4.0,0.0
2008,Bharat Chipli,10.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0
2008,Cameron White,41.5,8.0,0.0,0.0,8.0,4.0,3.0,0.0
2008,Dale Steyn,161.0,10.0,10.0,116.0,0.0,0.0,4.0,0.0
2008,Devraj Patil,7.5,2.0,0.0,0.0,1.0,0.0,2.0,0.0
2008,Jacques Kallis,148.0,11.0,4.0,55.0,23.0,4.0,3.0,0.0
2008,Jagadeesh Arunkumar,12.5,3.0,0.0,0.0,5.0,0.0,0.0,0.0
2008,KP Appanna,,,,,,,,
2008,Mark Boucher,91.0,10.0,0.0,0.0,24.0,6.0,3.0,1.0
2008,Misbah-ul-Haq,48.5,8.0,0.0,0.0,10.0,6.0,1.0,0.0
2008,Nathan Bracken,,,,,,,,
2008,Neravanda Aiyappa,,,,,,,,
2008,Praveen Kumar,198.5,13.0,11.0,109.0,10.0,6.0,2.0,0.0
2008,Rahul Dravid,131.0,14.0,0.0,0.0,35.0,11.0,2.0,0.0
2008,Ross Taylor,67.5,4.0,0.0,0.0,13.0,10.0,0.0,0.0
2008,Shivnarine Chanderpaul,10.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
2008,Shreevats Goswami,36.0,4.0,0.0,0.0,9.0,1.0,2.0,2.0
2008,Sunil Joshi,21.5,4.0,1.0,18.0,0.0,0.0,0.0,0.0
2008,Vinay Kumar,95.0,8.0,5.0,59.0,2.0,1.0,4.0,0.0
2008,Virat Kohli,78.0,13.0,2.0,7.0,18.0,4.0,2.0,0.0
2008,Wasim Jaffer,48.0,6.0,0.0,0.0,12.0,3.0,3.0,0.0
2008,Zaheer Khan,158.0,11.0,13.0,100.0,4.0,0.0,1.0,0.0
