Season,Mumbai Indians,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2008,Abhishek Nayar,99.0,14.0,1.0,14.0,16.0,9.0,4.0,0.0
2008,Ajinkya Rahane,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2008,André Nel,10.5,1.0,1.0,7.0,0.0,0.0,0.0,0.0
2008,Ankeet Chavan,,,,,,,,
2008,Ashish Nehra,183.0,14.0,12.0,121.0,0.0,0.0,8.0,0.0
2008,Ashwell Prince,,,,,,,,
2008,Dhawal Kulkarni,120.5,10.0,11.0,77.0,0.0,0.0,2.0,0.0
2008,Dilhara Fernando,91.0,5.0,10.0,51.0,0.0,0.0,2.0,0.0
2008,Dominic Thornley,49.0,6.0,3.0,19.0,2.0,2.0,3.0,0.0
2008,Dwayne Bravo,179.5,9.0,11.0,66.0,19.0,5.0,4.0,0.0
2008,Dwayne Smith,58.5,4.0,5.0,25.0,5.0,1.0,0.0,0.0
2008,Gaurav Dhiman,,,,,,,,
2008,Harbhajan Singh,51.5,3.0,5.0,16.0,1.0,3.0,2.0,0.0
2008,Lasith Malinga,,,,,,,,
2008,Loots Bosman,,,,,,,,
2008,Luke Ronchi,26.0,4.0,0.0,0.0,6.0,1.0,3.0,0.0
2008,Manish Pandey,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,Mohammad Ashraful,,,,,,,,
2008,Musavir Khote,20.5,4.0,2.0,5.0,2.0,1.0,0.0,0.0
2008,Pinal Shah,20.0,5.0,0.0,0.0,4.0,0.0,4.0,0.0
2008,Rajesh Pawar,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,Robin Uthappa,139.0,14.0,0.0,0.0,34.0,9.0,9.0,0.0
2008,Rohan Raje,51.5,6.0,5.0,29.0,1.0,0.0,1.0,0.0
2008,Sachin Tendulkar,87.0,7.0,0.0,0.0,26.0,2.0,6.0,0.0
2008,Sanath Jayasuriya,308.5,14.0,4.0,36.0,58.0,31.0,2.0,0.0
2008,Saurabh Tiwary,13.5,3.0,0.0,0.0,3.0,1.0,1.0,0.0
2008,Shaun Pollock,232.5,13.0,11.0,131.0,12.0,8.0,2.0,0.0
2008,Siddharth Chitnis,25.5,3.0,2.0,10.0,1.0,1.0,1.0,0.0
2008,Swapnil Singh,,,,,,,,
2008,Vikrant Yeligati,8.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0
2008,Yogesh Takawale,,,,,,,,
