Season,Delhi Daredevils,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2019,Amit Mishra,129.0,11.0,11.0,83.0,2.0,0.0,1.0,0.0
2019,Ankush Bains,,,,,,,,
2019,Avesh Khan,12.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0
2019,Axar Patel,203.0,14.0,10.0,110.0,10.0,3.0,9.0,0.0
2019,Bandaru Ayyappa,,,,,,,,
2019,Chris Morris,133.0,9.0,13.0,68.0,1.0,2.0,4.0,0.0
2019,Colin Ingram,70.0,12.0,0.0,0.0,20.0,5.0,1.0,0.0
2019,Colin Munro,36.5,4.0,0.0,0.0,9.0,4.0,0.0,0.0
2019,Hanuma Vihari,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,Harshal Patel,22.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0
2019,Ishant Sharma,176.0,13.0,13.0,122.0,1.0,1.0,1.0,0.0
2019,Jagadeesha Suchith,18.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0
2019,Jalaj Saxena,,,,,,,,
2019,Kagiso Rabada,219.0,12.0,25.0,113.0,0.0,1.0,6.0,0.0
2019,Keemo Paul,104.0,8.0,9.0,54.0,1.0,1.0,5.0,0.0
2019,Manjot Kalra,,,,,,,,
2019,Nathu Singh,,,,,,,,
2019,Prithvi Shaw,149.0,16.0,0.0,0.0,45.0,9.0,2.0,0.0
2019,Rahul Tewatia,49.5,5.0,2.0,19.0,2.0,1.0,6.0,0.0
2019,Rishabh Pant,247.0,16.0,0.0,0.0,37.0,27.0,18.0,6.0
2019,Sandeep Lamichhane,80.0,6.0,8.0,47.0,0.0,0.0,2.0,0.0
2019,Sherfane Rutherford,53.5,7.0,1.0,8.0,2.0,7.0,5.0,0.0
2019,Shikhar Dhawan,211.0,16.0,0.0,0.0,64.0,11.0,5.0,0.0
2019,Shreyas Iyer,171.5,16.0,0.0,0.0,41.0,14.0,8.0,0.0
2019,Trent Boult,70.0,5.0,5.0,44.0,0.0,1.0,2.0,0.0
