Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls,Team1_Strength,Team2_Strength,Team1_Strength,Team2_Strength
23,2017,4/27/17,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,7.0,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,,212,377.8333333333333,427.5,28.3375,213.75
24,2008,5/31/08,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Chennai Super Kings,,9.0,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,,215,232.92857142857142,238.92857142857142,20.38125,21.442307692307693
25,2011,5/5/11,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,4.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,AM Saheba,,247,231.0,225.0,44.916666666666664,16.875
26,2016,5/1/16,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Normal,0,Kings XI Punjab,23.0,,AR Patel,Saurashtra Cricket Association Stadium,BNJ Oxenford,VK Sharma,,245,445.25,417.8333333333333,197.88888888888889,24.10576923076923
27,2018,4/7/18,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,1.0,DJ Bravo,Wankhede Stadium,CB Gaffaney,A Nand Kishore,,246,459.75,495.25,44.853658536585364,53.54054054054054
28,2011,5/2/11,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Normal,0,Kochi Tuskers Kerala,,7.0,P Parameswaran,Feroz Shah Kotla,Asad Rauf,SL Shastri,,226,225.0,223.08333333333334,20.454545454545453,223.08333333333334
29,2012,4/8/12,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Rajasthan Royals,22.0,,BJ Hodge,Sawai Mansingh Stadium,BF Bowden,VA Kulkarni,,248,331.625,318.9,34.9078947368421,34.66304347826087
30,2019,4/25/19,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,3.0,VR Aaron,Eden Gardens,AY Dandekar,IJ Gould,,244,281.75,269.7,51.22727272727273,46.5
31,2008,5/11/08,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,3.0,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen,,245,661.1666666666666,494.6666666666667,45.07954545454545,27.48148148148148
32,2012,4/29/12,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Normal,0,Delhi Daredevils,1.0,,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,,247,317.5,265.3,37.79761904761905,40.196969696969695
33,2009,5/11/09,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Normal,0,Deccan Chargers,53.0,,DR Smith,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,,241,429.5,190.83333333333334,68.72,25.444444444444443
34,2016,5/10/16,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Normal,0,Sunrisers Hyderabad,4.0,,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,CB Gaffaney,VK Sharma,,244,230.3,590.8333333333334,104.68181818181819,61.12068965517241
35,2008,5/3/08,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Normal,0,Kings XI Punjab,9.0,,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram,,247,238.92857142857142,195.33333333333334,23.892857142857142,14.835443037974683
36,2015,4/10/15,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Normal,0,Rajasthan Royals,26.0,,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,,255,1309.5,1485.0,187.07142857142858,212.14285714285714
37,2012,5/5/12,Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,7.0,,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,,255,199.3125,151.6875,20.442307692307693,57.785714285714285
38,2009,5/21/09,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Normal,0,Royal Challengers Bangalore,12.0,,MK Pandey,SuperSport Park,IL Howell,S Ravi,,247,118.79166666666667,572.6666666666666,18.75657894736842,66.07692307692308
39,2018,5/15/18,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,6.0,Kuldeep Yadav,Eden Gardens,HDPK Dharmasena,AK Chaudhary,,224,406.4,311.4,34.440677966101696,29.942307692307693
40,2018,4/20/18,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Chennai Super Kings,64.0,,SR Watson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,Nitin Menon,,245,990.5,778.5,116.52941176470588,67.69565217391305
41,2019,4/9/19,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,7.0,DL Chahar,"MA Chidambaram Stadium, Chepauk",RJ Tucker,C Shamshuddin,,231,325.9166666666667,338.1,41.6063829787234,34.5
42,2018,5/6/18,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,6.0,Mujeeb Ur Rahman,Holkar Cricket Stadium,C Shamshuddin,S Ravi,,236,216.92857142857142,194.625,19.22151898734177,20.76
43,2009,5/9/09,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,3.0,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,,247,171.8,157.1875,44.05128205128205,14.454022988505747
44,2015,4/17/15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Normal,0,Chennai Super Kings,,6.0,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,,235,974.5,2130.5,92.80952380952381,142.03333333333333
45,2012,5/18/12,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Deccan Chargers,,5.0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,,243,246.16666666666666,221.08333333333334,49.233333333333334,24.118181818181817
46,2008,5/17/08,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Rajasthan Royals,65.0,,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,,252,495.875,318.125,38.8921568627451,21.208333333333332
47,2011,5/16/11,Pune Warriors India,Deccan Chargers,Deccan Chargers,field,Normal,0,Deccan Chargers,,6.0,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,,243,261.5,269.5,87.16666666666667,64.68
48,2008,4/22/08,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Normal,0,Delhi Daredevils,,9.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,205,1358.5,1484.0,135.85,54.96296296296296
49,2014,4/16/14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,41.0,,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,245,1423.5,1719.5,79.08333333333333,122.82142857142857
50,2019,3/25/19,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Normal,0,Kings XI Punjab,14.0,,CH Gayle,Sawai Mansingh Stadium,KN Ananthapadmanabhan,C Shamshuddin,,252,1348.5,1473.5,449.5,368.375
51,2012,4/15/12,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,59.0,,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,,241,860.5,442.1666666666667,122.92857142857143,102.03846153846153
52,2015,5/9/15,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,1.0,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,,246,247.25,187.07142857142858,17.873493975903614,14.713483146067416
53,2012,4/21/12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Chennai Super Kings,,7.0,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,,244,621.6666666666666,331.625,103.61111111111111,53.06
54,2019,5/7/19,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Mumbai Indians,,6.0,SA Yadav,"MA Chidambaram Stadium, Chepauk",NJ Llong,Nitin Menon,,237,217.88888888888889,217.27777777777777,22.802325581395348,27.54225352112676
55,2009,4/24/09,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Normal,0,Kings XI Punjab,,7.0,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,,242,356.375,628.75,43.196969696969695,38.10606060606061
56,2015,5/7/15,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Normal,0,Sunrisers Hyderabad,7.0,,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin,,247,212.14285714285714,239.33333333333334,23.951612903225808,28.15686274509804
57,2011,4/20/11,Mumbai Indians,Pune Warriors India,Pune Warriors India,bat,Normal,0,Mumbai Indians,,7.0,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,,230,809.25,1307.5,67.4375,217.91666666666666
58,2016,5/2/16,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,5.0,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi,,248,312.6666666666667,215.07142857142858,25.35135135135135,20.344594594594593
