Match_ID,Season,Date,Team1,Team2,Toss_Winner,Toss_Decision,result,DL_Method,Winner,Win_By_Runs,Win_By_Wicket,Man_Of_The_Match,Venue,Umpire1,Umpire2,Umpire3,Total_Balls
37,2012,5/5/12,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,7,,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,,255
38,2009,5/21/09,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Normal,0,Royal Challengers Bangalore,12,,MK Pandey,SuperSport Park,IL Howell,S Ravi,,247
39,2018,5/15/18,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,6,Kuldeep Yadav,Eden Gardens,HDPK Dharmasena,AK Chaudhary,,224
40,2018,4/20/18,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Chennai Super Kings,64,,SR Watson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,Nitin Menon,,245
41,2019,4/9/19,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Normal,0,Chennai Super Kings,,7,DL Chahar,"MA Chidambaram Stadium, Chepauk",RJ Tucker,C Shamshuddin,,231
42,2018,5/6/18,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,6,Mujeeb Ur Rahman,Holkar Cricket Stadium,C Shamshuddin,S Ravi,,236
43,2009,5/9/09,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kings XI Punjab,,3,DPMD Jayawardene,De Beers Diamond Oval,GAV Baxter,AM Saheba,,247
44,2015,4/17/15,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Normal,0,Chennai Super Kings,,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,,235
45,2012,5/18/12,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Deccan Chargers,,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,,243
46,2008,5/17/08,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Rajasthan Royals,65,,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri,,252
47,2011,5/16/11,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Normal,0,Deccan Chargers,,6,A Mishra,Dr DY Patil Sports Academy,S Ravi,SK Tarapore,,243
48,2008,4/22/08,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Normal,0,Delhi Daredevils,,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,,205
49,2014,4/16/14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Normal,0,Kolkata Knight Riders,41,,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,,245
50,2019,3/25/19,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Normal,0,Kings XI Punjab,14,,CH Gayle,Sawai Mansingh Stadium,KN Ananthapadmanabhan,C Shamshuddin,,252
51,2012,4/15/12,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,59,,AM Rahane,M Chinnaswamy Stadium,JD Cloete,RJ Tucker,,241
52,2015,5/9/15,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,1,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,,246
53,2012,4/21/12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Chennai Super Kings,,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,,244
54,2019,5/7/19,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Normal,0,Mumbai Indians,,6,SA Yadav,"MA Chidambaram Stadium, Chepauk",NJ Llong,Nitin Menon,,237
55,2009,4/24/09,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Normal,0,Kings XI Punjab,,7,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene,,242
56,2015,5/7/15,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,Normal,0,Sunrisers Hyderabad,7,,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin,,247
57,2011,4/20/11,Mumbai Indians,Pune Warriors,Pune Warriors,bat,Normal,0,Mumbai Indians,,7,MM Patel,Wankhede Stadium,Asad Rauf,AM Saheba,,230
58,2016,5/2/16,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,5,AD Russell,M Chinnaswamy Stadium,M Erasmus,S Ravi,,248
59,2009,4/29/09,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Normal,0,Kings XI Punjab,3,,KC Sangakkara,Kingsmead,MR Benson,SL Shastri,,254
60,2012,5/13/12,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,45,,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,,244
61,2008,5/25/08,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Normal,0,Kolkata Knight Riders,,3,Umar Gul,Eden Gardens,SJ Davis,I Shivram,,248
62,2019,3/29/19,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,Normal,0,Sunrisers Hyderabad,,5,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",C Shamshuddin,BNJ Oxenford,,243
63,2014,5/20/14,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Normal,0,Sunrisers Hyderabad,,7,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,,244
64,2019,4/21/19,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Normal,0,Royal Challengers Bangalore,1,,PA Patel,M.Chinnaswamy Stadium,RJ Tucker,VA Kulkarni,,245
65,2011,4/30/11,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,8,Iqbal Abdulla,Eden Gardens,AM Saheba,SL Shastri,,233
66,2014,5/2/14,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Normal,0,Chennai Super Kings,34,,RA Jadeja,JSCA International Stadium Complex,AK Chaudhary,NJ Llong,,206
67,2010,4/2/10,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Normal,0,Royal Challengers Bangalore,,6,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",BF Bowden,M Erasmus,,242
68,2013,4/9/13,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Normal,0,Mumbai Indians,44,,KD Karthik,Wankhede Stadium,M Erasmus,VA Kulkarni,,248
69,2018,4/23/18,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Normal,0,Kings XI Punjab,4,,AS Rajpoot,Feroz Shah Kotla,A Nand Kishore,CK Nandan,,251
70,2016,5/8/16,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Normal,0,Gujarat Lions,,5,P Kumar,Eden Gardens,M Erasmus,RJ Tucker,,232
71,2018,5/19/18,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Normal,0,Rajasthan Royals,30,,S Gopal,Sawai Mansingh Stadium,BNJ Oxenford,VK Sharma,,241
72,2010,4/19/10,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Normal,0,Kolkata Knight Riders,,9,M Kartik,Eden Gardens,BG Jerling,RE Koertzen,,233
73,2017,4/13/17,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,,234
74,2008,5/28/08,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Kings XI Punjab,41,,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan,,245
75,2011,5/20/11,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Normal,0,Rajasthan Royals,,10,SR Watson,Wankhede Stadium,RE Koertzen,PR Reiffel,,203
76,2015,4/11/15,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,,238
77,2012,5/1/12,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Normal,0,Delhi Daredevils,,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,,216
78,2013,5/8/13,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Normal,0,Chennai Super Kings,77,,SK Raina,"Rajiv Gandhi International Stadium, Uppal",S Das,NJ Llong,,252
79,2013,4/3/13,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,6,SP Narine,Eden Gardens,S Ravi,SJA Taufel,,239
80,2018,5/12/18,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,5,AB de Villiers,Feroz Shah Kotla,KN Ananthapadmanabhan,HDPK Dharmasena,,245
81,2016,5/4/16,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Normal,0,Kolkata Knight Riders,7,,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,,247
82,2017,4/23/17,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Kolkata Knight Riders,82,,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,,183
83,2013,5/5/13,Rajasthan Royals,Pune Warriors,Pune Warriors,bat,Normal,0,Rajasthan Royals,,5,AM Rahane,Sawai Mansingh Stadium,C Shamshuddin,RJ Tucker,,249
84,2015,4/8/15,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,,235
85,2014,5/24/14,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Normal,0,Kolkata Knight Riders,,4,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,,214
86,2019,4/13/19,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Normal,0,Rajasthan Royals,,4,JC Buttler,Wankhede Stadium,Nitin Menon,A Nand Kishore,,242
87,2010,3/21/10,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Normal,0,Deccan Chargers,10,,A Symonds,Barabati Stadium,BF Bowden,M Erasmus,,242
88,2017,5/10/17,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Normal,0,Delhi Daredevils,,2,SS Iyer,Green Park,YC Barde,AK Chaudhary,,243
89,2011,4/22/11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Normal,0,Royal Challengers Bangalore,,9,CH Gayle,Eden Gardens,SS Hazare,RB Tiffin,,242
90,2018,5/4/18,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Normal,0,Mumbai Indians,,6,SA Yadav,Holkar Cricket Stadium,AY Dandekar,S Ravi,,241
91,2019,4/6/19,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Normal,0,Mumbai Indians,40,,AS Joseph,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,Nitin Menon,,233
92,2012,4/6/12,Mumbai Indians,Pune Warriors,Mumbai Indians,field,Normal,0,Pune Warriors,28,,SPD Smith,Wankhede Stadium,AK Chaudhary,SJA Taufel,,247
