Season,Kings XI Punjab
2010,Azhar Mehmood
2010,Brett Lee
2010,Irfan Pathan
2010,James Hopes
2010,Karan Goel
2010,Kumar Sangakkara
2010,Luke Pomersbach
2010,Mahela Jayawardene
2010,Piyush Chawla
2010,Ramesh Powar
2010,Shaun Marsh
2010,Simon Katich
2010,Sreesanth
2010,Tanmay Srivastava
2010,V. R. V. Singh
2010,Yuvraj Singh
2010,Mohammad Kaif
2010,Manvinder Bisla
2010,Amanpreet Singh
2010,Ravi Bopara
2010,Rusty Theron
2010,Vikramjeet Malik
2010,Yusuf Abdulla
2010,Adrian Barath
2010,Bipul Sharma
2010,Love Ablish
2010,Reetinder Singh Sodhi
2010,Shalabh Srivastava
