Season,Chennai Super Kings
2010,Abhinav Mukund
2010,Albie Morkel
2010,Anirudha Srikkanth
2010,Jacob Oram
2010,Joginder Sharma
2010,KB Arun Karthik
2010,Lakshmipathy Balaji
2010,Mahendra Singh Dhoni
2010,Makhaya Ntini
2010,Manpreet Gony
2010,Matthew Hayden
2010,Mike Hussey
2010,Muttiah Muralitharan
2010,Parthiv Patel
2010,Ravichandran Ashwin
2010,Shadab Jakati
2010,Subramaniam Badrinath
2010,Sudeep Tyagi
2010,Suresh Raina
2010,Vidyut Sivaramakrishnan
2010,George Bailey
2010,Murali Vijay
2010,Thilan Thushara
2010,Chandrasekar Ganapathy
2010,Doug Bollinger
2010,Hemang Badani
2010,Justin Kemp
2010,Thisara Perera
