Season,Rajasthan Royals
2010,Abhishek Raut
2010,Dimitri Mascarenhas
2010,Faiz Fazal
2010,Graeme Smith
2010,Morne Morkel
2010,Munaf Patel
2010,Shane Warne
2010,Shane Watson
2010,Siddharth Trivedi
2010,Swapnil Asnodkar
2010,Yusuf Pathan
2010,Aditya Dole
2010,Amit Singh
2010,Johan Botha
2010,Kamran Khan
2010,Naman Ojha
2010,Raiphi Gomez
2010,Shaun Tait
2010,Aaron Finch
2010,Abhishek Jhunjhunwala
2010,Adam Voges
2010,Amit Paunikar
2010,Amit Uniyal
2010,Damien Martyn
2010,Michael Lumb
2010,Shrikant Wagh
2010,Syed Quadri
