Season,Kolkata Knight Riders
2010,Sanjay Bangar
2010,Manoj Tiwary
2010,Ajantha Mendis
2010,Ajit Agarkar
2010,Ashok Dinda
2010,Brad Hodge
2010,Brendon McCullum
2010,Cheteshwar Pujara
2010,Chris Gayle
2010,David Hussey
2010,Iqbal Abdulla
2010,Ishant Sharma
2010,Laxmi Ratan Shukla
2010,Mashrafe Mortaza
2010,Murali Kartik
2010,Sourav Ganguly
2010,Wriddhiman Saha
2010,Owais Shah
2010,Angelo Mathews
2010,Charl Langeveldt
2010,Chirag Pathak
2010,Eklak Ahmid
2010,Ganapathi Vignesh
2010,Harshad Khadiwale
2010,Jaydev Unadkat
2010,Mandeep Singh
2010,Rohan Gavaskar
2010,Shane Bond
2010,Varun Aaron
