Season,Rajasthan Royals
2008,Abhishek Raut
2008,Aditya Angle
2008,Anup Revandkar
2008,Darren Lehmann
2008,Dimitri Mascarenhas
2008,Dinesh Salunkhe
2008,Faiz Fazal
2008,Graeme Smith
2008,Jaydev Shah
2008,Justin Langer
2008,Kamran Akmal
2008,Mahesh Rawat
2008,Mohammad Kaif
2008,Morne Morkel
2008,Munaf Patel
2008,Niraj Patel
2008,Pankaj Singh
2008,Parag More
2008,Ravindra Jadeja
2008,Shane Warne
2008,Shane Watson
2008,Siddharth Trivedi
2008,Sohail Tanvir
2008,Sumit Khatri
2008,Swapnil Asnodkar
2008,Taruwar Kohli
2008,Younis Khan
2008,Yusuf Pathan
