Season,Royal Challengers Bangalore
2008,Abdur Razzak
2008,Anil Kumble
2008,Ashley Noffke
2008,Balachandra Akhil
2008,Bharat Chipli
2008,Cameron White
2008,Dale Steyn
2008,Devraj Patil
2008,Jacques Kallis
2008,Jagadeesh Arunkumar
2008,KP Appanna
2008,Mark Boucher
2008,Misbah-ul-Haq
2008,Nathan Bracken
2008,Neravanda Aiyappa
2008,Praveen Kumar
2008,Rahul Dravid
2008,Ross Taylor
2008,Shivnarine Chanderpaul
2008,Shreevats Goswami
2008,Sunil Joshi
2008,Vinay Kumar
2008,Virat Kohli
2008,Wasim Jaffer
2008,Zaheer Khan
