Season,Delhi Daredevils
2008,AB de Villiers
2008,Amit Mishra
2008,Brett Geeves
2008,Daniel Vettori
2008,Dinesh Karthik
2008,Farveez Maharoof
2008,Gautam Gambhir
2008,Glenn McGrath
2008,Manoj Tiwary
2008,Mayank Tehlan
2008,Mithun Manhas
2008,Mohammad Asif
2008,Pradeep Sangwan
2008,Rajat Bhatia
2008,Shikhar Dhawan
2008,Shoaib Malik
2008,Sumit Narwal
2008,Tejashwi Yadav
2008,Tillakaratne Dilshan
2008,Virender Sehwag
2008,Yogesh Nagar
2008,Yo Mahesh
