Season,Deccan Chargers
2008,Adam Gilchrist
2008,Andrew Symonds
2008,Arjun Yadav
2008,Chamara Silva
2008,Chaminda Vaas
2008,Doddapaneni Kalyankrishna
2008,Dwaraka Ravi Teja
2008,Halhadar Das
2008,Herschelle Gibbs
2008,Mohnish Mishra
2008,Nuwan Zoysa
2008,Paidikalva Vijaykumar
2008,PM Sarvesh Kumar
2008,Pragyan Ojha
2008,R. P. Singh
2008,Rohit Sharma
2008,Sanjay Bangar
2008,Shahid Afridi
2008,Scott Styris
2008,V.V.S. Laxman
2008,Yalaka Venugopal Rao
