Season,Kolkata Knight Riders
2008,Aakash Chopra
2008,Ajantha Mendis
2008,Ajit Agarkar
2008,Ashok Dinda
2008,Brad Hodge
2008,Brendon McCullum
2008,Cheteshwar Pujara
2008,Chris Gayle
2008,David Hussey
2008,Debabrata Das
2008,Iqbal Abdulla
2008,Ishant Sharma
2008,Laxmi Ratan Shukla
2008,Mashrafe Mortaza
2008,Mohammad Hafeez
2008,Murali Kartik
2008,Ranadeb Bose
2008,Ricky Ponting
2008,Rohan Banerjee
2008,Salman Butt
2008,Saurasish Lahiri
2008,Shoaib Akhtar
2008,Siddarth Kaul
2008,Sourav Ganguly
2008,Tatenda Taibu
2008,Umar Gul
2008,Wriddhiman Saha
2008,Yashpal Singh
