Season,Kings XI Punjab
2008,Ajitesh Argal
2008,Azhar Mehmood
2008,Brett Lee
2008,Fidel Edwards
2008,Gagandeep Singh
2008,Irfan Pathan
2008,James Hopes
2008,Karan Goel
2008,Kumar Sangakkara
2008,Kyle Mills
2008,Luke Pomersbach
2008,Mahela Jayawardene
2008,Nitin Saini
2008,Pankaj Dharmani
2008,Piyush Chawla
2008,Ramesh Powar
2008,Ramnaresh Sarwan
2008,Rishi Dhawan
2008,Sahil Kukreja
2008,Shaun Marsh
2008,Simon Katich
2008,Sreesanth
2008,Sunny Sohal
2008,Tanmay Srivastava
2008,Uday Kaul
2008,V. R. V. Singh
2008,Wilkin Mota
2008,Yuvraj Singh
