Season,Royal Challengers Bangalore
2012,KB Arun Karthik
2012,Muttiah Muralitharan
2012,AB de Villiers
2012,Daniel Vettori
2012,Tillakaratne Dilshan
2012,Cheteshwar Pujara
2012,Chris Gayle
2012,Luke Pomersbach
2012,Saurabh Tiwary
2012,KP Appanna
2012,Vinay Kumar
2012,Virat Kohli
2012,Zaheer Khan
2012,Mohammad Kaif
2012,Andrew McDonald
2012,Dirk Nannes
2012,Charl Langeveldt
2012,Ryan Ninan
2012,Abhimanyu Mithun
2012,CM Gautam
2012,Raju Bhatkal
2012,Sreenath Aravind
2012,Prasanth Parameswaran
2012,Asad Pathan
2012,Mayank Agarwal
2012,Rilee Rossouw
2012,Syed Mohammed
2012,Harshal Patel
2012,Karun Nair
2012,S. Thiagarajan
2012,Vijay Zol
