Season,Chennai Super Kings
2012,Abhinav Mukund
2012,Albie Morkel
2012,Anirudha Srikkanth
2012,Joginder Sharma
2012,Mahendra Singh Dhoni
2012,Mike Hussey
2012,Ravichandran Ashwin
2012,Shadab Jakati
2012,Subramaniam Badrinath
2012,Sudeep Tyagi
2012,Suresh Raina
2012,Scott Styris
2012,Yo Mahesh
2012,Wriddhiman Saha
2012,Dwayne Bravo
2012,Ravindra Jadeja
2012,George Bailey
2012,Murali Vijay
2012,Doug Bollinger
2012,Ganapathi Vignesh
2012,Ben Hilfenhaus
2012,Francois du Plessis
2012,Kuthethurshri Vasudevadas
2012,Nuwan Kulasekara
2012,Suraj Randiv
