Season,Delhi Daredevils
2012,Yalaka Venugopal Rao
2012,Tejashwi Yadav
2012,Virender Sehwag
2012,Yogesh Nagar
2012,Ajit Agarkar
2012,Irfan Pathan
2012,Mahela Jayawardene
2012,Ross Taylor
2012,Morne Morkel
2012,Aavishkar Salvi
2012,David Warner
2012,Umesh Yadav
2012,Kedar Jadhav
2012,Kevin Pietersen
2012,Roelof van der Merwe
2012,Naman Ojha
2012,Varun Aaron
2012,Aaron Finch
2012,Colin Ingram
2012,Prashant Naik
2012,Robin BistX
2012,Shahbaz Nadeem
2012,Travis Birt
2012,Unmukt Chand
2012,Vikas Mishra
2012,Andre Russell
2012,Doug Bracewell
2012,Glenn Maxwell
2012,Gulam Bodi
2012,Kuldeep Raval
2012,Manpreet Juneja
2012,Pawan Negi
2012,Puneet Bisht
2012,Sunny Gupta
2012,Zafir Patel
