Season,Rajasthan Royals
2012,Jacob Oram
2012,Sumit Narwal
2012,Aakash Chopra
2012,Brad Hodge
2012,Sreesanth
2012,Ajinkya Rahane
2012,Ankeet Chavan
2012,Pinal Shah
2012,Rahul Dravid
2012,Shreevats Goswami
2012,Abhishek Raut
2012,Faiz Fazal
2012,Pankaj Singh
2012,Shane Watson
2012,Siddharth Trivedi
2012,Owais Shah
2012,Paul Collingwood
2012,Aditya Dole
2012,Amit Singh
2012,Johan Botha
2012,Shaun Tait
2012,Stuart Binny
2012,Amit Paunikar
2012,Ajit Chandila
2012,Ashok Menaria
2012,Deepak Chahar
2012,Dishant Yagnik
2012,Samad Fallah
2012,Brad Hogg
2012,Dinesh Chandimal
2012,Kevon Cooper
2012,Samuel Badree
