Season,Mumbai Indians
2012,Herschelle Gibbs
2012,Pragyan Ojha
2012,R. P. Singh
2012,Rohit Sharma
2012,Dinesh Karthik
2012,Dhawal Kulkarni
2012,Dwayne Smith
2012,Harbhajan Singh
2012,Lasith Malinga
2012,Sachin Tendulkar
2012,Yogesh Takawale
2012,Jaydev Shah
2012,Munaf Patel
2012,Tirumalasetti Suman
2012,Abu Nechim Ahmed
2012,Thisara Perera
2012,Aditya Tare
2012,Ambati Rayudu
2012,Kieron Pollard
2012,Rahul Shukla
2012,Sushant Marathe
2012,Aiden Blizzard
2012,Clint McKay
2012,Davy Jacobs
2012,James Franklin
2012,Pawan Suyal
2012,Suryakumar Yadav
2012,Yuzvendra Chahal
2012,Amitoze Singh
2012,Apoorv Wankhade
2012,Kuldeep Yadav
2012,Mitchell Johnson
2012,Richard Levi
2012,Robin Peterson
2012,Sujit Nayak
