POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Chris Gayle,409.5,12,8,80,57,44,2,0
2,Lasith Malinga,294.5,16,28,183,0,1,4,0
3,Paul Valthaty,282.5,14,7,43,56,20,2,0
4,Yusuf Pathan,256.5,15,13,93,24,13,5,0
5,Shane Watson,246,11,6,78,31,17,4,0
6,Virat Kohli,241,16,2,23,55,16,7,0
7,Ravichandran Ashwin,237,16,20,157,0,0,4,0
8,Jacques Kallis,237,15,7,54,46,6,9,0
9,Suresh Raina,235.5,16,4,62,36,17,4,0
10,Munaf Patel,229.5,15,22,145,0,0,3,0
11,Yuvraj Singh,228,14,9,61,24,18,5,0
12,Amit Mishra,227.5,14,19,130,9,1,2,0
13,Harbhajan Singh,224.5,15,14,127,9,6,2,0
14,Irfan Pathan,223.5,14,11,124,12,6,4,0
15,Ravindra Jadeja,219.5,14,8,90,20,14,1,0
16,Shaun Marsh,215,14,0,0,52,20,6,0
17,Virender Sehwag,213,11,0,0,51,18,9,0
18,Albie Morkel,212.5,15,15,102,8,8,4,0
19,Dan Christian,212,14,11,109,9,7,7,0
20,Rahul Sharma,211,14,16,128,1,2,7,0
21,Zaheer Khan,205,15,14,141,2,0,4,0
22,Sreenath Arvind,201,13,21,115,2,0,3,0
23,Iqbal Abdulla,197,15,16,131,1,0,3,0
24,Adam Gilchrist,195.5,14,0,0,41,18,9,3
25,Sachin Tendulkar,195,16,0,0,67,5,4,0
26,Ryan Harris,194.5,13,16,111,3,0,8,0
27,Dale Steyn,193,12,14,134,3,0,1,0
28,RP Singh,188,14,13,135,0,0,3,0
29,Praveen Kumar,185.5,13,10,137,2,1,2,0
30,Kieron Pollard,184,16,10,73,12,6,10,0
31,Jesse Ryder,184,13,4,29,37,11,4,0
32,Doug Bollinger,183.5,13,17,114,0,0,4,0
33,Morne Morkel,177.5,11,13,115,3,2,1,0
34,Johan Botha,177.5,10,7,81,20,2,6,0
35,Daniel Vettori,177,13,12,119,1,1,4,0
36,Kumar Sangakkara,175,13,0,0,44,5,17,2
37,Michael Hussey,171,14,0,0,53,6,7,0
38,Shane Warne,170,13,13,117,1,0,2,0
39,Piyush Chawla,168.5,12,16,93,2,2,3,0
40,Vinay Kumar,168.5,13,12,103,4,1,4,0
41,MS Dhoni,168,16,0,0,25,23,5,5
