POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Shane Watson,386,16,13,101,59,22,6,0
2,Chris Gayle,349,16,3,10,57,51,3,0
3,Dwayne Bravo,320,18,32,135,11,3,14,0
4,Harbhajan Singh,317,19,24,163,12,5,9,0
5,Dale Steyn,304.5,17,19,211,5,2,3,0
6,Mitchell Johnson,301.5,17,24,188,2,2,7,0
7,Kieron Pollard,294,18,10,60,27,29,12,0
8,Thisara Perera,294,16,19,136,12,14,5,0
9,Michael Hussey,287,17,0,0,81,17,10,0
10,James Faulkner,286,16,28,161,5,2,3,0
11,Sunil Narine,279,16,22,180,0,2,6,0
12,Jacques Kallis,273.5,16,16,112,35,3,3,0
13,Virat Kohli,254.5,16,0,0,64,22,7,0
14,Amit Mishra,252,17,21,151,9,0,2,0
15,Vinay Kumar,250,16,23,124,6,3,8,0
16,Mohit Sharma,236,15,20,161,0,0,2,0
17,Bhuvneshwar Kumar,228.5,16,13,167,3,1,2,0
18,Ishant Sharma,227.5,16,15,160,0,0,6,0
19,Lasith Malinga,227,17,20,147,1,0,3,0
20,Azhar Mahmood,226.5,11,15,99,22,5,1,0
21,Ravindra Jadeja,219,18,13,95,17,6,6,0
22,Dinesh Karthik,219,19,0,0,54,14,12,2
23,Suresh Raina,218.5,18,1,2,50,18,10,0
24,Praveen Kumar,217.5,15,12,155,3,3,1,0
25,Irfan Pathan,212,15,10,134,9,3,4,0
26,MS Dhoni,210,18,0,0,32,25,15,2
27,Rohit Sharma,206,19,0,3,35,28,7,0
28,Umesh Yadav,205.5,16,16,126,3,1,5,0
29,Aaron Finch,204.5,14,1,5,54,16,2,0
30,Kevon Cooper,201.5,14,19,98,4,2,8,0
31,Dwayne Smith,200.5,13,2,7,40,19,8,0
32,Ravichandran Ashwin,193.5,18,15,121,4,0,4,0
33,Stuart Binny,190,17,6,57,25,12,3,0
34,Parvinder Awana,188,14,15,133,0,0,1,0
35,Rahul Dravid,185,18,0,0,64,5,3,0
36,Piyush Chawla,181,16,11,117,5,3,1,0
37,Chris Morris,178,16,15,113,0,0,5,0
38,Ravi Rampaul,175.5,10,13,109,3,1,4,0
39,David Miller,174,12,0,0,28,24,8,0
40,Siddharth Trivedi,174,17,12,122,0,0,4,0
41,Ashok Dinda,171,13,16,105,1,0,3,0
42,Pragyan Ojha,169,16,16,108,0,0,2,0
43,Ajinkya Rahane,168.5,18,0,0,42,11,10,0
44,Lakshmipathy Balaji,167.5,13,12,113,1,0,4,0
45,David Warner,166.5,16,0,0,41,14,6,0
46,Robin Uthappa,164.5,16,0,0,42,12,7,0
47,Karn Sharma,158.5,13,11,88,6,2,4,0
48,Adam Gilchrist,158,13,1,1,41,6,12,0
49,AB de Villiers,157.5,14,0,0,34,15,8,0
50,Yusuf Pathan,151.5,16,1,14,30,14,4,0
51,Gautam Gambhir,150,16,0,0,51,5,2,0
52,Yuvraj Singh,150,13,6,39,14,15,1,0
53,Jaydev Unadkat,150,13,13,102,0,0,1,0
54,Darren Sammy,148,10,8,50,11,10,3,0
55,Moises Henriques,147.5,10,7,50,20,3,5,0
56,RP Singh,143.5,11,13,88,0,0,4,0
57,Shahbaz Nadeem,141.5,12,9,95,1,0,5,0
58,Morne Morkel,141,10,7,91,6,3,0,0
59,Virender Sehwag,136,13,0,0,41,6,5,0
60,Manvinder Bisla,136,14,0,0,36,6,7,3
61,Eoin Morgan,130.5,14,0,0,28,13,6,0
62,Mahela Jayawardene,128.5,15,0,0,39,6,4,0
63,Rajat Bhatia,128,15,11,59,8,3,0,0
64,Angelo Mathews,127.5,11,5,50,5,10,5,0
65,Mitchell Marsh,127,9,7,35,6,10,7,0
66,Parthiv Patel,126.5,13,0,0,37,4,5,3
67,Ashish Nehra,125,10,11,84,0,0,1,0
68,Rahul Sharma,124,11,9,85,1,0,2,0
69,Sachin Tendulkar,122.5,14,0,0,38,5,4,0
70,Shaun Marsh,119,8,0,0,39,4,3,0
71,Shikhar Dhawan,117.5,10,0,0,37,5,3,0
72,Brad Hodge,117,17,0,3,27,9,6,0
73,Murali Vijay,115.5,15,0,0,27,8,8,0
74,Murali Kartik,112.5,11,9,71,0,0,4,0
75,Sachithra Senanayake,109.5,8,9,73,0,0,2,0
76,Manpreet Gony,107,8,7,62,4,3,0,0
77,Mandeep Singh,105,16,0,0,36,0,6,0
78,Albie Morkel,104,8,7,59,2,3,2,0
79,Cameron White,103,13,1,5,18,7,10,0
80,David Hussey,100,12,0,19,20,6,4,0
81,Sanju Samson,97.5,11,0,0,19,5,13,0
82,Ajit Chandila,95,8,6,64,0,0,4,0
83,Ambati Rayudu,89,19,0,0,22,4,8,0
84,Shanthakumaran Sreesanth,84.5,7,5,67,0,0,0,0
85,Johan Botha,83,6,5,37,5,1,5,0
86,Dhawal Kulkarni,81,6,8,53,0,0,0,0
87,Ben Rohrer,78.5,8,0,1,21,5,3,0
88,Hanuma Vihari,76.5,17,1,17,17,1,4,0
89,Ashish Reddy,75.5,12,3,10,8,5,7,0
90,Luke Wright,74.5,6,2,12,16,3,2,0
91,Dirk Nannes,71.5,5,4,50,0,0,3,0
92,Manan Vohra,69.5,12,0,0,22,2,3,0
93,Sandeep Sharma,69,4,8,41,0,0,0,0
94,Dishant Yagnik,67,12,0,0,17,2,6,1
95,Unmukt Chand,66.5,9,0,0,17,4,4,0
