POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
49,Siddharth Trivedi,121,11,11,69,3,1,1,0
50,MS Dhoni,120.5,13,0,0,26,8,5,6
51,Paul Collingwood,119.5,8,5,24,9,13,4,0
52,Dirk Nannes,118.5,9,7,89,0,0,2,0
53,Shaun Tait,118.5,8,10,70,0,1,4,0
54,Dinesh Karthik,116,14,0,0,26,6,6,6
55,Herschelle Gibbs,111.5,10,0,0,26,9,6,0
56,Manish Pandey,109.5,13,0,0,27,7,7,0
57,Tirumalasetti Suman,109,14,0,2,23,12,3,0
58,Shane Bond,109,8,9,75,0,0,1,0
59,Ryan McLaren,105.5,10,4,69,7,0,2,0
60,Rahul Dravid,105.5,16,0,0,34,3,4,0
61,Pradeep Sangwan,104,8,9,70,0,0,1,0
62,Manvinder Bisla,101,10,0,0,27,6,5,0
63,Chaminda Vaas,100.5,6,9,63,1,1,0,0
64,MF Maharoof,96.5,7,8,54,2,2,1,0
65,Ashok Dinda,95.5,7,9,64,0,0,0,0
66,Gautam Gambhir,94.5,11,0,0,32,2,3,0
67,Dwayne Bravo,93.5,10,4,48,3,4,4,0
68,Manoj Tiwary,90.5,13,1,2,23,5,4,0
69,Harmeet Singh Bansal,88,8,8,60,0,0,0,0
70,Lakshmipathy Balaji,85.5,7,7,50,1,1,2,0
71,Ishant Sharma,81,7,7,54,0,0,1,0
72,Shikhar Dhawan,80.5,10,0,0,23,3,5,0
73,Umesh Yadav,78.5,7,6,55,0,0,1,0
74,Shalabh Srivastava,77.5,8,6,54,0,0,1,0
75,Dilhara Fernando,77,5,7,50,0,0,1,0
76,Abhishek Jhunjhunwala,76,13,0,12,16,4,4,0
77,JP Duminy,74,7,1,13,13,5,3,0
78,Ramesh Powar,72.5,7,3,62,0,0,0,0
79,Ashish Nehra,71.5,4,6,37,2,1,2,0
80,Mohnish Mishra,68.5,11,0,0,18,6,1,0
81,Rahul Sharma,68.5,6,5,40,3,1,0,0
82,Juan Theron,67.5,7,6,44,0,0,1,0
83,Shanthakumaran Sreesanth,67,6,3,44,5,0,0,0
84,Faiz Fazal,67,10,0,1,19,1,6,0
85,Ajit Agarkar,66.5,7,4,40,4,0,1,0
86,Adam Voges,65.5,9,0,15,15,3,1,0
87,T Thushara,60.5,4,5,38,0,0,2,0
88,Shaun Marsh,58.5,4,0,0,14,6,1,0
89,Rajagopal Sathish,56,12,2,14,11,0,3,0
90,Sumit Narwal,56,5,5,31,2,0,1,0
91,Aditya Dole,54.5,3,5,21,3,1,2,0
92,Tillakaratne Dilshan,53.5,6,3,18,6,0,4,0
93,Brad Hodge,53.5,4,2,8,11,1,3,0
94,Andrew McDonald,53,4,5,21,3,2,0,0
95,David Hussey,53,6,0,13,5,5,4,0
96,Jaskaran Singh,52,6,6,31,0,0,0,0
97,Cheteshwar Pujara,50.5,10,0,0,14,3,2,0
98,Laxmi Ratan Shukla,49,4,3,19,3,2,2,0
99,Sarabjit Ladda,48,5,4,34,0,0,0,0
100,Mithun Manhas,47.5,9,0,0,14,0,5,0
101,Brendon McCullum,47,5,0,0,14,2,2,0
102,Rajat Bhatia,45.5,5,3,23,1,2,1,0
103,Munaf Patel,44,4,3,31,0,0,1,0
104,Charl Langeveldt,43.5,3,5,26,0,0,0,0
105,Sudeep Tyagi,42.5,6,1,34,0,0,2,0
106,Wriddhiman Saha,41,13,0,0,9,1,3,3
107,Sanath Jayasuriya,39.5,4,2,19,4,1,0,0
108,Daniel Vettori,38,3,2,21,4,0,0,0
109,Mitchell Marsh,37,3,2,24,1,1,0,0
110,Jaydev Unadkat,36.5,3,4,20,0,0,1,0
111,Ali Murtaza,36,3,3,23,0,0,1,0
112,Ross Taylor,36,7,0,0,2,6,4,0
113,Owais Shah,35,5,0,0,7,5,0,0
114,JM Kemp,34,5,3,15,1,1,1,0
115,Anirudh Singh,33.5,5,0,0,6,1,6,0
116,AB de Villiers,32.5,7,0,0,7,0,6,0
117,Paras Dogra,32.5,9,0,0,4,5,2,0
118,Bipul Sharma,32,5,3,14,1,0,2,0
119,Aditya Tare,30.5,7,0,0,5,3,1,2
120,Dimitri Mascarenhas,30,2,4,16,0,0,0,0
121,Cameron White,30,7,0,2,3,3,4,0
122,Kamran Khan,28.5,3,3,18,0,0,0,0
123,Pankaj Singh,28,2,2,21,0,0,0,0
124,Brett Lee,27.5,4,0,20,1,0,2,0
125,Parthiv Patel,27,4,0,0,6,2,0,2
126,VVS Laxman,26,6,0,0,7,1,2,0
127,Kemar Roach,25,2,0,20,1,0,1,0
128,Kedar Jadhav,24.5,5,0,0,7,2,0,0
129,Joginder Sharma,23.5,3,2,14,0,0,1,0
130,Manpreet Gony,23,3,1,17,0,0,1,0
131,Abhishek Raut,23,6,0,0,3,3,2,0
132,Graeme Smith,22.5,2,0,0,7,0,2,0
133,Vikramjeet Malik,22,3,1,16,1,0,0,0
134,Iqbal Abdulla,21.5,3,1,18,0,0,0,0
135,Moises Henriques,21,1,1,10,2,0,1,0
136,Morne Morkel,20,2,0,15,1,0,1,0
137,Abhishek Nayar,19.5,3,0,0,4,2,1,0
138,Ajantha Mendis,19,2,2,12,0,0,0,0
139,KP Appanna,18.5,2,1,15,0,0,0,0
140,Eoin Morgan,18.5,6,0,0,2,1,4,0
141,Bodapati Sumanth,17.5,5,0,0,3,0,4,0
142,Love Ablish,17.5,2,3,7,0,0,0,0
143,Roelof van der Merwe,17.5,1,2,8,0,0,1,0
144,Nayan Doshi,17.5,1,1,14,0,0,0,0
145,YA Abdulla,16.5,2,1,13,0,0,0,0
146,Adrian Barath,16,3,0,0,5,1,0,0
147,Mark Boucher,16,5,0,0,0,1,3,2
148,Dwayne Smith,15.5,3,1,6,1,1,0,0
149,Amit Uniyal,15,2,2,8,0,0,0,0
150,Venugopal Rao,14.5,6,0,1,3,1,1,0
151,Dhawal Kulkarni,13.5,1,1,10,0,0,0,0
152,K Goel,12,6,0,1,1,1,2,0
153,Mohammad Kaif,10,4,0,0,2,0,2,0
154,S Sriram,9.5,1,0,2,3,0,0,0
155,Yo Mahesh,8.5,1,1,5,0,0,0,0
156,Abhimanyu Mithun,8,1,1,2,1,0,0,0
157,RS Sodhi,7.5,3,0,0,1,0,2,0
158,C Madan,7.5,1,0,0,3,0,0,0
159,Aaron Finch,6.5,1,0,3,0,1,0,0
160,Shrikant Wagh,5.5,1,1,2,0,0,0,0
161,George Bailey,5,1,0,0,2,0,0,0
162,Michael Hussey,5,3,0,0,2,0,0,0
163,Shreevats Goswami,5,1,0,0,2,0,0,0
164,Balachandra Akhil,3,1,0,3,0,0,0,0
165,Azhar Bilakhia,2.5,1,0,0,0,0,1,0
166,Stuart Binny,2.5,1,0,0,1,0,0,0
167,SA Asnodkar,2.5,2,0,0,1,0,0,0
168,Damien Martyn,2.5,1,0,0,1,0,0,0
169,RS Gavaskar,2,2,0,2,0,0,0,0
170,C Ganapathy,1,1,0,1,0,0,0,0
171,Arun Karthik,0,1,0,0,0,0,0,0
172,Thisara Perera,0,1,0,0,0,0,0,0
173,Amit Paunikar,0,1,0,0,0,0,0,0
