POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Jacques Kallis,380,16,13,118,67,9,7,0
2,Andrew Symonds,329.5,16,12,107,35,18,12,0
3,Suresh Raina,276.5,16,6,41,45,22,10,0
4,Irfan Pathan,248,14,15,98,21,10,4,0
5,Kieron Pollard,242.5,14,15,58,23,17,6,0
6,Yusuf Pathan,239,14,5,60,22,24,9,0
7,Sachin Tendulkar,233,15,0,0,86,3,3,0
8,Harbhajan Singh,224,15,17,102,12,5,6,0
9,Dale Steyn,224,15,15,164,2,0,1,0
10,Anil Kumble,218,16,17,151,0,0,3,0
11,Pragyan Ojha,217.5,16,21,134,0,0,4,0
12,Sourav Ganguly,217,14,0,2,58,15,7,0
13,Albie Morkel,213.5,14,11,97,10,13,3,0
14,Murali Vijay,208.5,15,0,0,36,26,11,0
15,Amit Mishra,203,14,17,131,1,0,4,0
16,Rohit Sharma,201.5,16,2,33,36,14,9,0
17,Virender Sehwag,200,14,3,18,47,14,2,0
18,Mahela Jayawardene,188.5,13,0,0,55,11,5,0
19,Zaheer Khan,183,14,15,107,3,1,5,0
20,Muttiah Muralitharan,181,12,15,121,0,0,3,0
21,Chris Gayle,179,9,4,29,30,16,2,0
22,Ravichandran Ashwin,178,12,13,125,2,0,1,0
23,Lasith Malinga,173.5,13,15,116,0,0,2,0
24,Naman Ojha,172.5,14,0,0,42,15,4,2
25,Robin Uthappa,172,16,0,0,21,27,7,3
26,Vinay Kumar,169.5,14,16,101,1,0,4,0
27,Yuvraj Singh,166.5,14,5,45,20,14,2,0
28,Angelo Mathews,166.5,14,8,58,18,8,3,0
29,Adam Gilchrist,166,16,0,0,31,16,9,4
30,Shane Watson,166,6,6,61,18,9,3,0
31,Matthew Hayden,163.5,16,0,0,37,16,6,0
32,Kumar Sangakkara,162.5,13,0,0,47,5,6,5
33,Piyush Chawla,161,14,12,94,7,0,3,0
34,Ryan Harris,155.5,8,14,82,2,2,5,0
35,Ambati Rayudu,148,14,0,0,34,13,6,1
36,Doug Bollinger,147,8,12,94,1,1,2,0
37,RP Singh,147,12,13,99,0,0,1,0
38,Praveen Kumar,145,12,10,110,0,0,0,0
39,Michael Lumb,143.5,11,0,0,45,6,4,0
40,Saurabh Tiwary,143,16,0,0,29,18,3,0
41,Shane Warne,137.5,14,11,94,0,0,2,0
42,David Warner,136.5,11,0,0,27,14,8,0
43,Shadab Jakati,130,11,13,82,0,0,1,0
44,Murali Kartik,126,10,9,77,2,0,5,0
45,Subramaniam Badrinath,122.5,16,0,0,41,5,1,0
46,Ravi Bopara,121.5,10,5,21,25,3,4,0
47,Virat Kohli,121.5,16,0,7,26,12,3,0
48,Kevin Pietersen,121.5,7,3,18,23,8,3,0
