POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Virat Kohli,356.5,16,0,1,83,38,6,0
2,David Warner,338.5,17,0,0,88,31,4,0
3,AB de Villiers,319.5,16,0,0,57,37,19,0
4,Shane Watson,283,16,20,121,14,12,6,0
5,Bhuvneshwar Kumar,270,17,23,156,6,1,6,0
6,Chris Morris,247,12,13,102,15,12,8,0
7,Dwayne Smith,229,12,8,40,35,16,7,0
8,Andre Russell,225,12,15,90,10,15,2,0
9,Moises Henriques,217,17,12,89,15,6,11,0
10,Mitchell McClenaghan,203,14,17,128,2,3,0,0
11,Dhawal Kulkarni,203,14,18,130,2,0,2,0
12,Mustafizur Rahman,201.5,16,17,137,0,0,2,0
13,Dwayne Bravo,198.5,15,17,93,11,1,6,0
14,Quinton de Kock,185.5,13,0,0,52,13,2,2
15,Sandeep Sharma,184.5,14,15,127,0,0,2,0
16,Ajinkya Rahane,184,14,0,0,54,9,7,0
17,Rohit Sharma,183.5,14,0,0,49,16,2,0
18,Yuzvendra Chahal,183.5,13,21,100,0,0,4,0
19,Axar Patel,179.5,14,13,91,4,8,2,0
20,Krunal Pandya,179.5,12,6,53,22,13,2,0
21,Praveen Kumar,178.5,16,9,132,4,0,2,0
22,Robin Uthappa,175.5,15,0,0,45,8,10,4
23,Lokesh Rahul,171,14,0,0,37,16,5,4
24,Shikhar Dhawan,168,17,0,0,51,8,5,0
25,Murali Vijay,167,14,0,2,50,10,2,0
26,Jasprit Bumrah,165.5,14,15,108,1,0,1,0
27,Suresh Raina,165,15,0,15,39,10,7,0
28,Mohit Sharma,161,14,13,97,3,1,3,0
29,Barinder Sran,161,14,14,107,0,0,2,0
30,Harbhajan Singh,159,14,9,83,11,2,4,0
31,Gautam Gambhir,158.5,15,0,0,54,6,1,0
32,Aaron Finch,158.5,13,0,0,45,11,3,0
33,Ravindra Jadeja,158,15,8,71,14,4,4,0
34,Thisara Perera,156,12,9,56,7,11,5,0
35,Chris Gayle,154,10,2,21,17,21,4,0
36,Sunil Narine,153.5,11,11,110,0,0,2,0
37,Yusuf Pathan,153,15,1,14,33,13,3,0
38,Brendon McCullum,151,16,0,0,38,16,0,0
39,Tim Southee,150,11,9,99,1,2,4,0
40,Zaheer Khan,148.5,12,10,111,1,0,0,0
41,Ravichandran Ashwin,146.5,14,10,93,3,1,3,0
42,Amit Mishra,146,14,13,93,0,0,3,0
43,Dinesh Karthik,140.5,16,0,0,38,3,11,3
44,Piyush Chawla,137,12,11,81,4,0,3,0
45,Karun Nair,128.5,14,0,0,40,6,3,0
46,Morne Morkel,124,10,10,89,0,0,0,0
47,MS Dhoni,124,14,0,0,18,14,8,4
48,Ashok Dinda,122.5,9,11,84,0,0,0,0
49,Ambati Rayudu,122,13,0,0,28,12,4,0
50,Shakib Al Hasan,120.5,10,5,58,7,5,4,0
51,Carlos Brathwaite,116,8,7,41,6,8,3,0
52,Marcus Stoinis,113.5,7,8,39,13,4,0,0
53,Jos Buttler,113.5,14,0,0,23,11,7,0
54,Sreenath Arvind,111,9,11,65,0,0,3,0
55,Yuvraj Singh,110,10,0,7,22,13,1,0
56,Ashish Nehra,106,8,9,72,0,0,1,0
57,Wriddhiman Saha,101,12,0,0,29,1,7,3
58,Steve Smith,100.5,8,0,0,27,8,2,0
59,Kieron Pollard,100,13,0,4,11,16,5,0
60,Chris Jordan,97.5,9,11,49,0,0,4,0
61,Parthiv Patel,96.5,10,0,0,23,4,9,1
62,Manish Pandey,91.5,12,0,0,17,9,7,0
63,Rajat Bhatia,89.5,10,6,54,1,2,2,0
64,Sanju Samson,88,14,0,0,20,8,3,1
65,Umesh Yadav,87,9,10,46,0,1,1,0
66,Glenn Maxwell,86.5,11,0,16,14,8,3,0
67,Faf du Plessis,84,6,0,0,17,9,4,0
68,Suryakumar Yadav,80,15,0,0,19,5,6,0
69,Naman Ojha,80,17,0,0,7,5,18,0
70,Iqbal Abdulla,79.5,8,6,35,4,1,4,0
71,Murugan Ashwin,79.5,10,7,55,0,0,0,0
72,Deepak Hooda,79,17,3,21,9,5,3,0
73,Rishabh Pant,76,10,0,0,19,6,3,0
74,Ben Cutting,74,4,5,23,4,6,1,0
75,Adam Zampa,74,5,12,32,0,0,0,0
76,JP Duminy,69.5,10,2,12,13,3,3,0
