POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Chris Gayle,331.5,15,0,5,46,59,2,0
2,Dwayne Bravo,305,19,15,110,20,20,9,0
3,Jacques Kallis,289.5,17,15,112,34,10,2,0
4,Lasith Malinga,257.5,14,22,145,4,3,6,0
5,Sunil Narine,255.5,15,24,164,2,0,1,0
6,Irfan Pathan,249,17,8,145,14,6,8,0
7,Ajinkya Rahane,245,16,0,0,73,10,11,0
8,Morne Morkel,244,16,25,154,0,0,1,0
9,Shikhar Dhawan,243,15,3,12,58,18,5,0
10,Kieron Pollard,242.5,14,16,85,15,14,6,0
11,Virender Sehwag,233.5,16,0,7,57,19,7,0
12,Azhar Mahmood,229.5,11,14,95,16,8,7,0
13,Gautam Gambhir,229.5,17,0,0,64,17,4,0
14,Piyush Chawla,224,16,16,124,9,4,3,0
15,Zaheer Khan,220.5,16,17,146,1,0,5,0
16,Umesh Yadav,219,17,19,145,0,0,3,0
17,Vinay Kumar,219,15,19,123,3,2,6,0
18,Dale Steyn,214.5,12,18,138,0,1,4,0
19,Suresh Raina,212,19,2,21,36,19,11,0
20,Praveen Kumar,210.5,16,9,168,2,1,1,0
21,Ravichandran Ashwin,207.5,19,14,141,2,0,5,0
22,Albie Morkel,202,16,13,118,5,6,2,0
23,Shane Watson,202,7,6,62,26,14,2,0
24,Harbhajan Singh,198.5,17,6,117,14,3,6,0
25,Rohit Sharma,194,17,0,1,39,18,13,0
26,Munaf Patel,188,12,15,123,0,0,5,0
27,Rahul Dravid,184,16,0,0,63,4,5,0
28,Cameron White,181,13,0,1,41,20,3,0
29,Mandeep Singh,180,16,1,7,53,7,5,0
30,Parvinder Awana,179,12,17,112,0,0,3,0
31,Ravindra Jadeja,176,19,12,65,13,9,2,0
32,David Hussey,164,16,3,14,28,17,4,0
33,Rajat Bhatia,153.5,17,13,83,4,0,6,0
34,Robin Uthappa,152.5,16,0,0,38,10,6,3
35,Ben Hilfenhaus,152,9,14,103,0,0,0,0
36,Murali Vijay,147.5,14,0,0,39,10,6,0
37,RP Singh,145.5,11,10,103,0,0,3,0
38,Siddharth Trivedi,145.5,14,13,90,0,0,4,0
39,Brett Lee,145,10,7,99,2,4,1,0
40,Kevin Pietersen,142.5,8,0,10,22,20,3,0
41,Ashish Nehra,142.5,13,11,99,1,0,1,0
42,Faf du Plessis,142,13,0,0,29,17,4,0
43,Shaun Marsh,142,13,0,0,39,7,8,0
44,Brendon McCullum,140.5,12,0,0,37,3,9,6
45,AB de Villiers,140,16,0,0,26,15,4,5
46,Amit Mishra,139.5,14,13,89,1,0,1,0
47,Johan Botha,139.5,11,9,87,4,1,3,0
48,Muttiah Muralitharan,139.5,10,15,82,0,0,2,0
49,Shakib Al Hasan,138,8,12,68,6,3,1,0
50,Virat Kohli,137,16,0,2,33,10,7,0
51,Naman Ojha,135.5,18,0,0,21,13,13,2
52,Dan Christian,135,7,8,51,8,6,6,0
53,Steve Smith,134,15,0,0,24,14,10,0
54,Harshal Patel,132,12,9,78,1,0,8,0
55,MS Dhoni,131.5,19,0,0,26,9,12,2
56,Marlon Samuels,129,8,8,66,7,5,0,0
57,Owais Shah,128.5,13,0,0,24,16,5,0
58,Lakshmipathy Balaji,125,8,11,84,0,0,1,0
59,Bhuvneshwar Kumar,124,11,8,86,4,0,0,0
60,Shahbaz Nadeem,123.5,12,8,88,0,0,3,0
61,Mahela Jayawardene,123,16,0,0,39,3,6,0
62,Mayank Agarwal,122.5,16,0,0,19,15,9,0
63,David Warner,121.5,8,0,0,28,14,1,0
64,Sourav Ganguly,121,15,2,10,30,4,6,0
65,Tillakaratne Dilshan,119,10,0,9,33,5,4,0
66,Shadab Jakati,117.5,15,9,76,0,0,4,0
67,James Franklin,114.5,12,6,25,15,6,4,0
68,Yusuf Pathan,113.5,17,3,46,10,7,3,0
69,Brad Hogg,113,9,10,73,1,0,1,0
70,JP Duminy,111.5,9,1,22,13,11,6,0
71,Sachin Tendulkar,111.5,13,0,0,39,4,0,0
72,Kevon Cooper,110,6,10,52,3,3,2,0
73,Jesse Ryder,109,11,1,10,23,8,4,0
74,Rahul Sharma,108.5,11,9,72,0,0,2,0
75,Angelo Mathews,108.5,9,7,50,5,4,3,0
76,Michael Hussey,108,8,0,0,28,8,4,0
77,Dwayne Smith,107,7,2,28,18,7,1,0
78,Ambati Rayudu,106.5,17,0,0,21,14,2,0
79,Veer Pratap Singh,106,9,10,71,0,0,0,0
80,Murali Kartik,106,11,4,76,1,1,4,0
81,Varun Aaron,103.5,8,8,73,0,0,1,0
82,Daniel Vettori,102,9,5,66,3,1,3,0
83,Pragyan Ojha,100,9,9,66,0,0,1,0
84,Dinesh Karthik,99.5,17,0,0,30,2,5,2
85,Brad Hodge,99.5,12,1,2,18,9,7,0
86,Ashish Reddy,98,9,10,52,3,1,0,0
87,Amit Singh,95.5,9,10,58,0,0,1,0
88,Manvinder Bisla,95,7,0,0,16,10,6,2
