POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Adam Gilchrist,281.5,16,0,0,54,29,10,8
2,Suresh Raina,265,14,7,57,37,21,7,0
3,Jacques Kallis,265,15,6,111,37,8,5,0
4,RP Singh,261.5,16,23,171,0,0,4,0
5,Irfan Pathan,254,14,17,121,17,6,4,0
6,Matthew Hayden,239.5,12,0,0,60,22,5,0
7,Anil Kumble,224,16,21,138,2,0,3,0
8,Yusuf Pathan,214.5,13,7,83,24,12,2,0
9,Dwayne Bravo,212.5,11,11,91,15,8,7,0
10,Lasith Malinga,212,13,18,144,0,0,2,0
11,Rohit Sharma,208,16,11,39,22,18,5,0
12,Muttiah Muralitharan,207.5,13,14,146,1,0,4,0
13,Yuvraj Singh,205,14,6,48,25,16,7,0
14,Shane Warne,203,13,14,110,6,4,6,0
15,Praveen Kumar,192.5,13,13,121,1,6,1,0
16,Harbhajan Singh,187,13,12,105,6,5,3,0
17,Munaf Patel,184,11,16,108,5,0,3,0
18,Albie Morkel,183,12,13,101,8,4,1,0
19,Brad Hodge,180,12,7,34,34,9,2,0
20,Ishant Sharma,179.5,11,11,130,1,1,2,0
21,Ishant Sharma,179.5,11,11,130,1,1,2,0
22,Pragyan Ojha,176,15,18,108,0,0,2,0
23,Piyush Chawla,175.5,14,12,111,3,0,6,0
24,JP Duminy,171.5,13,4,44,26,11,4,0
25,Andrew Symonds,169,8,7,66,15,11,1,0
26,Amit Mishra,166,11,14,100,2,2,2,0
27,Sachin Tendulkar,151.5,13,0,4,39,10,6,0
28,Herschelle Gibbs,149.5,14,0,0,32,12,11,0
29,Ravindra Jadeja,148.5,13,6,44,21,6,4,0
30,Roelof van der Merwe,142.5,10,9,53,8,8,4,0
31,Sanath Jayasuriya,140.5,12,7,29,23,7,2,0
32,Tirumalasetti Suman,126.5,12,5,31,18,8,2,0
33,Brendon McCullum,124.5,13,0,0,27,12,6,0
34,YA Abdulla,124,9,14,75,0,0,0,0
35,Lakshmipathy Balaji,123,13,13,70,0,0,3,0
36,Shadab Jakati,122.5,9,13,62,3,0,3,0
37,Chris Gayle,120.5,7,1,32,15,10,5,0
38,Ryan Harris,117.5,8,6,84,0,0,5,0
39,Vinay Kumar,117.5,11,9,65,4,1,3,0
40,Dwayne Smith,116,8,1,30,12,15,0,0
41,Virat Kohli,115.5,16,0,10,22,8,9,0
42,Abhishek Nayar,110.5,13,4,27,14,7,4,0
43,Kumar Sangakkara,110,14,0,0,29,5,6,2
44,Ross Taylor,110,11,0,0,20,15,3,0
45,MS Dhoni,106.5,14,0,0,22,9,4,4
46,Ajit Agarkar,104,11,6,65,3,3,0,0
47,Brett Lee,97.5,5,5,69,2,1,1,0
48,Murali Kartik,93.5,10,4,77,0,0,1,0
49,Dimitri Mascarenhas,91.5,5,6,58,4,0,1,0
50,Amit Singh,87.5,5,9,56,0,0,0,0
51,Mahela Jayawardene,87,10,0,0,17,7,8,0
52,Jacob Oram,85.5,11,5,29,5,4,5,0
53,Shanthakumaran Sreesanth,85.5,7,6,62,1,0,0,0
54,Rahul Dravid,85.5,13,0,0,28,3,2,0
55,Venugopal Rao,85,16,4,28,6,3,7,0
56,Sourav Ganguly,85,13,2,17,13,6,3,0
57,Dhawal Kulkarni,85,8,5,65,0,0,1,0
58,Ashok Dinda,83.5,9,4,67,0,0,1,0
59,Naman Ojha,81,8,0,0,11,11,2,4
60,Sudeep Tyagi,79,8,5,59,0,0,1,0
61,Ramesh Powar,79,9,5,49,2,0,3,0
62,Graeme Smith,78.5,12,0,0,27,1,3,0
63,Jesse Ryder,78,5,3,40,9,0,2,0
64,Zaheer Khan,77,6,6,51,0,0,2,0
65,Subramaniam Badrinath,76.5,14,0,0,20,4,5,0
66,Robin Uthappa,75.5,15,0,0,18,3,7,1
67,Kevin Pietersen,74.5,6,4,26,8,2,3,0
68,Laxmi Ratan Shukla,74,9,3,38,5,3,1,0
69,Harmeet Singh Bansal,71.5,7,3,46,0,0,6,0
70,Kamran Khan,70,5,6,39,0,0,4,0
71,Siddharth Trivedi,69,7,6,43,0,0,2,0
72,Manish Pandey,66.5,5,0,0,17,4,4,0
73,Manpreet Gony,65.5,7,5,36,0,2,2,0
74,K Goel,65,9,0,16,9,4,5,0
75,Simon Katich,63.5,9,0,0,15,6,2,0
76,Parthiv Patel,62,9,0,0,19,2,3,0
77,Mark Boucher,58.5,12,0,0,8,6,7,0
78,Andrew Flintoff,56.5,3,2,20,5,2,4,0
79,Sunny Sohal,55.5,8,0,0,9,8,2,0
80,Johan Botha,53,3,3,30,5,0,0,0
81,Shoaib Ahmed,52.5,7,5,35,0,0,0,0
82,Ravi Bopara,50,5,0,3,8,7,1,0
83,SM Harwood,49.5,3,3,34,0,0,2,0
84,Ajinkya Rahane,48.5,8,1,2,12,3,1,0
85,David Hussey,48,4,0,7,7,6,1,0
86,Moises Henriques,47,4,2,24,2,1,3,0
87,LA Carseldine,45,5,1,4,11,0,4,0
88,Chaminda Vaas,44,2,4,24,1,1,0,0
89,SA Asnodkar,44,8,0,0,11,4,1,0
90,Rob Quiney,43,7,0,0,12,3,1,0
91,Scott Styris,42,2,5,21,0,1,0,0
92,Ajantha Mendis,41.5,4,3,26,0,0,2,0
93,Vikramjeet Malik,40,5,2,28,0,0,2,0
94,WA Mota,39,8,3,21,0,0,3,0
95,Balachandra Akhil,39,6,4,19,1,1,0,0
96,Dale Steyn,39,3,2,27,0,0,2,0
97,Pinal Shah,37,9,0,0,4,2,6,2
98,Abhishek Raut,34.5,9,0,4,5,3,3,0
99,T Thushara,32,2,3,19,0,0,1,0
100,D du Preez,32,2,4,18,0,0,0,0
101,Dwaraka Ravi Teja,27.5,9,0,0,7,0,4,0
102,Charl Langeveldt,26.5,1,3,16,0,0,0,0
103,Wriddhiman Saha,26.5,8,0,0,3,4,2,0
104,Ravichandran Ashwin,25.5,2,2,11,1,0,2,0
105,Morne Morkel,25,2,0,20,1,0,1,0
106,KP Appanna,25,5,2,18,0,0,0,0
107,Anureet Singh,23,3,2,16,0,0,0,0
108,RR Raje,23,4,1,11,0,1,2,0
109,Murali Vijay,22,4,0,0,4,2,2,0
110,Pankaj Singh,21.5,3,2,12,0,0,1,0
111,T Henderson,21,2,1,14,0,1,0,0
112,Yashpal Singh,20,8,0,0,5,0,3,0
113,C Nanda,20,3,2,13,0,0,0,0
114,Mahesh Rawat,20,5,0,0,1,0,6,1
115,Joginder Sharma,19.5,4,2,9,0,1,0,0
116,VRV Singh,19.5,5,1,16,0,0,0,0
117,George Bailey,17.5,3,0,0,7,0,0,0
118,Shreevats Goswami,17.5,2,0,0,6,0,1,0
119,GR Napier,14,1,1,8,1,0,0,0
120,Luke Pomersbach,13.5,4,0,0,3,1,1,0
121,Azhar Bilakhia,12.5,6,0,0,5,0,0,0
122,Shikhar Dhawan,12.5,5,0,0,3,0,2,0
123,Shikhar Dhawan,12.5,5,0,0,3,0,2,0
124,NK Patel,12.5,4,0,0,1,0,4,0
125,R Bishnoi,12,3,0,0,1,2,1,0
126,Angelo Mathews,9.5,1,0,2,2,0,1,0
127,VVS Laxman,8.5,5,0,0,1,1,1,0
128,Jaskaran Singh,8,2,0,8,0,0,0,0
129,SS Shaikh,7.5,2,0,0,1,0,2,0
130,W Jaffer,7.5,2,0,0,2,0,1,0
131,Abhimanyu Mithun,7,1,0,7,0,0,0,0
132,Mashrafe Mortaza,6,1,0,6,0,0,0,0
133,RR Bose,5,1,0,5,0,0,0,0
134,Arindam Ghosh,5,2,0,0,1,0,1,0
135,Aakash Chopra,5,2,0,0,2,0,0,0
136,Mohammad Ashraful,5,1,0,0,0,0,2,0
137,Luke Ronchi,2.5,1,0,0,0,0,1,0
138,Siddharth Chitnis,2.5,1,0,0,1,0,0,0
139,Paul Valthaty,2.5,2,0,0,1,0,0,0
140,RA Shaikh,1,1,0,1,0,0,0,0
141,T Kohli,0,2,0,0,0,0,0,0
142,Tanmay Srivastava,0,2,0,0,0,0,0,0
143,Saurabh Tiwary,0,4,0,0,0,0,0,0
