POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
113,Shaun Marsh,28,4,0,0,7,3,0,0
114,Pat Cummins,28,3,1,22,0,0,1,0
115,Bipul Sharma,27.5,4,3,17,0,0,0,0
116,Ryan ten Doeschate,26,6,0,3,4,3,1,0
117,Michael Hussey,25.5,4,0,0,5,3,1,0
118,Manvinder Bisla,21,2,0,0,6,1,1,0
119,Hanuma Vihari,20,5,0,0,6,0,2,0
120,Pawan Suyal,19,3,0,19,0,0,0,0
121,Thisara Perera,16,2,1,9,0,1,0,0
122,Parveez Rasool,15.5,2,1,12,0,0,0,0
123,Marchant de Lange,15,1,0,15,0,0,0,0
124,Gurinder Sandhu,12.5,3,1,9,0,0,0,0
125,Sean Abbott,12,2,0,6,1,1,0,0
126,Shardul Thakur,11,1,1,5,1,0,0,0
127,Rilee Rossouw,11,2,0,0,1,1,2,0
128,Kane Williamson,11,2,0,0,1,1,2,0
129,Ronit More,10,2,1,4,0,0,1,0
130,Aaron Finch,10,3,0,0,4,0,0,0
131,Rahul Tewatia,9.5,1,1,6,0,0,0,0
132,Azhar Mahmood,7.5,1,0,5,1,0,0,0
133,Juan Theron,7.5,1,1,4,0,0,0,0
134,Jaydev Unadkat,7,1,0,7,0,0,0,0
135,Rajat Bhatia,7,2,0,7,0,0,0,0
136,Shivam Sharma,6.5,1,1,3,0,0,0,0
137,KC Cariappa,6.5,1,1,3,0,0,0,0
138,Ashok Dinda,6.5,2,0,4,0,0,1,0
139,Shreyas Gopal,5.5,1,1,2,0,0,0,0
140,Aditya Tare,5,2,0,0,1,0,1,0
141,Barinder Sran,5,1,0,5,0,0,0,0
142,Darren Sammy,4.5,2,0,2,0,0,1,0
143,CM Gautam,2.5,1,0,0,0,0,0,1
144,Nic Maddinson,2.5,1,0,0,1,0,0,0
145,Pragyan Ojha,1,1,0,1,0,0,0,0
