POS,PLAYER,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
1,Sunil Narine,298,16,10,133,34,10,4,0
2,David Warner,273.5,14,0,0,63,26,10,0
3,Ben Stokes,270,12,12,108,22,15,5,0
4,Jaydev Unadkat,225.5,12,24,119,0,0,9,0
5,Glenn Maxwell,218.5,14,7,38,19,26,7,0
6,Axar Patel,218,14,15,82,11,11,7,0
7,Bhuvneshwar Kumar,218,14,26,117,0,0,4,0
8,Robin Uthappa,201,14,0,0,36,21,9,6
9,Jasprit Bumrah,200.5,16,20,122,0,1,2,0
10,Krunal Pandya,198.5,13,10,74,24,7,2,0
11,Rashid Khan,196.5,14,17,121,0,1,5,0
12,Hardik Pandya,193.5,17,6,45,11,20,12,0
13,Pawan Negi,193,12,16,80,10,7,3,0
14,Gautam Gambhir,192,16,0,0,61,7,6,0
15,Mitchell McClenaghan,191.5,14,19,119,0,1,1,0
16,Umesh Yadav,186.5,14,17,117,0,0,4,0
17,Chris Morris,184,9,12,71,15,6,5,0
18,Suresh Raina,184,14,1,20,42,13,4,0
19,Sandeep Sharma,182,13,17,115,0,0,3,0
20,Rishabh Pant,181.5,14,0,0,28,24,8,3
21,Shikhar Dhawan,181.5,14,0,0,53,9,7,0
22,Kieron Pollard,179.5,17,0,0,26,22,15,0
23,Rahul Tripathi,179.5,14,0,0,43,17,5,0
24,Chris Woakes,175,13,17,87,4,1,6,0
25,Parthiv Patel,170.5,16,0,0,49,8,6,2
26,Pat Cummins,165.5,12,15,84,5,4,1,0
27,Imran Tahir,162,12,18,94,0,0,2,0
28,Hashim Amla,159.5,10,0,0,40,17,0,0
29,Dan Christian,157.5,13,11,74,5,5,6,0
30,Sanju Samson,156.5,14,0,0,32,19,4,0
31,Brendon McCullum,155.5,11,0,0,29,18,8,0
32,Steve Smith,154.5,15,0,0,38,12,7,0
33,Mohit Sharma,151,14,13,87,3,1,3,0
34,Yuzvendra Chahal,148.5,13,14,92,0,0,3,0
35,Karn Sharma,147.5,9,13,75,5,2,3,0
36,Aaron Finch,141.5,13,0,0,25,19,5,0
37,Dwayne Smith,139.5,12,2,17,32,8,3,0
38,Ajinkya Rahane,136.5,16,0,0,35,9,7,0
39,Nathan Coulter-Nile,134.5,8,15,70,0,2,2,0
40,Lasith Malinga,134.5,12,11,90,0,1,1,0
41,Chris Lynn,134,7,0,0,25,19,2,0
42,Rohit Sharma,134,17,0,0,31,9,10,0
43,Dinesh Karthik,133.5,14,0,0,30,11,8,0
44,Shardul Thakur,133.5,12,11,85,0,0,4,0
45,Shreyas Iyer,132.5,12,0,0,36,10,3,0
46,Amit Mishra,132.5,14,10,78,2,2,3,0
47,Harbhajan Singh,132.5,11,8,96,0,1,2,0
48,Manish Pandey,132,14,0,0,28,12,8,0
49,Nitish Rana,129.5,13,0,0,24,17,4,0
50,Siddarth Kaul,128.5,10,16,65,0,0,3,0
51,Manoj Tiwary,128.5,15,0,0,31,11,5,0
52,Moises Henriques,127,12,1,27,28,4,5,0
53,Ravindra Jadeja,126,12,5,57,13,4,2,0
54,MS Dhoni,126,16,0,0,15,16,10,3
55,Basil Thampi,125.5,12,11,76,1,1,2,0
56,Ishan Kishan,125.5,11,0,0,29,13,3,0
57,Karun Nair,123.5,14,0,0,39,6,2,0
58,Kuldeep Yadav,123.5,12,12,74,2,0,1,0
59,Jos Buttler,122.5,10,0,0,27,15,1,0
60,Kedar Jadhav,122.5,13,0,0,25,10,7,3
61,Washington Sundar,121.5,11,8,81,0,0,5,0
62,Zaheer Khan,117,11,10,72,0,0,4,0
63,Yuvraj Singh,116,12,1,2,30,8,3,0
64,Shaun Marsh,112.5,9,0,0,36,5,2,0
65,Virat Kohli,111,10,0,0,23,11,6,0
66,Wriddhiman Saha,108,14,0,0,20,8,10,2
67,Andrew Tye,106.5,6,12,44,4,3,0,0
68,AB de Villiers,101,9,0,0,12,16,6,0
69,Samuel Badree,98.5,7,9,62,0,0,2,0
70,Colin de Grandhomme,98,12,4,33,10,6,2,0
71,Corey Anderson,94.5,11,3,20,8,9,5,0
72,Manan Vohra,94,11,0,0,23,9,2,0
73,Chris Gayle,91.5,9,0,0,15,14,2,0
74,Mohammed Shami,89.5,8,5,55,4,2,0,0
75,Mitchell Johnson,88,5,7,55,1,1,1,0
76,Shane Watson,88,8,5,47,6,1,2,0
77,Kane Williamson,87.5,7,0,0,20,10,1,0
78,Mohammed Siraj,85.5,6,10,48,0,0,1,0
79,Kagiso Rabada,85,6,6,48,5,1,0,0
80,Sreenath Arvind,83,10,5,58,2,0,1,0
81,Mandeep Singh,81.5,11,0,0,21,4,6,0
82,Ashish Nehra,77.5,6,8,47,0,0,1,0
83,Varun Aaron,75.5,6,7,51,0,0,0,0
84,Martin Guptill,75,7,0,0,17,5,6,0
85,Shahbaz Nadeem,73,7,6,47,0,0,2,0
86,James Faulkner,72.5,8,6,34,4,0,3,0
87,Trent Boult,70.5,6,5,53,0,0,0,0
88,Aniket Choudhary,65.5,5,5,42,1,1,0,0
89,Adam Zampa,65,6,7,38,1,0,0,0
90,Tymal Mills,64.5,5,5,41,0,1,1,0
91,Travis Head,62.5,7,2,7,9,6,2,0
92,Pradeep Sangwan,61.5,5,5,44,0,0,0,0
93,Sam Billings,61,6,0,0,19,1,4,0
94,Praveen Kumar,61,6,6,40,0,0,0,0
95,Yusuf Pathan,60,15,1,8,9,6,2,0
96,Piyush Chawla,59.5,6,6,36,0,0,1,0
97,Lendl Simmons,58,7,0,0,10,8,2,0
98,Deepak Hooda,53,10,2,7,5,4,5,0
99,Stuart Binny,51,8,4,9,6,3,1,0
100,Lockie Ferguson,50.5,4,3,40,0,0,0,0
101,Ankit Soni,50,7,2,37,0,1,1,0
102,Bipul Sharma,49.5,7,3,28,2,1,1,0
103,Ben Cutting,49,4,1,20,5,3,1,0
104,Dhawal Kulkarni,48,6,3,35,0,0,1,0
105,Ankit Rajpoot,46,5,4,27,1,0,1,0
