Season,Kolkata Knight Riders,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,Brad Haddin,,,,,,,,
2012,Brendon McCullum,140.5,12.0,0.0,0.0,37.0,3.0,9.0,6.0
2012,Brett Lee,145.0,10.0,7.0,99.0,2.0,4.0,1.0,0.0
2012,Chirag Jani,,,,,,,,
2012,Debabrata Das,56.0,15.0,0.0,0.0,9.0,6.0,5.0,0.0
2012,Eoin Morgan,,,,,,,,
2012,Gautam Gambhir,229.5,17.0,0.0,0.0,64.0,17.0,4.0,0.0
2012,Iqbal Abdulla,72.5,9.0,4.0,46.0,0.0,0.0,5.0,0.0
2012,Iresh Saxena,,,,,,,,
2012,Jacques Kallis,289.5,17.0,15.0,112.0,34.0,10.0,2.0,0.0
2012,James Pattinson,,,,,,,,
2012,Jaydev Unadkat,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2012,Lakshmipathy Balaji,125.0,8.0,11.0,84.0,0.0,0.0,1.0,0.0
2012,Laxmi Ratan Shukla,51.0,11.0,1.0,5.0,4.0,5.0,6.0,0.0
2012,Manoj Tiwary,88.0,16.0,0.0,0.0,21.0,3.0,10.0,0.0
2012,Manvinder Bisla,95.0,7.0,0.0,0.0,16.0,10.0,6.0,2.0
2012,Marchant de Lange,27.5,3.0,3.0,17.0,0.0,0.0,0.0,0.0
2012,Mohammed Shami,,,,,,,,
2012,Pradeep Sangwan,8.5,1.0,1.0,5.0,0.0,0.0,0.0,0.0
2012,Rajat Bhatia,153.5,17.0,13.0,83.0,4.0,0.0,6.0,0.0
2012,Ryan ten Doeschate,14.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0
2012,Sanju Samson,,,,,,,,
2012,Sarabjit Ladda,,,,,,,,
2012,Shakib Al Hasan,138.0,8.0,12.0,68.0,6.0,3.0,1.0,0.0
2012,Sunil Narine,255.5,15.0,24.0,164.0,2.0,0.0,1.0,0.0
2012,Yusuf Pathan,113.5,17.0,3.0,46.0,10.0,7.0,3.0,0.0
