Season,Kings XI Punjab,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,Abhishek Nayar,8.5,4.0,0.0,0.0,2.0,1.0,0.0,0.0
2012,Adam Gilchrist,79.0,7.0,0.0,0.0,21.0,4.0,5.0,0.0
2012,Amit Yadav,,,,,,,,
2012,Azhar Mehmood,,,,,,,,
2012,Ben Cutting,,,,,,,,
2012,Bhargav Bhatt,36.5,5.0,2.0,26.0,0.0,1.0,0.0,0.0
2012,Bipul Sharma,41.0,5.0,0.0,13.0,6.0,3.0,1.0,0.0
2012,David Hussey,164.0,16.0,3.0,14.0,28.0,17.0,4.0,0.0
2012,David Miller,31.5,6.0,0.0,0.0,6.0,4.0,1.0,0.0
2012,Dimitri Mascarenhas,67.0,4.0,7.0,35.0,1.0,0.0,2.0,0.0
2012,Gurkeerat Singh,42.0,5.0,0.0,0.0,12.0,2.0,2.0,0.0
2012,Harmeet Singh,64.0,7.0,6.0,33.0,3.0,0.0,1.0,0.0
2012,James Faulkner,27.0,2.0,3.0,14.0,0.0,0.0,1.0,0.0
2012,Kyle Abbott,,,,,,,,
2012,Love Ablish,,,,,,,,
2012,Manan Vohra,,,,,,,,
2012,Mandeep Singh,180.0,16.0,1.0,7.0,53.0,7.0,5.0,0.0
2012,Nathan Rimmington,,,,,,,,
2012,Nitin Saini,72.5,10.0,0.0,0.0,16.0,0.0,11.0,2.0
2012,Paras Dogra,2.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2012,Parvinder Awana,179.0,12.0,17.0,112.0,0.0,0.0,3.0,0.0
2012,Paul Valthaty,13.5,6.0,0.0,1.0,4.0,0.0,1.0,0.0
2012,Piyush Chawla,224.0,16.0,16.0,124.0,9.0,4.0,3.0,0.0
2012,Praveen Kumar,210.5,16.0,9.0,168.0,2.0,1.0,1.0,0.0
2012,Rajagopal Sathish,,,,,,,,
2012,Ramesh Powar,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
2012,Ryan Harris,87.0,5.0,8.0,48.0,1.0,1.0,2.0,0.0
2012,Shalabh Srivastava,,,,,,,,
2012,Shaun Marsh,142.0,13.0,0.0,0.0,39.0,7.0,8.0,0.0
2012,Siddharth Chitnis,23.5,6.0,0.0,0.0,7.0,1.0,1.0,0.0
2012,Stuart Broad,,,,,,,,
2012,Sunny Singh,,,,,,,,
2012,Vikramjeet Malik,,,,,,,,
