Season,Chennai Super Kings,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,Abhinav Mukund,,,,,,,,
2012,Albie Morkel,202.0,16.0,13.0,118.0,5.0,6.0,2.0,0.0
2012,Anirudha Srikkanth,9.5,4.0,0.0,0.0,1.0,2.0,0.0,0.0
2012,Ben Hilfenhaus,152.0,9.0,14.0,103.0,0.0,0.0,0.0,0.0
2012,Doug Bollinger,79.0,6.0,8.0,46.0,0.0,0.0,2.0,0.0
2012,Dwayne Bravo,305.0,19.0,15.0,110.0,20.0,20.0,9.0,0.0
2012,Francois du Plessis,142.0,13.0,0.0,0.0,29.0,17.0,4.0,0.0
2012,Ganapathi Vignesh,,,,,,,,
2012,George Bailey,,,,,,,,
2012,Joginder Sharma,,,,,,,,
2012,Kuthethurshri Vasudevadas,,,,,,,,
2012,Mahendra Singh Dhoni,131.5,19.0,0.0,0.0,26.0,9.0,12.0,2.0
2012,Mike Hussey,108.0,8.0,0.0,0.0,28.0,8.0,4.0,0.0
2012,Murali Vijay,147.5,14.0,0.0,0.0,39.0,10.0,6.0,0.0
2012,Nuwan Kulasekara,64.5,5.0,4.0,38.0,1.0,0.0,4.0,0.0
2012,Ravichandran Ashwin,207.5,19.0,14.0,141.0,2.0,0.0,5.0,0.0
2012,Ravindra Jadeja,176.0,19.0,12.0,65.0,13.0,9.0,2.0,0.0
2012,Scott Styris,,,,,,,,
2012,Shadab Jakati,117.5,15.0,9.0,76.0,0.0,0.0,4.0,0.0
2012,Subramaniam Badrinath,72.0,15.0,0.0,0.0,23.0,2.0,3.0,0.0
2012,Sudeep Tyagi,,,,,,,,
2012,Suraj Randiv,,,,,,,,
2012,Suresh Raina,212.0,19.0,2.0,21.0,36.0,19.0,11.0,0.0
2012,Wriddhiman Saha,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Yo Mahesh,31.0,5.0,3.0,18.0,0.0,0.0,1.0,0.0
