Season,Deccan Chargers,Pts,Mat,Wkts,Dots,4s,6s,Catches,Stumpings
2012,Abhishek Jhunjhunwala,28.5,5.0,1.0,14.0,1.0,1.0,2.0,0.0
2012,Akash Bhandari,,,,,,,,
2012,Akshath Reddy,28.5,5.0,1.0,3.0,6.0,2.0,0.0,0.0
2012,Amit Mishra,139.5,14.0,13.0,89.0,1.0,0.0,1.0,0.0
2012,Anand Rajan,28.5,4.0,3.0,18.0,0.0,0.0,0.0,0.0
2012,Ankit Sharma,83.0,9.0,4.0,62.0,0.0,2.0,0.0,0.0
2012,Arjun Yadav,,,,,,,,
2012,Ashish Reddy,98.0,9.0,10.0,52.0,3.0,1.0,0.0,0.0
2012,Bharat Chipli,17.0,5.0,0.0,0.0,3.0,2.0,1.0,0.0
2012,Biplab Samantray,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,Cameron White,181.0,13.0,0.0,1.0,41.0,20.0,3.0,0.0
2012,Chris Lynn,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2012,Dale Steyn,214.5,12.0,18.0,138.0,0.0,1.0,4.0,0.0
2012,Daniel Christian,135.0,7.0,8.0,51.0,8.0,6.0,6.0,0.0
2012,Daniel Harris,54.0,4.0,0.0,4.0,11.0,5.0,2.0,0.0
2012,Darren Bravo,,,,,,,,
2012,Dwaraka Ravi Teja,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2012,Ishank Jaggi,2.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2012,Ishant Sharma,,,,,,,,
2012,JP Duminy,111.5,9.0,1.0,22.0,13.0,11.0,6.0,0.0
2012,Kedar Devdhar,,,,,,,,
2012,Kumar Sangakkara,89.0,12.0,0.0,0.0,21.0,4.0,9.0,0.0
2012,Manpreet Gony,71.0,6.0,3.0,58.0,0.0,0.0,1.0,0.0
2012,Michael Lumb,,,,,,,,
2012,Parthiv Patel,76.5,14.0,0.0,0.0,19.0,4.0,5.0,1.0
2012,Rusty Theron,27.5,2.0,2.0,18.0,1.0,0.0,0.0,0.0
2012,Shikhar Dhawan,243.0,15.0,3.0,12.0,58.0,18.0,5.0,0.0
2012,Sneha Kishore,,,,,,,,
2012,Sunny Sohal,,,,,,,,
2012,Syed Quadri,,,,,,,,
2012,TP Sudhindra,21.5,3.0,1.0,18.0,0.0,0.0,0.0,0.0
2012,Tanmay Mishra,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2012,Tanmay Srivastava,,,,,,,,
2012,Tekkami Atchuta Rao,,,,,,,,
2012,Veer Pratap Singh,106.0,9.0,10.0,71.0,0.0,0.0,0.0,0.0
